"adap-org/9909004","Bartolo Luque Serrano","Bartolo Luque and Antonio Ferrera (Centro de Astrobiologia, Madrid)","Measuring Mutual Information in Random Boolean Networks","12 pages with 5 figures(eps) included. Submitted to Complex Systems",,,,"adap-org nlin.AO",,"  During the last few years an area of active research in the field of complex
systems is that of their information storing and processing abilities. Common
opinion has it that the most interesting beaviour of these systems is found
``at the edge of chaos'', which would seem to suggest that complex systems may
have inherently non-trivial information proccesing abilities in the vicinity of
sharp phase transitions. A comprenhensive, quantitative understanding of why
this is the case is however still lacking. Indeed, even ``experimental'' (i.e.,
often numerical) evidence that this is so has been questioned for a number of
systems. In this paper we will investigate, both numerically and analitically,
the behavior of Random Boolean Networks (RBN's) as they undergo their
order-disorder phase transition. We will use a simple mean field approximation
to treat the problem, and without lack of generality we will concentrate on a
particular value for the connectivity of the system. In spite of the simplicity
of our arguments, we will be able to reproduce analitically the amount of
mutual information contained in the system as measured from numerical
simulations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:01:03 GMT""}]","2007-05-23"
"cond-mat/9909061","Antonio Gomes de Souza Filho","A. G. Souza Filho, K. C. V. Lima, A. P. Ayala, I. Guedes, P. T. C.
  Freire and J. Mendes Filho (Departamento de Fisica, Universidade Federal do
  Ceara), E. B. Ara\'ujo and J. A. Eiras (Departamento de Fisica, Universidade
  Federal de Sao Carlos)","The monoclinic phase of PZT ceramics: Raman and phenomenological theory
  studies","6 pages including 4 figures, Latex, submitted to Applied Physics
  Letters",,"10.1103/PhysRevB.61.14283",,"cond-mat",,"  This work reports on the first Raman detection of the tetragonal to
monoclinic phase transition in PZT ceramics near morphotropic phase boundary at
low temperatures. The transition is characterized by changes in the frequency
of lattice modes with the temperature. The results presented here confirm the
previous one recently reported by Noheda et al. using high-resolution
synchrotron X-ray powder diffraction technique and dielectric measurements. The
stability of the new phase is discussed within the framework of
phenomenological Landau-Devonshire Theory.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 20:41:13 GMT""},{""version"":""v2"",""created"":""Sat, 4 Sep 1999 12:29:25 GMT""},{""version"":""v3"",""created"":""Thu, 30 Sep 1999 13:24:51 GMT""}]","2009-10-31"
"cond-mat/9909062","Victor Kurasov","Victor Kurasov","Multicomponent nonisothermal nucleation. 3. Numerical results","Latex",,,,"cond-mat.stat-mech",,"  The final (third) part of the theory gives the results of numerical
calculations according to the formulas derived in the previous two parts. Also
the comparison with the already published theories is given. Some conclusions
connected with the qualitative picture of the nucleation process are presented.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 21:40:41 GMT""}]","2007-05-23"
"cond-mat/9909063","Martin Plihal","Martin Plihal, David C. Langreth, and Peter Nordlander","Kondo time scales for quantum dots - response to pulsed bias potentials","5 pages with 4 encapsulated figures which come in separate postscript
  files: latex file: text.tex figures: fig1.eps, fig2.eps, fig3.eps, fig4.eps",,"10.1103/PhysRevB.61.R13341",,"cond-mat.str-el cond-mat.mes-hall",,"  The response of a quantum dot in the Kondo regime to rectangular pulsed bias
potentials of various strengths and durations is studied theoretically. It is
found that the rise time is faster than the fall time, and also faster than
time scales normally associated with the Kondo problem. For larger values of
the pulsed bias, one can induce dramatic oscillations in the induced current
with a frequency approximating the splitting between the Kondo peaks that would
be present in steady state. The effect persists in the total charge transported
per pulse, which should facilitate the experimental observation of the
phenomenon.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 22:49:11 GMT""},{""version"":""v2"",""created"":""Fri, 31 Mar 2000 16:01:29 GMT""}]","2009-10-31"
"cond-mat/9909065","Subhrangshu Sekhar Manna","S. S. Manna and A. D. Chakrabarti (S. N. Bose National Centre for
  Basic Sciences, Calcutta) R. Cafiero (PMMH, ESPCI, Paris)","Critical States in a Dissipative Sandpile Model","4 pages (Revtex), 5 ps figures (included)","Phys. Rev. E., 60, R5005, 1999","10.1103/PhysRevE.60.R5005","SNB/99-08-05","cond-mat.soft",,"  A directed dissipative sandpile model is studied in the two-dimension.
Numerical results indicate that the long time steady states of this model are
critical when grains are dropped only at the top or, everywhere. The critical
behaviour is mean-field like. We discuss the role of infinite avalanches of
dissipative models in periodic systems in determining the critical behaviour of
same models in open systems.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 07:44:44 GMT""}]","2009-10-31"
"cs/9909006","Devillers","Jean-Daniel Boissonnat, Olivier Devillers, Sylvain Lazard","Motion Planning of Legged Robots","29 pages, 22 figures, prelininar results presented at WAFR94 and IEEE
  Robotics & Automation 94",,"10.1137/S0097539797326289","INRIA Research report 3214","cs.CG",,"  We study the problem of computing the free space F of a simple legged robot
called the spider robot. The body of this robot is a single point and the legs
are attached to the body. The robot is subject to two constraints: each leg has
a maximal extension R (accessibility constraint) and the body of the robot must
lie above the convex hull of its feet (stability constraint). Moreover, the
robot can only put its feet on some regions, called the foothold regions. The
free space F is the set of positions of the body of the robot such that there
exists a set of accessible footholds for which the robot is stable. We present
an efficient algorithm that computes F in O(n2 log n) time using O(n2 alpha(n))
space for n discrete point footholds where alpha(n) is an extremely slowly
growing function (alpha(n) <= 3 for any practical value of n). We also present
an algorithm for computing F when the foothold regions are pairwise disjoint
polygons with n edges in total. This algorithm computes F in O(n2 alpha8(n) log
n) time using O(n2 alpha8(n)) space (alpha8(n) is also an extremely slowly
growing function). These results are close to optimal since Omega(n2) is a
lower bound for the size of F.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:18:49 GMT""}]","2016-11-17"
"cs/9909007","Devillers","Jean-Daniel Boissonnat, Jurek Czyzowicz, Olivier Devillers, Mariette
  Yvinec","Circular Separability of Polygons","23 pages, 7 figures, abstract presented at SODA95",,,"INRIA Research report 2406","cs.CG",,"  Two planar sets are circularly separable if there exists a circle enclosing
one of the sets and whose open interior disk does not intersect the other set.
  This paper studies two problems related to circular separability. A
linear-time algorithm is proposed to decide if two polygons are circularly
separable. The algorithm outputs the smallest separating circle. The second
problem asks for the largest circle included in a preprocessed, convex polygon,
under some point and/or line constraints. The resulting circle must contain the
query points and it must lie in the halfplanes delimited by the query lines.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:51:23 GMT""}]","2016-08-31"
"gr-qc/9909013","Yungui Gong","Yungui Gong","Holographic Bound in Brans-Dicke Cosmology","Revtex, 9 pages, Some minor corrections to equations. Add one
  paragraph about the Covariant Entropy Conjecture","Phys.Rev. D61 (2000) 043505","10.1103/PhysRevD.61.043505","utexas-hep-99-14","gr-qc",,"  We apply the holographic principle to the Brans-Dicke cosmology. We analyze
the holographic bound in both the Jordan and Einstein frames. The holographic
bound is satisfied for both the k=0 and k=-1 universe, but it is violated for
the k=1 matter dominated universe.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:18:50 GMT""},{""version"":""v2"",""created"":""Mon, 13 Sep 1999 03:35:53 GMT""}]","2009-10-31"
"gr-qc/9909014","Steven Carlip","S. Carlip","Kinetic Energy and the Equivalence Principle","11 pages, LaTeX; pedagogical paper sent to archive at students'
  request","Am.J.Phys.66:409-413,1998","10.1119/1.18885","UCD-97-10","gr-qc",,"  According to the general theory of relativity, kinetic energy contributes to
gravitational mass. Surprisingly, the observational evidence for this
prediction does not seem to be discussed in the literature. I reanalyze
existing experimental data to test the equivalence principle for the kinetic
energy of atomic electrons, and show that fairly strong limits on possible
violations can be obtained. I discuss the relationship of this result to the
occasional claim that ``light falls with twice the acceleration of ordinary
matter.''
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 20:25:38 GMT""}]","2011-01-13"
"gr-qc/9909015","Rod Aros","Rodrigo Aros, Mauricio Contreras, Rodrigo Olea, Ricardo Troncoso and
  Jorge Zanelli","Conserved charges for gravity with locally AdS asymptotics","5 pages, 2 Columns, revtex. Last version for Phys. Rev. Lett","Phys.Rev.Lett.84:1647-1650,2000","10.1103/PhysRevLett.84.1647","CECS-PHY-99/14","gr-qc hep-th",,"  A new formula for the conserved charges in 3+1 gravity for spacetimes with
local AdS asymptotic geometry is proposed. It is shown that requiring the
action to have an extremum for this class of asymptotia sets the boundary term
that must be added to the Lagrangian as the Euler density with a fixed weight
factor. The resulting action gives rise to the mass and angular momentum as
Noether charges associated to the asymptotic Killing vectors without requiring
specification of a reference background in order to have a convergent
expression. A consequence of this definition is that any negative constant
curvature spacetime has vanishing Noether charges. These results remain valid
in the limit of vanishing cosmological constant.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 00:26:47 GMT""},{""version"":""v2"",""created"":""Wed, 22 Dec 1999 00:22:28 GMT""}]","2014-11-17"
"hep-ex/9909004","Salvatore Mele","L3 Collaboration","Search for the Standard Model Higgs boson in e$^+$e$^-$ interactions at
  $\root{s}$ = 189 GeV",,"Phys.Lett.B461:376-386,1999","10.1016/S0370-2693(99)00853-9","CERN-EP/99-080","hep-ex",,"  A search for the Standard Model Higgs boson is carried out on 176.4pb$^{-1}$
of data collected by the L3 detector at a center-of-mass energy of 189 GeV. The
data are consistent with the expectations of Standard Model processes and no
evidence of a Higgs signal is observed. Combining the results of this search
with those at lower center-of-mass energies, a lower limit on the mass of the
Standard Model Higgs boson of 95.3 GeV is set at the 95% confidence level.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 21:41:27 GMT""}]","2012-08-27"
"hep-ex/9909005","Salvatore Mele","L3 Collaboration","Measurement of Inclusive $D^{*\pm}$ Production in Two-Photon Collisions
  at LEP",,"Phys.Lett.B467:137-146,1999","10.1016/S0370-2693(99)01153-3","CERN-EP/99-106","hep-ex",,"  Inclusive production of $\mathrm{D^{*\pm}}$ mesons in two-photon collisions
was measured by the L3 experiment at LEP. The data were collected at a
centre-of-mass energy $\sqrt{s} = 189$ GeV with an integrated luminosity of
$176.4 \mathrm{pb^{-1}}$. Differential cross sections of the process
$\mathrm{e^+e^- \to D^{*\pm} X}$ are determined as functions of the transverse
momentum and pseudorapidity of the $\mathrm{D^{*\pm}}$ mesons in the kinematic
region 1 GeV $< p_{T}^{\mathrm{D^*}} < 5 $ GeV and $\mathrm{|\eta^{D^*}|} <
1.4$. The cross section integrated over this phase space domain is measured to
be $132 \pm 22(stat.) \pm 26(syst.)$ pb. The differential cross sections are
compared with next-to-leading order perturbative QCD calculations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 22:02:19 GMT""}]","2012-08-27"
"hep-ex/9909006","Salvatore Mele","L3 Collaboration","Search for Heavy Isosinglet Neutrinos in e$^+$e$^-$ Annihilation at
  130$<\sqrt{s}<$189 GeV",,"Phys.Lett.B461:397-404,1999","10.1016/S0370-2693(99)00852-7","CERN-EP/99-083","hep-ex",,"  A search for heavy neutrinos that are isosinglets under the standard
$SU(2)_L$ gauge group is made at center-of-mass energies 130 $< \sqrt{s} <$ 189
GeV with the L3 detector at LEP. Such heavy neutrinos are expected in many
extensions of the Standard Model. The search is performed for the first
generation heavy singlet neutrino, $\mathrm{N}_e$, through the decay mode
$\mathrm{N}_e \to \mathrm{e} + \mathrm{W}$. We set upper limits on the mixing
parameter between the heavy and light neutrino for the heavy neutrino mass
range from 80 GeV to 185 GeV.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 23:13:21 GMT""}]","2012-08-27"
"hep-ex/9909007","Salvatore Mele","L3 Collaboration","Search for Heavy Neutral and Charged Leptons in e$^+$e$^-$ Annihilation
  at $\sqrt{s}$ = 183 and 189 GeV",,"Phys.Lett.B462:354-364,1999","10.1016/S0370-2693(99)00922-3","CERN-EP/99-075","hep-ex",,"  A search for unstable neutral and charged heavy leptons as well as for stable
charged heavy leptons is performed at center-of-mass energies $\sqrt{s}$ = 183
and 189 GeV with the L3 detector at LEP. No evidence for their existence is
found. We exclude neutral heavy leptons which couple to the electron, muon or
tau family, of the Dirac type for masses below 92.4, 93.3 and 83.3 GeV, and of
the Majorana type for masses below 81.8, 84.1 and 73.5 GeV, respectively. We
exclude unstable charged heavy leptons for masses below 93.9 GeV for a wide
range of the associated neutral heavy lepton mass. If the unstable charged
heavy lepton decays to a light neutrino, we exclude masses below 92.4 GeV. The
production of stable charged heavy leptons with mass less than 93.5 GeV is also
excluded.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 23:27:52 GMT""}]","2012-08-27"
"hep-ex/9909008","Salvatore Mele","L3 Collaboration","Formation of the $\eta_c$ in Two-Photon Collisions at LEP",,"Phys.Lett.B461:155-166,1999","10.1016/S0370-2693(99)00784-4","CERN-EP/99-072","hep-ex",,"  The two-photon width $\Gamma_{\gamma\gamma}$ of the $\eta_c$ meson has been
measured with the L3 detector at LEP. The $\eta_c$ is studied in the decay
modes $\pi^+\pi^-\pi^+\pi^-$, $\pi^+\pi^-$K$^+$K$^-$, K$_s^0$K$^\pm\pi^\mp$,
K$^+$K$^-\pi^{0}$, $\pi^+\pi^-\eta$, $\pi^+\pi^-\eta'$, and $\rho^+\rho^-$
using an integrated luminosity of 140 pb$^{-1}$ at $\sqrt{s} \simeq 91$ GeV and
of 52 pb$^{-1}$ at $\sqrt{s} \simeq 183$ GeV. The result is
$\Gamma_{\gamma\gamma}(\eta_c) = 6.9 \pm 1.7 (stat.) \pm 0.8 (sys.) \pm
2.0$(BR) keV. The $Q^2$ dependence of the $\eta_c$ cross section is studied for
$Q^2 < 9$ GeV$^{2}$. It is found to be better described by a Vector Meson
Dominance model form factor with a J-pole than with a $\rho$-pole. In addition,
a signal of $29 \pm 11$ events is observed at the $\chi_c0$ mass. Upper limits
for the two-photon widths of the $\chi_c0$, $\chi_c2$, and $\eta_c'$ are also
given.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 13:00:21 GMT""}]","2012-08-27"
"hep-ex/9909009","Salvatore Mele","L3 Collaboration","Measurement of an Elongation of the Pion Source in Z Decays",,"Phys.Lett.B458:517-528,1999","10.1016/S0370-2693(99)00662-0","CERN-EP/99-050","hep-ex",,"  We measure Bose-Einstein correlations between like-sign charged pion pairs in
hadronic Z decays with the L3 detector at LEP. The analysis is performed in
three dimensions in the longitudinal center-of-mass system. The pion source is
found to be elongated along the thrust axis with a ratio of transverse to
longitudinal radius of $0.81\pm 0.02 ^{+0.03}_{-0.19}$.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 13:39:54 GMT""}]","2012-08-27"
"hep-ex/9909010","Salvatore Mele","L3 Collaboration","Measurement of Mass and Width of the W Boson at LEP",,"Phys.Lett.B454:386-398,1999","10.1016/S0370-2693(99)00348-2","CERN-EP/99-017","hep-ex",,"  We report on measurements of the mass and total decay width of the W boson
with the L3 detector at LEP. W-pair events produced in $\mathrm{e^+e^-}$
interactions between 161 GeV and 183 GeV centre-of-mass energy are selected in
a data sample corresponding to a total luminosity of 76.7 pb$^{-1}$. Combining
all final states in W-pair production, the mass and total decay width of the W
boson are determined to be $\mathrm{M_W}=80.61\pm0.15$ GeV and
$\Gamma_{\mathrm{W}}=1.97\pm0.38$ GeV, respectively.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 14:42:10 GMT""}]","2012-08-27"
"hep-lat/9909023","Christian Hoelbling","Ch. Hoelbling, C. Rebbi, V. A. Rubakov","Potential between external monopole and antimonopole in SU(2) lattice
  glu odynamics","LATTICE 99 (Topology and Confinement)","Nucl.Phys.Proc.Suppl. 83 (2000) 485-487","10.1016/S0920-5632(00)91713-4",,"hep-lat",,"  We present the results of a study of the free energy of a monopole pair in
pure
  SU(2) theory at finite temperature, both below and above the deconfinement
tran sition. We find a Yukawa potential between monopoles in both phases. At
low temp erature, the screening mass is compatible with the lightest glueball
mass. At hi gh temperature, we observe an increased screening mass with no
apparent disconti nuity at the phase transition.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:16:25 GMT""}]","2015-06-25"
"hep-lat/9909024","Robert Edwards","Robert G. Edwards, Urs M. Heller, Joe Kiskis and Rajamani Narayanan","Overlap Dirac Operator, Eigenvalues and Random Matrix Theory","3 pages latex with 1 postscript figure. Talk presented at
  LATTICE99(topology)","Nucl.Phys.Proc.Suppl. 83 (2000) 446-448","10.1016/S0920-5632(00)91701-8","FSU-SCRI-99C-56","hep-lat",,"  The properties of the spectrum of the overlap Dirac operator and their
relation to random matrix theory are studied. In particular, the predictions
from chiral random matrix theory in topologically non-trivial gauge field
sectors are tested.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 17:14:20 GMT""}]","2015-06-25"
"hep-lat/9909025","Christof Gattringer","Christof Gattringer, Ivan Hip and C.B. Lang","The chiral limit of the two-flavor lattice Schwinger model with Wilson
  fermions","10 pages, 2 figures. Revised version, to appear in Phys. Lett. B,
  references added, typo corrected","Phys.Lett. B466 (1999) 287-292","10.1016/S0370-2693(99)01116-8",,"hep-lat hep-ph hep-th",,"  We study the 2-flavor lattice Schwinger model with Wilson fermions in the
chiral limit. The quark mass is determined using the PCAC definition. We
numerically compute the masses of the iso-triplet (pi) and iso-singlet
particles (eta) for different quark masses and compare our results with
analytical formulas.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 17:59:43 GMT""},{""version"":""v2"",""created"":""Fri, 24 Sep 1999 21:27:28 GMT""}]","2009-10-31"
"hep-lat/9909026","Laurent Lellouch","Pilar Hernandez, Karl Jansen and Laurent Lellouch (CERN)","Chiral symmetry breaking from Ginsparg-Wilson fermions","LATTICE99(Chiral Fermions), 3 pages, 1 figure. Poster presented by L.
  Lellouch at the XVIIth International Symposium on Lattice Field Theory, Pisa,
  Italy, June 29--July 3, 1999. Points accidentally omitted in figure restored;
  minor stylistic changes","Nucl.Phys.Proc.Suppl. 83 (2000) 633-635","10.1016/S0920-5632(00)91759-6","CERN-TH/99-273, CPT-99/PE.3886","hep-lat hep-ph",,"  We calculate the large-volume and small-mass dependences of the quark
condensate in quenched QCD using Neuberger's operator. We find good agreement
with the predictions of quenched chiral perturbation theory, enabling a
determination of the chiral lagrangian parameter \Sigma, up to a multiplicative
renormalization.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 19:31:43 GMT""},{""version"":""v2"",""created"":""Fri, 24 Sep 1999 16:36:25 GMT""}]","2015-06-25"
"hep-lat/9909027","Federico Berruto","F. Berruto, E. Coletti, G. Grignani and P. Sodano","Strongly coupled 't Hooft model on the lattice","LATTICE99(Spin Models), talk presented by F. Berruto, 3 pages, LaTex,
  espcrc2.sty","Nucl.Phys.Proc.Suppl. 83 (2000) 685-687","10.1016/S0920-5632(00)91775-4","DFUPG-65-99","hep-lat",,"  A lattice strong coupling calculation of the spectrum and chiral condensate
of the 't Hooft model is presented. The agreement with the results of the
continuum theory is strikingly good even at the fourth order in the strong
coupling expansion.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 09:40:46 GMT""}]","2015-06-25"
"hep-lat/9909028","Subhasis Basak","S. Basak, Asit K. De (SINP, India)","U(1) Chiral Gauge Theory with Domain Wall Fermions and Gauge Fixing","LATTICE99 (chiral gauge theories), 3 pages, 3 figures","Nucl.Phys.Proc.Suppl. 83 (2000) 615-617","10.1016/S0920-5632(00)91753-5",,"hep-lat",,"  We investigate a U(1) lattice chiral gauge theory with the waveguide
formulation of the domain wall fermions and with compact gauge fixing. In the
reduced model limit, there seems to be no mirror chiral modes at the waveguide
boundary.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 12:37:43 GMT""}]","2015-06-25"
"hep-lat/9909029","Ion Olimpiu Stamatescu","M. Garcia Perez (Dept. de Fisica Teorica, Univ. Autonoma de Madrid,
  Madrid, Spain), O. Philipsen (Theory Division, CERN, Geneve, Switzerland) and
  I.-O. Stamatescu (FEST, Heidelberg and Institut f. Theoretische Physik, Univ.
  Heidelberg, Heidelberg, Germany)","Cooling, Physical Scales and the Vacuum Structure of Y-M Theories","Lattice'99 contribution, 3 pages, 5 figures","Nucl.Phys.Proc.Suppl. 83 (2000) 541-543","10.1016/S0920-5632(00)91732-8","HD-THEP-99-36","hep-lat",,"  We present a cooling method controlled by a physical cooling radius that
defines a scale below which fluctuations are smoothed out while leaving physics
unchanged at all larger scales. This method can be generally used as a gauge
invariant low pass filter to extract the physics from noisy MC configurations.
Here we apply this method to study topological properties of lattice gauge
theories where it allows to retain instanton--anti-instanton pairs.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 15:08:19 GMT""}]","2015-06-25"
"hep-ph/9909244","Joaquim Prades","Antonio Pich (Valencia) and Joaquim Prades (Granada)","Strange Quark Mass Determination from Cabibbo-Suppressed Tau Decays","28 LaTeX pages, no figures","JHEP 9910:004,1999","10.1088/1126-6708/1999/10/004","FTUV-43/99, IFIC-45/99, UG-FT-90/98","hep-ph",,"  We present a general analysis of SU(3) breaking effects in the semi-inclusive
tau hadronic width. The recent ALEPH measurements of the inclusive
Cabibbo--suppressed decay width of the tau and several moments of its invariant
mass distribution are used to determine the value of the strange quark mass. We
obtain, in the MS scheme, m_s(M_\tau^2) = (119\pm 24) MeV to O(\alpha_s^3),
which corresponds to m_s (1 GeV^2) = (164 \pm 33) MeV, m_s(4 GeV^2) = (114\pm
23) MeV .
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:15:08 GMT""}]","2010-02-03"
"hep-ph/9909245","Joaquim Prades","Joaquim Prades (Granada)","The $\Delta I=1/2$ Rule for Kaons","9 LaTeX pages, 2 ps figures included. Invited talk at QCD '99 High
  Energy Euro Conference on Quantum Chromodynamics, July 1999, Montpellier,
  France. Corrected eq. (16) and misprints","Nucl.Phys.Proc.Suppl. 86 (2000) 294-298","10.1016/S0920-5632(00)00578-8","UG-FT-103/99","hep-ph",,"  We report on recent advances at understanding the $\Delta I= 1/2$ rule for
kaons. We get reasonable matching between short-- and long--distances for
scales between between 0.6 and 1.0 GeV and reproduce the $\Delta I=1/2$ rule
huge enhancement in the chiral limit. A detailed analysis of the different
contributions to the relevant octet and 27-plet couplings is done. For the
$B_6^{(1/2)}(\mu) \equiv < (\pi\pi)_0 | Q_6 | K > / [< (\pi\pi)_0 | Q_6 | K >
{\Large|}_{N_c}]$ parameter, we get in the chiral limit $B_6^{(1/2)}(\mu) = 2.2
\pm 0.5$ for scales $\mu \in [0.6, 1.0]$ GeV.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:31:19 GMT""},{""version"":""v2"",""created"":""Thu, 9 Sep 1999 11:16:29 GMT""}]","2009-10-31"
"hep-ph/9909246","Gabor Papp","G. Papp, B.-J. Schaefer, H.-J. Pirner and J. Wambach","On the Convergence of the Expansion of Renormalization Group Flow
  Equation","12 pages with 10 EPS figures included; revised version","Phys.Rev. D61 (2000) 096002","10.1103/PhysRevD.61.096002",,"hep-ph cond-mat hep-th nucl-th",,"  We compare and discuss the dependence of a polynomial truncation of the
effective potential used to solve exact renormalization group flow equation for
a model with fermionic interaction (linear sigma model) with a grid solution.
The sensitivity of the results on the underlying cutoff function is discussed.
We explore the validity of the expansion method for second and first-order
phase transitions.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 16:58:24 GMT""},{""version"":""v2"",""created"":""Wed, 8 Sep 1999 18:41:57 GMT""},{""version"":""v3"",""created"":""Fri, 12 Nov 1999 19:39:21 GMT""}]","2009-10-31"
"hep-ph/9909247",,"Keith A. Olive","Cosmology II: From the Planck Time to BBN","17 pages, latex, Summary of talk given at the David N. Schramm
  Memorial Symposium: Inner Space/Outer Space II, Fermilab, May 1999",,,"UMN-TH-1814/99, TPI-MINN-99/39","hep-ph astro-ph",,"  Progress in early Universe cosmology, including strings, extra dimensions,
inflation, phase transitions, and baryogenesis, is reviewed.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 17:53:28 GMT""}]","2007-05-23"
"hep-ph/9909248","Markus A. Luty","Z. Chacko, Markus A. Luty, Eduardo Ponton","Massive Higher-dimensional Gauge Fields as Messengers of Supersymmetry
  Breaking","Messenger gauge symmetry must be broken in hidden sector to avoid
  FCNC's; main conclusions unchanged. 25 pages, LaTeX2e, 2 eps figures","JHEP 0007 (2000) 036","10.1088/1126-6708/2000/07/036",,"hep-ph",,"  We consider theories with one or more compact dimensions with size r > 1/M,
where M is the fundamental Planck scale, with the visible and hidden sectors
localized on spatially separated ""3-branes."" We show that a bulk U(1) gauge
field spontaneously broken on the hidden-sector 3-brane is an attractive
candidate for the messenger of supersymmetry breaking. In this scenario scalar
mass-squared terms are proportional to U(1) charges, and therefore naturally
conserve flavor. Arbitrary flavor violation at the Planck scale gives rise to
exponentially suppressed flavor violation at low energies. Gaugino masses can
be generated if the standard gauge fields propagate in the bulk; \mu and B\mu
terms can be generated by the Giudice-Masiero or by the VEV of a singlet in the
visible sector. The latter case naturally solves the SUSY CP problem. Realistic
phenomenology can be obtained either if all microscopic parameters are order
one in units of M, or if the theory is strongly coupled at the scale M. (For
the latter case, we estimate parameters by extending ""naive dimensional
analysis"" to higher-dimension theories with branes.) In either case, the only
unexplained hierarchy is the ""large"" size of the extra dimensions in
fundamental units, which need only be an order of magnitude. All soft masses
are naturally within an order of magnitude of m_{3/2}, and trilinear scalar
couplings are negligible. Squark and slepton masses can naturally unify even in
the absence of grand unification.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:30:25 GMT""},{""version"":""v2"",""created"":""Wed, 6 Oct 1999 19:14:17 GMT""}]","2009-10-31"
"hep-ph/9909249","Ernest Ma","Ernest Ma (UC Riverside)","Permutation Symmetry for Neutrino and Charged-Lepton Mass Matrices","13 pages including 1 figure","Phys.Rev. D61 (2000) 033012","10.1103/PhysRevD.61.033012","UCRHEP-T262 (Sep 99)","hep-ph",,"  The permutation symmetry $S_3$ is appplied to obtain two equal Majorana
neutrino masses, while maintaining three different charged-lepton masses and
suppressing neutrinoless double beta decay. The resulting radiative splitting
of the two neutrinos is shown to be suitable for solar neutrino vacuum
oscillations.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 18:31:03 GMT""}]","2009-10-31"
"hep-ph/9909250","Hiroshi Nunokawa","A. M. Gago, H. Nunokawa and R. Zukanovich Funchal","The Solar Neutrino Problem and Gravitationally Induced Long-wavelength
  Neutrino Oscillation","RevTex file, 4 pages, 4 postscript figures","Phys.Rev.Lett. 84 (2000) 4035-4038","10.1103/PhysRevLett.84.4035","IFUSP-DFN/99-034","hep-ph astro-ph hep-ex",,"  We have reexamined the possibility of explaining the solar neutrino problem
through long-wavelength neutrino oscillations induced by a tiny breakdown of
the weak equivalence principle of general relativity. We found that such
gravitationally induce oscillations can provide a viable solution to the solar
neutrino problem.
","[{""version"":""v1"",""created"":""Fri, 3 Sep 1999 22:55:29 GMT""},{""version"":""v2"",""created"":""Sat, 4 Sep 1999 00:26:01 GMT""}]","2009-10-31"
"hep-ph/9909251","Takeshi Nihei","Toru Goto and Takeshi Nihei (KEK)","New constraint on the minimal SUSY GUT model from proton decay","Talk given by T. Nihei in International Symposium on Supersymmetry,
  Supergravity, and Superstring (SSS99), Seoul, Korea, June 23-27, 1999, based
  on the published work hep-ph/9808255. A reference added",,,,"hep-ph",,"  We present results of reanalysis on proton decay in the minimal SU(5) SUSY
GUT model. Unlike previous analyses, we take into account a Higgsino dressing
diagram of dimension 5 operator with right-handed matter fields ($RRRR$
operator). It is shown that this diagram gives a significant contribution for
$p \to K^{+}\bar{\nu}_{\tau}$. Constraints on the colored Higgs mass $M_C$ and
the sfermion mass $m_{\tilde{f}}$ from Super-Kamiokande limit become
considerably stronger than those in the previous analyses: $M_C > 6.5\times
10^{16} \gev$ for $m_{\tilde{f}} < 1 \tev$. The minimal model with
$m_{\tilde{f}} \lsim 2 \tev$ is excluded if we require the validity of this
model up to the Planck scale.
","[{""version"":""v1"",""created"":""Sat, 4 Sep 1999 12:10:25 GMT""},{""version"":""v2"",""created"":""Fri, 26 Nov 1999 15:51:34 GMT""}]","2007-05-23"
