"adap-org/9911004","Adam Ponzi","A.Ponzi and Y.Aizawa","Criticality and Punctuated Equilibrium in a Spin System Model of a
  Financial Market","15 pages, 7 figures, to appear in Chaos, Solitons and Fractals,
  rec.date 1999.3",,"10.1016/S0960-0779(99)00048-X",,"adap-org nlin.AO",,"  We describe a financial market model which shows a non-equilibrium phase
transition. Near the transition punctuated equilibrium behaviour is seen, with
avalanches occuring on all scales. This scaling is described by an exponent
very near 1. This system shows intermittent time development with bursts of
global synchronization reminiscent of a market rollercoaster.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:07:04 GMT""}]","2015-06-24"
"astro-ph/9911380","I. Georgantopoulos","I. Georgantopoulos (National Observatory of Athens)","X-ray observations of the'composite' Seyfert/star-forming galaxy
  IRAS00317-2142","5 pages, submitted to the MNRAS","Mon.Not.Roy.Astron.Soc. 315 (2000) 77","10.1046/j.1365-8711.2000.03379.x",,"astro-ph",,"  I present ASCA observations of IRAS00317-2142, the most luminous (Lx~10^43
erg s-1 0.1-2 keV) of the 'composite' class of galaxies. This enigmatic class
of objects presents narrow-emission line optical spectra classifying these
galaxies as star-forming on the basis of the diagnostic emission line ratios;
yet, the presence of weak Halpha broad wings also suggests the presence of a
weak or obscured AGN. The ASCA spectrum can be represented with a power-law
with a photon index of 1.76+-0.08. Strong variability is detected (by about a
factor of three) between the ROSAT and ASCA 1-2 keV flux. These characteristics
clearly suggest an AGN origin for the X-ray emission. However, the precise
nature of this AGN remains still uncertain. There is no evidence for a high
absorbing column density above the Galactic. Moreover, there is no strong
evidence for an Fe line at 6.4 keV, with the 90 per cent upper limit on the
equivalent width being 0.9 keV. Thus the X-ray spectrum is consistent with an
unobscured Seyfert-1 interpretation. This discrepancy with the optical
spectrum, may be explained by either a strong star-forming component or a
'dusty' ionised absorber. Finally, the possibility that IRAS00317-2142 may
harbour a heavily obscured AGN where the X-ray emission is mainly due to
scattered light, appears less plausible due to the high value of the fx/f[OIII]
ratio which is more indicative of unobscured Seyfert-1 type AGN.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 11:58:28 GMT""}]","2009-10-31"
"cond-mat/9911286","Oleg Starykh","O. A. Starykh (1), D. L. Maslov (2), W. H\""ausler (3), and L. I.
  Glazman (4) ((1) Yale University, (2) University of Florida, (3) University
  of Hamburg, (4) University of Minnesota)","Gapped Phases of Quantum Wires","30 pages, 6 figures, to appear in ""Interactions and Transport
  Properties of Lower Dimensional Systems"", Lecture Notes in Physics, Springer",,,,"cond-mat.mes-hall cond-mat.str-el",,"  We investigate possible nontrivial phases of a two-subband quantum wire. It
is found that inter- and intra-subband interactions may drive the electron
system of the wire into a gapped state. If the nominal electron densities in
the two subbands are sufficiently close to each other, then the leading
instability is the inter-subband charge-density wave (CDW). For large density
imbalance, the interaction in the inter-subband Cooper channel may lead to a
superconducting instability. The total charge-density mode, responsible for the
conductance of an ideal wire, always remains gapless, which enforces the
two-terminal conductance to be at the universal value of 2e^2/h per occupied
subband. On the contrary, the tunneling density of states (DOS) in the bulk of
the wire acquires a hard gap, above which the DOS has a non-universal
singularity. This singularity is weaker than the square-root divergency
characteristic for non-interacting quasiparticles near a gap edge due to the
""dressing"" of massive modes by a gapless total charge density mode. The DOS for
tunneling into the end of a wire in a CDW-gapped state preserves the power-law
behavior due to the frustration the edge introduces into the CDW order. This
work is related to the vast literature on coupled 1D systems, and most of all,
on two-leg Hubbard ladders. Whenever possible, we give derivations of the
important results by other authors, adopted for the context of our study.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 21:06:03 GMT""}]","2007-05-23"
"cond-mat/9911287","Maksimov Igor Lavrentjevich","G.M.Maksimova, D.Yu.Vodolazov, I.L.Maksimov","Magnetization curves and ac susceptibilites in type-II superconductors:
  geometry-independent similarity and effect of irreversibility mechanisms","24 pages, 10 figures",,,,"cond-mat.supr-con",,"  The magnetic characteristics for superconducting samples of different
geometries (plates and films of various widths) and orientation with respect to
external field are compared. A similarity is established between the
magnetization curves M(H) and the corresponding susceptibilities. A sign
reversal is predicted for the 3rd harmonic of the ac susceptibillity when the
irreversibility mechanism changes from bulk pinning to edge barrier. A mutual
influence of the edge barrier and bulk pinning on the magnetization curves and
field-dependent ac susceptibility is studied on the basis of an exactly
solvable model (narrow plate in a parallel field and/or narrow film in a
perpendicular magnetic field).
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 17:08:19 GMT""}]","2007-05-23"
"cond-mat/9911288","R. Shankar","R.Shankar (Yale Univeristy)","Magnetic phenomena at and near nu =1/2 and 1/4: theory, experiment and
  interpretation","Latex 4 pages, 2 figures","Phys. Rev. Lett. Vol 84, p 3946, (2000)","10.1103/PhysRevLett.84.3946",,"cond-mat.mes-hall",,"  I show that the hamiltonian theory of Composite Fermions (CF) is capable of
yielding a unified description in fair agreement with recent experiments on
polarization P and relaxation rate 1/T_1 in quantum Hall states at filling nu =
p/(2ps+1), at and near nu = 1/2 and 1/4, at zero and nonzero temperatures. I
show how rotational invariance and two dimensionality can make the underlying
interacting theory behave like a free one in a limited context.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 17:31:20 GMT""},{""version"":""v2"",""created"":""Tue, 8 Feb 2000 20:10:27 GMT""}]","2009-10-31"
"cond-mat/9911289","Henry R. Glyde","H.R. Glyde, O. Plantevin, B. Fak, G. Coddens, P.S. Danielson, H.
  Schober","Dynamics of liquid 4He in Vycor","3 pages, 4 figures",,"10.1103/PhysRevLett.84.2646",,"cond-mat",,"  We have measured the dynamic structure factor of liquid 4He in Vycor using
neutron inelastic scattering. Well-defined phonon-roton (p-r) excitations are
observed in the superfluid phase for all wave vectors 0.3 < Q < 2.15. The p-r
energies and lifetimes at low temperature (T = 0.5 K) and their temperature
dependence are the same as in bulk liquid 4He. However, the weight of the
single p-r component does not scale with the superfluid fraction (SF) as it
does in the bulk. In particular, we observe a p-r excitation between T_c =
1.952 K, where SF = 0, and T_(lambda)=2.172 K of the bulk. This suggests, if
the p-r excitation intensity scales with the Bose condensate, that there is a
separation of the Bose-Einstein condensation temperature and the superfluid
transition temperature T_c of 4He in Vycor. We also observe a two-dimensional
layer mode near the roton wave vector. Its dispersion is consistent with
specific heat and SF measurements and with layer modes observed on graphite
surfaces.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:01:03 GMT""}]","2019-08-17"
"cond-mat/9911290","Stephane Daul","S. Daul, D. J. Scalapino and Steven R. White","Effect of the W-term for a t-U-W Hubbard ladder",,,"10.1103/PhysRevB.61.15526",,"cond-mat.str-el",,"  Antiferromagnetic and d_{x2-y2}-pairing correlations appear delicately
balanced in the 2D Hubbard model. Whether doping can tip the balance to pairing
is unclear and models with additional interaction terms have been studied. In
one of these, the square of a local hopping kinetic energy H_W was found to
favor pairing. However, such a term can be separated into a number of simpler
processes and one would like to know which of these terms are responsible for
enhancing the pairing. Here we analyze these processes for a 2-leg Hubbard
ladder.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:36:53 GMT""}]","2009-10-31"
"cond-mat/9911291","Joe McCauley","Joseph L. McCauley","The Futility of Utility: how market dynamics marginalize Adam Smith","46 pages. accepted","Physica A, 2000","10.1016/S0378-4371(00)00296-X",,"cond-mat.stat-mech chao-dyn nlin.CD q-fin.GN",,"  Econometrics is based on the nonempiric notion of utility. Prices, dynamics,
and market equilibria are supposed to be derived from utility. Utility is
usually treated by economists as a price potential, other times utility rates
are treated as Lagrangians. Assumptions of integrability of Lagrangians and
dynamics are implicitly and uncritically made. In particular, economists assume
that price is the gradient of utility in equilibrium, but I show that price as
the gradient of utility is an integrability condition for the Hamiltonian
dynamics of an optimization problem in econometric control theory. One
consequence is that, in a nonintegrable dynamical system, price cannot be
expressed as a function of demand or supply variables. Another consequence is
that utility maximization does not describe equiulibrium. I point out that the
maximization of Gibbs entropy would describe equilibrium, if equilibrium could
be achieved, but equilibrium does not describe real markets. To emphasize the
inconsistency of the economists' notion of 'equilibrium', I discuss both
deterministic and stochastic dynamics of excess demand and observe that Adam
Smith's stabilizing hand is not to be found either in deterministic or
stochastic dynamical models of markets, nor in the observed motions of asset
prices. Evidence for stability of prices of assets in free markets simply has
not been found.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:39:36 GMT""},{""version"":""v2"",""created"":""Tue, 7 Dec 1999 17:45:14 GMT""},{""version"":""v3"",""created"":""Wed, 2 Feb 2000 16:25:42 GMT""}]","2009-10-31"
"cond-mat/9911292","Ryszard Radwanski","R.J.Radwanski","Role of f electrons in rare-earth and uranium intermetallics-An
  alternative look at heavy-fermion phenomena","2 pages in RevTex, no figures","Acta Physica 4 (2007) 33",,,"cond-mat.str-el",,"  The understanding of magnetic and electronic properties of rare-earth
intermetallics is summarized. The properties of NdNi5 or ErNi5 are understood
by considering a few electronic subsystems like the f electronic subsystem and
the conduction-electron subsystem. The localized f electrons can give a
substantial contribution to the low temperature specific heat with the entropy
of R ln2 in case of Kramers ions. In this view the heavy-fermion behaviour is
related with the removal of the Kramers degeneracy of the ground state of the f
electronic subsystem.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 19:29:05 GMT""}]","2008-10-08"
"cond-mat/9911293","Dr. Thomas Proffen","V. Petkov, I-K. Jeong, F. Mohiuddin-Jacobs, Th. Proffen, S.J.L.
  Billinge, W. Dmowski","Local structure of In_(0.5)Ga_(0.5)As from joint high-resolution and
  differential pair distribution function analysis","9 pages, 7 figure",,"10.1063/1.373718",,"cond-mat.mtrl-sci",,"  High resolution total and indium differential atomic pair distribution
functions (PDFs) for In_(0.5)Ga_(0.5)As alloys have been obtained by high
energy and anomalous x-ray diffraction experiments, respectively. The first
peak in the total PDF is resolved as a doublet due to the presence of two
distinct bond lengths, In-As and Ga-As. The In differential PDF, which involves
only atomic pairs containing In, yields chemical specific information and helps
ease the structure data interpretation. Both PDFs have been fit with structure
models and the way in that the underlying cubic zinc-blende lattice of
In_(0.5)Ga_(0.5)As semiconductor alloy distorts locally to accommodate the
distinct In-As and Ga-As bond lengths present has been quantified.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 19:40:38 GMT""}]","2009-10-31"
"cond-mat/9911294","J. Steven Dodge","J. S. Dodge, A. B. Schumacher, and D. S. Chemla (LBNL), N. Ingle and
  M. R. Beasley (Stanford)","Time-resolved optical observation of spin-wave dynamics","4 pages, Revtex, with 3 figures embedded in the text","Phys. Rev. Lett. 83, 4650 (1999)","10.1103/PhysRevLett.83.4650","LBNL-43611","cond-mat.str-el",,"  We have created a nonequilibrium population of antiferromagnetic spin-waves
in Cr2O3, and characterized its dynamics, using frequency- and time-resolved
nonlinear optical spectroscopy of the exciton-magnon transition. We observe a
time-dependent pump-probe line shape, which results from excitation induced
renormalization of the spin-wave band structure. We present a model that
reproduces the basic characteristics of the data, in which we postulate the
optical nonlinearity to be dominated by interactions with long-wavelength
spin-waves, and the dynamics to be due to spin-wave thermalization.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 19:54:43 GMT""}]","2009-10-31"
"cond-mat/9911295","Masanori Ichioka","Masanori Ichioka and Kazushige Machida (Okayama Univ.)","Electronic Structure of Stripes in Two-Dimensional Hubbard Model","LaTeX 12 pages (using jpsj macros) with 16 figures","J. Phys. Soc. Jpn. 68, 4020 (1999).","10.1143/JPSJ.68.4020",,"cond-mat.str-el",,"  Focusing on La_{2-x}Sr_{x}CuO_{4}, we study the stripe structure by the
self-consistent mean-field theory of the Hubbard model. By introducing the
realistic Fermi surface topology, the SDW-gapped insulator is changed to
metallic. The solitonic features of the stripe structure and the contribution
of the mid-gap states are presented. We consider the band dispersion, the local
density of states, the spectral weight, and the optical conductivity,
associated with the solitonic structure. These results may provide important
information for the experimental research of the stripe structure, such as the
angle-resolved photoemission experiments. The ``Fermi surface'' shape is
changed depending on the ratio of the incommensurability delta and the hole
density n_h. In real space, only the stripe region is metallic when delta/n_h
is large.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 23:45:23 GMT""}]","2009-10-31"
"cond-mat/9911296","Henk J. Angerman","Hindrik Jan Angerman, Eugene Shakhnovich","Dynamic charge density correlation function in weakly charged
  polyampholyte globules","12 pages RevTex, 1 figure ps, PACS 61.25.Hq, reason replacement:
  Expression for dynamic corr. function g(k,t) in old version was incorrect
  (though expression for Fourier transform g(k,w) was correct, so the major
  part of the calculation remains.) Also major textual change",,"10.1103/PhysRevE.64.041802",,"cond-mat",,"  We study solutions of statistically neutral polyampholyte chains containing a
large fraction of neutral monomers. It is known that, even if the quality of
the solvent with respect to the neutral monomers is good, a long chain will
collapse into a globule. For weakly charged chains, the interior of this
globule is semi-dilute. This paper considers mainly theta-solvents, and we
calculate the dynamic charge density correlation function g(k,t) in the
interior of the globules, using the quadratic approximation to the
Martin-Siggia-Rose generating functional. It is convenient to express the
results in terms of dimensionless space and time variables. Let R be the blob
size, and let T be the characteristic time scale at the blob level. Define the
dimensionless wave vector q = R k, and the dimensionless time s = t/T. We find
that for q<1, corresponding to length scales larger than the blob size, the
charge density fluctuations relax according to g(q,s) = q^2(1-s^(1/2)) at short
times s < 1, and according to g(q,s) = q^2 s^(-1/2) at intermediate times 1 < s
< q^(-4). We expect these results to be valid for wave vectors q > 0.1, where
entanglements are unimportant.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:02:28 GMT""},{""version"":""v2"",""created"":""Fri, 13 Oct 2000 09:46:17 GMT""}]","2013-05-29"
"cond-mat/9911297","Felix Izrailev","F.M.Izrailev","Quantum Chaos and Thermalization for Interacting Particles","RevTex, 39 pages including 21 Postscript figures; lectures given in
  the CXLIII Course ""New Directions in Quantum Chaos"" on the International
  School of Physics ""Enrico Fermi""; Varenna, Italy, July 1999; to be published
  in Proceedings","IOS Press, (2000) p.371",,,"cond-mat.stat-mech cond-mat.mes-hall",,"  In this review the problem of statistical description of isolated quantum
systems of interacting particles is discussed. Main attention is paid to a
recently developed approach which is based on chaotic properties of compound
states in the basis of non-interacting particles. In order to demonstrate the
most important aspects of this approach, the matrix model of two-body random
interaction between Fermi-particles has been used. Different problems have been
considered such as the onset of chaos and statistical equilibrium, the relation
between the structure of eigenstates and distribution of occupation numbers,
the emergence of the Fermi-Dirac distribution in isolated systems of finite
number of particles and many others. The application of the approach to
dynamical systems with the classical limit is discussed as well.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 01:04:18 GMT""}]","2007-05-23"
"cond-mat/9911299","Eugene Kogan","Liqun He, Eugene Kogan, Moshe Kaveh, Shlomo Havlin, and Nehemia
  Schwartz","Distribution function of mesoscopic hopping conductance","4 pages, Latex, 9 ps figures",,,,"cond-mat.mes-hall",,"  We study by computer simulation distribution functions (DF) of mesoscopic
hopping conductance. The DFs obtained for one-dimensional systems were found to
be quite close to the predictions of the theory by Raikh and Ruzin. For D=2,
the DFs both for narrow system and thin film look similar (and close to the 1D
case).The distribution function for the conductance of the square sample is
nearly Gaussian.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 07:59:53 GMT""}]","2007-05-23"
"cond-mat/9911300","Denis Bartolo","D. Bartolo, D. Long and J.-B. Fournier","Long-range Casimir interactions between impurities in nematic liquid
  crystals and the collapse of polymer chains in such solvents","6 pages, 1 figure",,"10.1209/epl/i2000-00211-3",,"cond-mat.soft cond-mat.stat-mech",,"  The elastic interactions between objects embedded in a nematic liquid crystal
are usually caused by the average distorsion-rather than by the fluctuations-of
the nematic orientational field. We argue that for sufficiently small
particles, the nematic-mediated interaction originates purely from the
fluctuations of the nematic director. This Casimir interaction decays as
d^(-6), d being the distance between the particles, and it dominates van der
Waals interactions close to the isotropic-to-nematic transition. Considering
the nematic as a polymer solvent, we show that the onset of this Casimir
interaction at the isotropic-to-nematic transition can discontinuously induce
the collapse of a flexible polymer chain from the swollen state to the globular
state, without crossing the Theta-point.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 08:39:36 GMT""}]","2009-10-31"
"cond-mat/9911302","Tobias Hertel","Tobias Hertel, and Gunnar Moos","Influence of excited electron lifetimes on the electronic structure of
  carbon nanotubes","6 pages, 4 figures",,"10.1016/S0009-2614(00)00256-6",,"cond-mat.mtrl-sci",,"  We have studied the dynamics of electrons in single wall carbon nanotubes
using femtosecond time-resolved photoemission. The lifetime of electrons
excited to the pi* bands is found to decrease continuously from 130 fs at 0.2
eV down to less than 20 fs at energies above 1.5 eV with respect to the Fermi
level. This should lead to a significant lifetime--induced broadening of the
characteristic van Hove singularities in the nanotube DOS.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 08:54:03 GMT""}]","2009-10-31"
"cond-mat/9911303","Nuno Peres","N. M. R. Peres (U. Evora), R. G. Dias (U. Aveiro), P. D. Sacramento
  (I. S. T. and C.F.I.F.), and J. M. P. Carmelo (U. Evora and N.O.R.D.I.T.A.)","Finite-Temperature Transport in Finite-Size Hubbard Rings in the
  Strong-Coupling Limit","15 pages and 6 figures; accepted for PRB",,"10.1103/PhysRevB.61.5169",,"cond-mat.str-el",,"  We study the current, the curvature of levels, and the finite temperature
charge stiffness, D(T,L), in the strongly correlated limit, U>>t, for Hubbard
rings of L sites, with U the on-site Coulomb repulsion and t the hopping
integral. Our study is done for finite-size systems and any band filling. Up to
order t we derive our results following two independent approaches, namely,
using the solution provided by the Bethe ansatz and the solution provided by an
algebraic method, where the electronic operators are represented in a
slave-fermion picture. We find that, in the U=\infty case, the
finite-temperature charge stiffness is finite for electronic densities, n,
smaller than one. These results are essencially those of spinless fermions in a
lattice of size L, apart from small corrections coming from a statistical flux,
due to the spin degrees of freedom. Up to order t, the Mott-Hubbard gap is
\Delta_{MH}=U-4t, and we find that D(T) is finite for n<1, but is zero at
half-filling. This result comes from the effective flux felt by the holon
excitations, which, due to the presence of doubly occupied sites, is
renormalized to
  \Phi^{eff}=\phi(N_h-N_d)/(N_d+N_h), and which is zero at half-filling, with
N_d and N_h being the number of doubly occupied and empty lattice sites,
respectively. Further, for half-filling, the current transported by any
eigenstate of the system is zero and, therefore, D(T) is also zero.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 10:42:06 GMT""}]","2016-08-31"
"cond-mat/9911304","Verbus","A. P. Protogenov and V. A. Verbus","Generalized Exclusion Statistics in the Kondo Problem","15 pages Sabj-class: Strongly Correlated Electrons","Mod. Phys. Lett. B, v.11, No.7 (1997) 283-292","10.1142/S0217984997000359",,"cond-mat",,"  We consider the generalized exclusion statistics in the Kondo problem. The
thermodynamic Bethe ansatz equations have been used for a multicomponent system
of particles obeying the generalized exclusion principle. We have found a
relation between the derivative of the phase shift of the scattering matrix for
Fermi particles and for particles characterized by generalized exclusion
statistics. We show that the statistical matrix in the Kondo problem has a
universal form in high and low temperature limits.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:41:28 GMT""}]","2015-06-25"
"cond-mat/9911305","Sherryl Manalo","S. Manalo, H. Michor, M. El-Hagary, G. Hilscher, E. Schachinger","Superconducting properties of Y_xLu_(1-x)Ni2B2C and La3Ni2B2N3: A
  comparison between experiment and Eliashberg theory","12 pages, 17 figures, to be published in Physical Review B (scheduled
  for March, 2001)",,,,"cond-mat.supr-con",,"  Specific heat and resistivity measurements were performed on polycrystalline
samples of the solid-solution Y_xLu_(1-x)Ni2B2C in order to determine
thermodynamic properties such as the specific-heat difference, the
thermodynamic critical field H_c(T), as well as the upper critical field
H_{c2}(T). These properties were analyzed within the Eliashberg theory
including anisotropy effects, yielding electron-phonon coupling anisotropy
parameters <a_k^2> ranging beween 0.02 and 0.03 for the whole series, and Fermi
velocity anisotropy parameters of <b_k^2> = 0.245-0.3. Excellent agreement
between theory and experiment was achieved for these parameters, the Sommerfeld
constant and model phonon spectra determined from specific heat measurements.
An analysis of the previously investigated boronitride La3Ni2B2N3 for
comparison revealed the electron-phonon anisotropy to be of great significance
in describing its thermodynamic properties and the calculations yielded <a_k^2>
\~ 0.08 and <b_k^2> ~ 0.245. The T_c-behavior within the series
Y_xLu_(1-x)Ni2B2C is discussed in terms of coupling and impurity effects, and
the density of states at the Fermi level N(0).
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 12:53:31 GMT""},{""version"":""v2"",""created"":""Sat, 27 Jan 2001 22:38:45 GMT""}]","2007-05-23"
"cond-mat/9911306","Olaf Herbst","Olaf Herbst, Martin Huthmann, and Annette Zippelius","Dynamics of inelastically colliding spheres with Coulomb friction:
  Relaxation of translational and rotational energy","17 pages, 10 figures",,,,"cond-mat.stat-mech",,"  We investigate the free cooling of inelastic rough spheres in the presence of
Coulomb friction. Depending on the coefficients of normal restitution
$\epsilon$ and Coulomb friction $\mu$, we find qualitatively different
asymptotic states. For nearly complete normal restitution ($\epsilon$ close to
1) and large $\mu$, friction does not change the cooling properties
qualitatively compared to a constant coefficient of tangential restitution. In
particular, the asymptotic state is characterized by a constant ratio of
rotational and translational energies, both decaying according to Haff's law.
However, for small $\epsilon$ and small $\mu$, the dissipation of rotational
energy is suppressed, so that the asymptotic state is characterized by constant
rotational energy while the translational energy continues to decay as
predicted by Haff's law. Introducing either surface roughness for grazing
collisions or cohesion forces for collisions with vanishing normal load, causes
the rotational energy to decay according to Haff's law again in the asymptotic
long-time limit with, however, an intermediate regime of approximately constant
rotational energy.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 13:21:45 GMT""},{""version"":""v2"",""created"":""Mon, 22 Nov 1999 12:28:57 GMT""}]","2007-05-23"
"cond-mat/9911307","Andrei Ignatenkov","G.I. Harus, A.N. Ignatenkov, A.I. Ponomarev, L.D. Sabirzyanova, N.G.
  Shelushinina, N.A. Babushkina (Institute of Metal Physics, Ekaterinburg,
  Russia)","Two-dimensional quantum interference contributions to the
  magnetoresistance of Nd{2-x}Ce{x}CuO{4-d} single crystals","5 pages, 4 postscript figures","JETP Lett., 70 (1999) 97-104","10.1134/1.568136",,"cond-mat.supr-con",,"  The 2D weak localization effects at low temperatures T = (0.2-4.2)K have been
investigated in nonsuperconducting sample Nd{1.88}Ce{0.12}CuO{4-d} and in the
normal state of the superconducting sample Nd{1.82}Ce{0.18}CuO{4-d} for B>B_c2.
The phase coherence time and the effective thickness $d$ of a conducting CuO_2
layer have been estimated by the fitting of 2D weak localization theory
expressions to the magnetoresistivity data for the normal to plane and the
in-plane magnetic fields.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 14:32:58 GMT""}]","2009-10-31"
"gr-qc/9911069","Juan Eloy Ayon Beato","Eloy Ay\'on-Beato, Alberto Garc\'ia, Alfredo Mac\'ias and Hernando
  Quevedo","Uniqueness theorems for static black holes in metric-affine gravity","12 pages, RevTex, to appear in Phys. Rev. D","Phys.Rev. D61 (2000) 084017","10.1103/PhysRevD.61.084017",,"gr-qc hep-th",,"  Using the equivalence theorem for the triplet ansatz sector of metric-affine
gravity (MAG) theories and the Einstein-Proca system, it is shown that the only
static black hole of the triplet sector of MAG is the Schwarzschild solution,
under the constraint (-4\beta_4 + k_1\beta_5/2k_0 + k_2\gamma_4/k_0)/\kappa z_4
\neq 0 on the coupling constants. For the special case (-4\beta_4 +
k_1\beta_5/2k_0 + k_2\gamma_4/k_0)/\kappa z_4 = 0, it follows that the only
static non-extremal black hole is the Reissner-Nordstr\""om one. The results can
be extended to exclude also the existence of soliton solutions of the triplet
sector of MAG.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 00:00:46 GMT""}]","2016-08-15"
"gr-qc/9911070","Kengo Maeda","Kengo Maeda, Takashi Torii, and Makoto Narita","Violation of the cosmic no hair conjecture in Einstein-Maxwell-dilaton
  system","9 pages, REVtex, 5 figures, to appear in Phys. Rev. D","Phys.Rev. D61 (2000) 064012","10.1103/PhysRevD.61.064012","WU-AP/86/99","gr-qc",,"  The cosmic no hair conjecture is tested in the spherically symmetric
Einstein-Maxwell-dilaton~(EMD) system with a positive cosmological constant
$\Lambda$. Firstly, we analytically show that once gravitational collapse
occurs in the massless dilaton case, the system of field equations breaks down
inevitably in outer communicating regions or at the boundary provided that a
future null infinity ${\cal I}^+$ exists. Next we find numerically the static
black hole solutions in the massive dilaton case and investigate their
properties for comparison with the massless case. It is shown that their
Abbott-Deser~(AD) mass are infinite, which implies that a spacetime with finite
AD mass does not approach a black hole solution after the gravitational
collapse. These results suggest that ${\cal I}^+$ cannot appear in the EMD
system once gravitational collapse occurs and hence the cosmic no hair
conjecture is violated in both the massless and the massive cases, in contrast
to general relativity.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 05:26:12 GMT""}]","2009-10-31"
"gr-qc/9911071","Niall O. Murchadha","Julian Barbour (1) and Niall O Murchadha (2) ((1) College Farm, South
  Newington, Oxon. U.K., (2)U.C.C., Cork, Ireland)","Classical and Quantum Gravity on Conformal Superspace",,,,,"gr-qc",,"  The four-dimensional gauge group of general relativity corresponds to
arbitrary coordinate transformations on a four-manifold. Theories of gravity
with a dynamical structure remarkably like Einstein's theory can be obtained on
the basis of a four-dimensional gauge group of arbitrary coordinate and
conformal transformations of riemannian metrics defined on a three-manifold.
This new symmetry is more restrictive and hence more predictive. Many of the
difficulties that have plagued the canonical quantization of general relativity
seem to vanish.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 10:42:22 GMT""}]","2007-05-23"
"gr-qc/9911072","Marie-Noelle Celerier","Marie-No\""elle C\'el\'erier (Observatoire de Paris-Meudon)","Solving the horizon problem with a Delayed Big-Bang singularity","6 pages, published in the Proceedings of the Second International
  Workshop on New Worlds in Astroparticle Physics, Eds. Ana M. Mourao, Mario
  Pimenta and Paulo Sa, World Scientific, Singapore, 1999, p.265-270","in ''Proceedings of the Second International Workshop on New
  worlds in Astroparticle Physics'' Eds. Ana M. Mourao, Mario Pimenta and Paulo
  Sa (World Scientific, Singapore) 1999, p.265-270",,,"gr-qc astro-ph",,"  The hot Big-Bang standard model for the evolution of the universe, despite
strong successes, lets unresolved a number of problems. One of its main
drawbacks, known as the horizon problem, was until now thought to be only
solvable by an inflationary scenario. Here is proposed a class of inhomogeneous
models of universe, getting rid of some of the worst drawbacks of standard
cosmology. The horizon problem is solved by means of an initial singularity of
""delayed"" type and without need for any inflationary phase. The flatness and
cosmological constant problems disappear.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:14:12 GMT""}]","2011-10-31"
"gr-qc/9911073","M. Meyer","S. Deser","Infinities in Quantum Gravities","8 pages. Plenary lecture at Journees Relativistes 1999","AnnalenPhys.9:299-307,2000","10.1002/(SICI)1521-3889(200005)9:3/5<299::AID-ANDP299>3.0.CO;2-E","BRX TH-464","gr-qc hep-th",,"  We first present a review, intended for classical relativists, of the
ultraviolet difficulties faced by local quantum gravity theories in both the
usual Einstein versions and in their supergravity extensions, at least
perturbatively. These problems, present in arbitrary dimensions, are traceable
to the dimensionality of the Einstein constant. We then summarize very recent
results about supergravity at the highest allowed dimension, D=11, showing that
also this unique model suffers from infinities already at 2 loops, despite its
high degree of supersymmetry. The conclusion is that there is no viable
nonghost quantum field model that includes general relativity.
","[{""version"":""v1"",""created"":""Fri, 19 Nov 1999 15:43:13 GMT""}]","2017-09-27"
"hep-ex/9911025","Jacques Dumarchez","F. Vannucci","Search for Stimulated Neutrino Conversion with an RF Cavity","4 pages, 1 figure, contributed paper to the ""Rencontres de Blois"",
  Blois, France, June 28 - July 3 1999",,,,"hep-ex",,"  Little is known on radiative decays of numu and nutau. Lifetimes can be
constrained, or the process discovered, by a search for flavour conversion in a
superconducting RF cavity installed in a neutrino beam. The lifetimes tested
with such a method can be of interest for astrophysics and cosmology. In
particular the conjecture which explains both the LSND and the SuperKamiokande
signals by radiative decays of numu can be straightforwardly put to the test.
","[{""version"":""v1"",""created"":""Thu, 18 Nov 1999 18:56:01 GMT""}]","2007-05-23"
