"adap-org/9911003","Liane Gabora","L. Gabora","Amplifying Phenomenal Information: Toward a Fundamental Theory of
  Consciousness","26 pages, 12 figures","Journal of Consciousness Studies 9(8):3-29 (2002)",,,"adap-org nlin.AO",,"  Fundamental approaches bypass the problem of getting consciousness from
non-conscious components by positing that consciousness is a universal
primitive. For example, the double aspect theory of information holds that
information has a phenomenal aspect. How then do you get from phenomenal
information to human consciousness? This paper proposes that an entity is
conscious to the extent it amplifies information, first by trapping and
integrating it through closure, and second by maintaining dynamics at the edge
of chaos through simultaneous processes of divergence and convergence. The
origin of life through autocatalytic closure, and the origin of an
interconnected worldview through conceptual closure, induced phase transitions
in the degree to which information, and thus consciousness, is locally
amplified. Divergence and convergence of cognitive information may involve
phenomena observed in light e.g. focusing, interference, and resonance. By
making information flow inward-biased, closure shields us from external
consciousness; thus the paucity of consciousness may be an illusion.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 23:59:19 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 12:47:05 GMT""}]","2007-05-23"
"astro-ph/9911166","Kohji Tomisaka","Kohji Tomisaka","Evolution of Angular Momentum Distribution during Star Formation","15 pages, 2 figures, Astrophysical Journal Letters in press",,"10.1086/312417",,"astro-ph",,"  If the angular momentum of the molecular cloud core were conserved during the
star formation process, a new-born star would rotate much faster than its
fission speed. This constitutes the angular momentum problem of new-born stars.
In this paper, the angular momentum transfer in the contraction of a rotating
magnetized cloud is studied with axisymmetric MHD simulations. Owing to the
large dynamic range covered by the nested-grid method, the structure of the
cloud in the range from 10 AU to 0.1 pc is explored. First, the cloud
experiences a run-away collapse, and a disk forms perpendicularly to the
magnetic field, in which the central density increases greatly in a finite
time-scale. In this phase, the specific angular momentum j of the disk
decreases to $\simeq 1/3$ of the initial cloud. After the central density of
the disk exceeds $\sim 10^{10}{\rm cm}^{-3}$, the infall on to the central
object develops. In this accretion stage, the rotation motion and thus the
toroidal magnetic field drive the outflow. The angular momentum of the central
object is transferred efficiently by the outflow as well as the effect of the
magnetic stress. In 7000 yr from the core formation, the specific angular
momentum of the central $0.17M_\odot$ decreases a factor of 10^{-4} from the
initial value (i.e. from $10^{20}{\rm cm^2 s^{-1}}$ to $10^{16}{\rm cm^2
s^{-1}}$).
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:42:46 GMT""}]","2009-10-31"
"astro-ph/9911167","Leo Stodolsky","Leo Stodolsky","Neutrino Flight Times in Cosmology","Three pages, no figures","Phys.Lett. B473 (2000) 61-64","10.1016/S0370-2693(99)01466-5","MPI-Pth/99-55","astro-ph gr-qc hep-ex hep-ph",,"  If neutrinos have a small but non-zero mass, time-of-flight effects for
neutrino bursts from distant sources can yield information on the large-scale
geometry of the universe, the effects being proportional to the integral over
time of the cosmological expansion parameter. In principle absolute physical
determinations of the Hubble constant and the acceleration parameter are
possible. Practical realization of these possibilities would depend on neutrino
masses being in a favorable range and the future development of very large
detectors.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:54:29 GMT""}]","2009-10-31"
"astro-ph/9911168","Pellegrini Silvia","S. Pellegrini (1), M. Cappi (2), L. Bassani (2), G. Malaguti (2),
  G.G.C. Palumbo (1), M. Persic (3) ((1) Dipartimento di Astronomia,
  Universita' di Bologna; (2) Istituto TeSRE/CNR, Bologna; (3) Osservatorio
  Astronomico di Trieste)","The low luminosity AGN in the LINER galaxy M81: BeppoSAX discovery of
  highly ionized gas","11 pages, 8 figures included in the text. To be published in
  Astronomy and Astrophysics",,,"BAP11-1999-29-DDA","astro-ph",,"  The LINER nucleus of the nearby spiral galaxy M81 was pointed by BeppoSAX,
which caught it at the highest (2-10) keV flux level observed so far. The LECS,
MECS and PDS data, extending over (0.1-100) keV, are used to investigate the
physical similarities and differences between LINERs and AGNs. The continuum is
well fitted by a power law of photon index \sim 1.84, modified by little
absorption due to cold material. Superimposed on the continuum BeppoSAX detects
a 6.7 keV emission line (confirming an ASCA result) and an absorption edge at
8.6 keV. Both spectral features are consistent with being produced by iron at
the same high ionization level, and probably also with the same column density.
So, we suggest that they originate from transmission through highly ionized
thin material. Concerning the origin of the continuum emission, we do not
observe signs of reflection from the optically thick material of an accretion
disk, as usually found in Seyfert 1's (a 6.4 keV emission line and a broad bump
peaking at 10-20 keV). The low bolometric luminosity of the nucleus of M81 is
consistent with being produced by advection dominated accretion; in this case
the X-ray emission should be dominated by Comptonization, rather than by
bremsstrahlung, in order to reproduce the steep spectrum observed over the
(0.1-100) keV band.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:15:44 GMT""}]","2007-05-23"
"astro-ph/9911169","Douglas Clowe","D. Clowe, G. Luppino, N. Kaiser and I. Gioia","Weak Lensing Observations of High-Redshift Clusters of Galaxies","5 pages, 1 figure, to be published in ASP Conference Series:
  Proceedings of Clustering at High Redshift, Les Rencontres Internationales de
  l'IGRAP",,,,"astro-ph",,"  We present results of a weak gravitational lensing survey of six X-ray
selected high-redshift clusters of galaxies. We find that the masses of the
clusters derived from weak lensing are comparable to those derived from the
X-ray observations. We show that many of the clusters have significant
substructure not observed in the X-ray observations and that for the more
massive clusters a singular isothermal sphere does not provide a good fit to
the radial mass profile.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:17:31 GMT""}]","2007-05-23"
"astro-ph/9911170","David Crampton","E.H. Richardson, A. Moore, T. Tilleman, David Crampton","Focussing Image Slicers: Refractive and Reflective","4 pages, 1 figure, to be published in ""Imaging the Universe in Three
  Dimensions"", ASP Conf. Series, in press, van Breugel & Bland-Hawthorn (eds.).
  Requires pasp3D.sty",,,,"astro-ph",,"  A number of design options for image slicers for NGST and Gemini are being
investigated. These image slicers are all of the focussing type and both
refractive and reflective solutions are being explored. One such device, an
image slicer that focuses 10 slices on a spectrograph slit is now in operation
at the McMath Solar telescope. It consists of three lenslet arrays, and
additionally acts as a focal reducer and provides correction for astigmatism of
the telescope. A combined refractive and reflective slicer designed for use on
NGST delivers near-diffraction limited images for up to 40 slices.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:38:31 GMT""}]","2007-05-23"
"astro-ph/9911171","Timothy C. Beers","Timothy C. Beers (Michigan State University)","Population III by Popular Demand - Progress and Previews","12 pages, 0 figures, to appear in proceedings of THE FIRST STARS
  meeting, held in Garching, Germany, August 1999",,"10.1007/10719504_1",,"astro-ph",,"  I discuss the ongoing search for stars of the Milky Way which have been
referred to as members of Population III. Following a discussion of possible
definitions for these stars, I consider the reasons why astronomers have
undertaken this search, and list some of the numerous astrophysical uses of the
extremely metal-poor stars found along the way. I then review survey techniques
which have been used in the past, and provide an update on plans for future
investigations. Finally, the question of when one might consider the search for
Population III Finished is addressed.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:49:16 GMT""}]","2009-10-31"
"astro-ph/9911172","Bruce Elmegreen","Bruce G. Elmegreen (IBM Watson Research Center, NY)","Star Formation in a Crossing Time","10 pages, 1 figure, to appear in Astrophysical Journal, 530, Feb 10,
  2000","Astrophys.J. 530 (2000) 277-281","10.1086/308361",,"astro-ph",,"  Observations suggest that star formation occurs in only one or two crossing
times for a range of scales spanning a factor of 1000. These observations
include (1) measurements of embedded cluster ages in comparison with the cloud
core dynamical times, (2) measurements of the age difference versus separation
for clusters in the Large Magellanic Clouds in comparison with the crossing
time versus size correlation for molecular clouds, (3) hierarchical structure
of embedded young clusters, and (4) the high fraction of dense clouds that
contain star formation. Such a short overall time scale for star formation
implies that sources of turbulent energy or internal feedback are not required
to explain or extend cloud lifetimes, and that star and protostar interactions
cannot be important for the stellar initial mass function. Stars appear in a
cloud as if they freeze out of the gas, preserving the turbulent-driven gas
structure in their birth locations. The galaxy-wide star formation rate avoids
the Zuckerman-Evans catastrophe, which has long been a concern for molecular
clouds that evolve this quickly, because the multifractal structure of
interstellar gas ensures that only a small fraction of the mass is able to form
stars. Star formation on large scales operates slower than on small scales, but
in most cases the whole process is over in only a few dynamical times.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:54:36 GMT""}]","2009-10-31"
"astro-ph/9911173","Alan M. Levine","Alan M. Levine, Saul A. Rappaport, and Goce Zojcheski","Orbital Decay in LMC X-4","Revised in response to the referee's comments; 15 pages including 1
  table and 9 figures (aas2pp4); accepted for publication in the Astrophysical
  Journal",,"10.1086/309398","CSR-99-18","astro-ph",,"  We report on the results of observations of the binary X-ray pulsar LMC X-4
with the Rossi X-ray Timing Explorer. Our analysis of the Doppler delays of the
13.5-s X-ray pulsations yields the most accurate determination of the LMC X-4
orbital parameters available to date. The epoch of orbital phase zero for the
1.4 day orbit is determined with an uncertainty of about 20 s, and is combined
with 5 earlier determinations of the epoch of phase zero to obtain the first
high significance measurement of the rate of change in the orbital period. We
find that the orbital decay timescale is close to 1,000,000 years.
  We present data on one of three strong X-ray flares as well as
energy-dependent pulse profiles for both non-flaring and flaring time
intervals. The pulse profiles during the non-flaring time intervals are
typically strikingly different from the flare profiles, but at other times can
be similar.
  We reconsider the orbital decay of LMC X-4 in the context of tidal evolution.
We find that, while the orbital decay is most likely driven by tidal
interactions, the asynchronism between the orbit and the rotation of the
companion star is probably maintained by the evolutionary expansion of the
companion star, and that the evidence favors the companion star being in a late
stage of its life on the main sequence.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 14:45:13 GMT""},{""version"":""v2"",""created"":""Thu, 4 May 2000 15:46:53 GMT""}]","2009-10-31"
"astro-ph/9911174","Alain Jorissen","C. Cerf, A. Jorissen","Is Amino-Acid Homochirality Due To Asymmetric Photolysis In Space?","To appear in Space Science Reviews, 11 pages, 1 figure (LaTeX)",,,,"astro-ph",,"  Amino acids occurring in proteins are, with rare exceptions, exclusively of
the L-configuration. Among the many scenarios put forward to explain the origin
of this chiral homogeneity (i.e., homochirality), one involves the asymmetric
photolysis of amino acids present in space, triggered by circularly polarized
UV radiation. The recent observation of circularly polarized light (CPL) in the
Orion OMC-1 star-forming region (Bailey et al. 1998, Science 281, 672) has been
presented as providing a strong validation of this scenario. The present paper
reviews the situation. It is stressed for example that one important condition
for the asymmetric photolysis by CPL to be at the origin of the terrestrial
homochirality of natural amino acids is generally overlooked, namely, the
asymmetric photolysis should favour the L-enantiomer for ALL the primordial
amino acids involved in the genesis of life (i.e., biogenic amino acids).
Although this condition is probably satisfied for aliphatic amino acids, some
non-aliphatic amino acids like tryptophan and proline may violate the condition
and thus invalidate the asymmetric photolysis scenario, assuming they were
among the primordial amino acids. Alternatively, if CPL photolysis in space is
indeed the source of homochirality of amino acids, then tryptophan and proline
may be crossed out from the list of biogenic amino acids.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 15:38:11 GMT""}]","2007-05-23"
"cond-mat/9911127","Marti Pi","Agusti Emperador, Marti Pi, Manuel Barranco and Axel Lorke","Far-infrared spectroscopy of nanoscopic InAs rings","Typeset using Revtex, 7 pages and 8 Postscript figures","Phys. Rev. B, 62 (2000) 4573","10.1103/PhysRevB.62.4573",,"cond-mat",,"  We have employed time-dependent local-spin density theory to analyze the
far-infrared transmission spectrum of InAs self-assembled nano-rings recently
reported [A. Lorke et al, cond-mat/9908263 (1999)]. The overall agreement
between theory and experiment is good, which on the one hand confirms that the
experimental peaks indeed reflect the ring-like structure of the sample, and on
the other hand, asseses the suitability of the theoretical method to describe
such small nanostructures. The addition energies of one- and two-electron rings
are also reported and compared with the corresponding capacitance spectra.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:26:05 GMT""}]","2009-10-31"
"cond-mat/9911128","Alexander Dzyubenko","A.B. Dzyubenko and A.Yu. Sivachenko","Theory of internal transitions of charged excitons in quantum wells in
  magnetic fields","Latex, 3 pages, 2 eps figures; Contribution to Int. Conf. ""Optics of
  Excitons in Confined Systems""(OECS-VI, Aug.30-Sept.2, Ascona, Switzerland),
  to be published in Physica Status Solidi",,"10.1002/1521-396X(200003)178:1<519::AID-PSSA519>3.0.CO;2-E",,"cond-mat.mes-hall cond-mat.str-el",,"  For charged semiconductor complexes in magnetic fields B, we discuss an exact
classification of states, which is based on magnetic translations. In this
scheme, in addition to the total orbital angular momentum projection $M_z$ and
electron and hole spins $S_e$, $S_h$, a new exact quantum number appears. This
oscillator quantum number, k, is related physically to the center of the
cyclotron motion of the complex as a whole. In the dipole approximation k is
strictly conserved in magneto-optical transitions. We discuss implications of
this new exact selection rule for internal intraband magneto-optical
transitions of charged excitons $X^-$ in quantum wells in B.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 16:52:47 GMT""}]","2015-06-25"
"cond-mat/9911129","Hui Yin","Hui Yin, Bulbul Chakraborty, Nicholas Gross","Effective Field Theory of the Zero-Temperature Triangular-Lattice
  Antiferromagnet: A Monte Carlo Study","26 pages, 9 figures",,"10.1103/PhysRevE.61.6426",,"cond-mat.stat-mech",,"  Using a Monte Carlo coarse-graining technique introduced by Binder et al., we
have explicitly constructed the continuum field theory for the zero-temperature
triangular Ising antiferromagnet. We verify the conjecture that this is a
gaussian theory of the height variable in the interface representation of the
spin model. We also measure the height-height correlation function and deduce
the stiffness constant. In addition, we investigate the nature of defect-defect
interactions at finite temperatures, and find that the two-dimensional Coulomb
gas scenario applies at low temperatures.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:26:12 GMT""},{""version"":""v2"",""created"":""Tue, 4 Jan 2000 16:07:57 GMT""}]","2009-10-31"
"cond-mat/9911130","Vladimir Konotop","Vladimir V. Konotop (University of Lisbon) and Boris A. Malomed (Tel
  Aviv University)","""Quadratic solitons"" in nonlinear dynamiical latticess","8 pages, revtex, no figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.61.8618",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We propose a lattice model, in both one- and multidimensional versions, which
may give rise to matching conditions necessary for the generation of solitons
through the second-harmonic generation. The model describes an array of
linearly coupled two-component dipoles in an anisotropic nonlinear host medium.
Unlike this discrete system, its continuum counterpart gives rise to the
matching conditions only in a trivial degenerate situation. A system of
nonlinear evolution equations for slowly varying envelope functions of the
resonantly coupled fundamental- and second-harmonic waves is derived. In the
one-dimensional case, it coincides with the standard system known in nonlinear
optics, which gives rise to stable solitons. In the multidimensional case, the
system prove to be more general than its counterpart in optics, because of the
anisotropy of the underlying lattice model.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:41:49 GMT""}]","2009-10-31"
"cond-mat/9911131","Hae-Young Kee","Hae-Young Kee, Yong Baek Kim, Kazumi Maki","Collective modes and sound propagation in a p-wave superconductor:
  Sr$_2$RuO$_4$","RevTex, 12 pages, 2 figures, Replaced by the published version","Phys. Rev. B 62, 5877 (2000)","10.1103/PhysRevB.62.5877",,"cond-mat.supr-con cond-mat.str-el",,"  There are five distinct collective modes in the recently discovered p-wave
superconductor Sr$_2$RuO$_4$; phase and amplitude modes of the order parameter,
clapping mode (real and imaginary), and spin wave. The first two modes also
exist in the ordinary s-wave superconductors, while the clapping mode with the
energy $\sqrt{2} \Delta(T)$ is unique to Sr$_2$RuO$_4$ and couples to the sound
wave. Here we report a theoretical study of the sound propagation in a two
dimensional p-wave superconductor. We identified the clapping mode and study
its effects on the longitudinal and transverse sound velocities in the
superconducting state. In contrast to the case of $^3$He, there is no resonance
absorption associated with the collective mode, since in metals $\omega/(v_F
|{\bf q}|) \ll 1$, where $v_F$ is the Fermi velocity, {\bf q} is the wave
vector, and $\omega$ is the frequency of the sound wave. However, the velocity
change in the collisionless limit gets modified by the contribution from the
coupling to the clapping mode. We compute this contribution and comment on the
visibility of the effect. In the diffusive limit, the contribution from the
collective mode turns out to be negligible. The behaviors of the sound velocity
change and the attenuation coefficient near $T_c$ in the diffusive limit are
calculated and compared with the existing experimental data wherever it is
possible. We also present the results for the attenuation coefficients in both
of the collisionless and diffusive limits at finite temperatures.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 17:57:16 GMT""},{""version"":""v2"",""created"":""Mon, 11 Sep 2000 04:50:50 GMT""}]","2009-10-31"
"cond-mat/9911132","John L. Bohn","John L. Bohn","Cooper Pairing in Ultracold K-40 Using Feshbach Resonances","4 pages, 2 figs, submitted to Phys. Rev. A",,"10.1103/PhysRevA.61.053409","JILA #6393","cond-mat",,"  We point out that the fermionic isotope K-40 is a likely candidate for the
formation of Cooper pairs in an ultracold atomic gas. Specifically, in an
optical trap that simultaneously traps the spin states |9/2,-9/2> and
|9/2,-7/2>, there exists a broad magnetic field Feshbach resonance at B = 196
gauss that can provide the required strong attractive interaction between
atoms. An additional resonance, at B = 191 gauss, could generate p-wave pairing
between identical |9/2,-7/2> atoms. A Cooper-paired degenerate Fermi gas could
thus be constructed with existing ultracold atom technology.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:02:14 GMT""}]","2009-10-31"
"cond-mat/9911133","S. J. C. H. Theeuwen","S.J.C.H. Theeuwen, J. Caro, K.P. Wellock, S. Radelaar, C.H. Marrows,
  B.J. Hickey, and V.I. Kozub","Nanoconstriction Microscopy of the Giant Magnetoresistance in
  Cobalt/Copper Spin Valves","13 pages [pre-print style], 3 figures, accepted APL",,"10.1063/1.125426",,"cond-mat.mes-hall",,"  We use nanometer-sized point contacts to a Co/Cu spin valve to study the
giant magnetoresistance (GMR) of only a few Co domains. The measured data show
strong device-to-device differences of the GMR curve, which we attribute to the
absence of averaging over many domains. The GMR ratio decreases with increasing
bias current. For one particular device, this is accompanied by the development
of two distinct GMR plateaus, the plateau level depending on bias polarity and
sweep direction of the magnetic field. We attribute the observed behavior to
current-induced changes of the magnetization, involving spin transfer due to
incoherent emission of magnons and self-field effects.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:02:38 GMT""}]","2009-10-31"
"cond-mat/9911134","Luca Salasnic","B. Pozzi, L. Salasnich, A. Parola, L. Reatto","Thermodynamics of a trapped Bose condensate with negative scattering
  length","RevTex, 7 postscript figures, to be published in Journal of Low
  Temperature Phsyics","J. Low Temp. Phys. 119 (2000) 57-77",,,"cond-mat",,"  We study the Bose-Einstein condensation (BEC) for a system of $^7Li$ atoms,
which have negative scattering length (attractive interaction), confined in a
harmonic potential. Within the Bogoliubov and Popov approximations, we
numerically calculate the density profile for both condensate and
non-condensate fractions and the spectrum of elementary excitations. In
particular, we analyze the temperature and number-of-boson dependence of these
quantities and evaluate the BEC transition temperature $T_{BEC}$. We calculate
the loss rate for inelastic two- and three-body collisions. We find that the
total loss rate is strongly dependent on the density profile of the condensate,
but this density profile does not appreciably change by increasing the thermal
fraction. Moreover, we study, using the quasi-classical Popov approximation,
the temperature dependence of the critical number $N_c$ of condensed bosons,
for which there is the collapse of the condensate. There are different regimes
as a function of the total number $N$ of atoms. For $N<N_c$ the condensate is
always metastable but for $N>N_c$ the condensate is metastable only for
temperatures that exceed a critical value $T_c$.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:23:05 GMT""}]","2007-05-23"
"cond-mat/9911135","Jeff Tallon","J. L. Tallon, J. W. Loram, G. V. M. Williams and C. Bernhard","Heat capacity and transport studies of the ferromagnetic superconductor
  RuSr2GdCu2O8","9 pages, 6 figures, submitted to Phys. Rev. Lett 1 June 1999",,,,"cond-mat.supr-con",,"  Resistivity, thermoelectric power and heat capacity are investigated in the
ferromagnetic superconductor RuSr2GdCu2O8 with and without Zn substitution. The
thermodynamic signatures of the ordering of the Ru moments and the paramagnetic
Gd moments as well as the onset of superconductivity are all clearly seen and
quantified. The materials are shown to exhibit bulk superconductivity which
coexists with spatially-uniform ferromagnetism. They appear to be typical
underdoped superconducting cuprates in which the pseudogap dominates
normal-state transport, thermodynamic and substitutional properties. However, a
field-induced increase in Tc could suggest some degree of triplet pairing.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 20:58:57 GMT""}]","2007-05-23"
"cond-mat/9911136","Gunnar Palsson","Gunnar Palsson and Gabriel Kotliar","Thermoelectric Response Near the Density Driven Mott Transition","4 pages, 2 embedded figures","Phys. Rev. Lett. vol. 80, page 4775 (1998)","10.1103/PhysRevLett.80.4775",,"cond-mat.str-el",,"  We investigate the thermoelectric response of correlated electron systems
near the density driven Mott transition using the dynamical mean field theory.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 01:48:37 GMT""}]","2009-10-31"
"cond-mat/9911137","Masaki Oshikawa","Masaki Oshikawa (Tokyo Inst. Tech.)","Commensurability, excitation gap and topology in quantum many-particle
  systems on a periodic lattice","4 pages in REVTEX","Phys. Rev. Lett. 84, 1535 (2000).","10.1103/PhysRevLett.84.1535",,"cond-mat.str-el cond-mat.stat-mech",,"  Combined with Laughlin's argument on the quantized Hall conductivity,
Lieb-Schultz-Mattis argument is extended to quantum many-particle systems
(including quantum spin systems) with a conserved particle number, on a
periodic lattice in arbitrary dimensions. Regardless of dimensionality,
interaction strength and particle statistics (bose/fermi), a finite excitation
gap is possible only when the particle number per unit cell of the groundstate
is an integer.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 01:41:10 GMT""}]","2009-10-31"
"cond-mat/9911138","H. J. Hilhorst","H.J. Hilhorst","Persistence exponent of the diffusion equation in epsilon dimensions","4 pages, latex, no figures","Physica A 277 (2000) 124","10.1016/S0378-4371(99)00509-9","LPT ORSAY 99/71","cond-mat.stat-mech",,"  We consider the d-dimensional diffusion equation for a field phi(x,t) with
random initial condition, and observe that, when appropriately scaled, phi(0,t)
is Gaussian and Markovian in the limit d->0. This leads via the Majumdar-Sire
perturbation theory to a small-d expansion for the persistence exponent
theta(d). We find theta(d) = d/4 - 0.12065...d^{3/2} + ...
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 10:33:13 GMT""}]","2010-08-26"
"cond-mat/9911139","M. Steinberg","M.Steinberg, J.Ortner","Ground-state energy of a high-density electron gas in a strong magnetic
  field","4 pages, 2 figures, to appear in the proceedings of the 1999
  International Conference on Strongly Coupled Coulomb Systems (St.Malo)",,,,"cond-mat",,"  The high-density electron gas in a strong magnetic field B and at zero
temperature is investigated. The quantum strong-field limit is considered in
which only the lowest Landau level is occupied. It is shown that the
perturbation series of the ground-state energy can be represented in analogy to
the Gell-Mann Brueckner expression of the ground-state energy of the field-free
electron gas. The role of the expansion parameter is taken by $r_B= (2/3 \pi^2)
(B/m^2) (\hbar r_S/e)^3$ instead of the field-free Gell-Mann Brueckner
parameter r_s.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 11:06:17 GMT""}]","2007-05-23"
"cond-mat/9911140","Bruno Bassetti","B.Bassetti, M.Cosentino Lagomarsino, P.Jona","A Model for the Self-Organization of Microtubules Driven by Molecular
  Motors","23 pages, 10 figures, LaTeX, eps",,"10.1007/s100510051150",,"cond-mat.stat-mech",,"  We propose a two-dimensional model for the organization of stabilized
microtubules driven by molecular motors in an unconfined geometry. In this
model two kinds of dynamics are competing. The first one is purely diffusive,
with an interaction between the rotational degrees of freedom, the second one
is a local drive, dependent on microtubule polarity. As a result, there is a
configuration dependent driving field. Applying a molecular field
approximation, we are able to derive continuum equations. A study on the
solutions shows nonequilibrium steady states. The presence and stability of
such self-organized states are investigated in terms of entropy production.
Numerical simulations confirm analytical results.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 14:26:44 GMT""}]","2019-08-17"
"cond-mat/9911141","Yue Yu","Yue Yu (ITP, Beijing), Huan-Xiong Yang (Zhejiang Univ.),Yong-Shi Wu
  (univ. of Utah)","Bosonization Based on Bethe Ansatz Equations and Spin-Charge Separation
  in the Hubbard Model with Finite U","41 pages, Revtex, no figure",,,,"cond-mat.str-el cond-mat.stat-mech hep-th",,"  We develop a bosonization approach for one-dimensional models based on Bethe
ansatz equations. The operator formalism of the exact soluble models in the low
energy limit provides a systematic method to calculate the asymptotic
correlation functions. As examples with and without internal degrees of
freedom, the Calogero-Sutherland (C-S) model and the repulsive Hubbard model
are considered respectively. We verify that the low energy behavior of the C-S
model is controlled by two classes of c=1 conformal field theories, depending
on whether the C-S interactions are among bosons or among fermions. For the
Hubbard model, we show the explicit charge-spin separation at low energy for
arbitrary U>0. The low energy behavior of the system is described by the
(semi-) direct product of two independent Virasoro algebras with c=1.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:29:12 GMT""}]","2007-05-23"
"cond-mat/9911142","Naoki Kawashima","Naoki Kawashima","Optimization Algorithms Based on Renormalization Group","7 pages, 2 figures","Prog. Theor. Phys. Supple. 138, 448 (2000)","10.1143/PTPS.138.448",,"cond-mat.dis-nn",,"  Global changes of states are of crucial importance in optimization
algorithms. We review some heuristic algorithms in which global updates are
realized by a sort of real-space renormalization group transformation. Emphasis
is on the relationship between the structure of low-energy excitations and
``block-spins'' appearing in the algorithms. We also discuss the implication of
existence of a finite-temperature phase transition on the computational
complexity of the ground-state problem.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 12:31:09 GMT""},{""version"":""v2"",""created"":""Thu, 18 Nov 1999 11:48:54 GMT""}]","2009-10-31"
"cond-mat/9911143","Serguei Brazovskii","S.Brazovski and N. Kirova","Topological coupling of dislocations and magnetization vorticity in Spin
  Density Waves","To be published in Proceedings of ECRYS-99, J. de Physique, Coll.,
  December 1999. http://ipnweb.in2p3.fr/~lptms/membres/brazov/",,,,"cond-mat.str-el",,"  The rich order parameter of Spin Density Waves allows for an unusual object
of a complex topological nature: a half-integer dislocation combined with a
semi-vortex of the staggered magnetization. It becomes energetically preferable
to ordinary dislocation due to enhanced Coulomb interactions in the
semiconducting regime. Generation of these objects changes the narrow band
noise frequency.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 13:16:19 GMT""}]","2007-05-23"
"cond-mat/9911144","Felix Ritort","Felix Ritort (Univ. of Barcelona)","Dynamical phase transitions in glasses induced by the ruggedness of the
  free energy landscape","Invited Talk at Workshop Trieste ICTP September 1999 ""Unifying
  Concepts in Glass Physics"", 10 pages, 3 figures and styles",,"10.1088/0953-8984/12/29/317",,"cond-mat.dis-nn",,"  We propose damage spreading (DS) as a tool to investigate the topological
features related to the ruggedness of the free energy landscape. We argue that
DS measures the positiveness of the largest Lyapunov exponent associated to the
basins of attraction visited by the system during its dynamical evolution. We
discuss recent results obtained in the framework of mode-coupling theory and
comment how to extend them to the study of realistic glasses. Preliminary
results are presented for purely repulsive soft-sphere glasses.
","[{""version"":""v1"",""created"":""Wed, 10 Nov 1999 15:18:46 GMT""}]","2009-10-31"
"cs/9911003","David Eppstein","David Eppstein","Subgraph Isomorphism in Planar Graphs and Related Problems","27 pages, 6 figures. A preliminary version of this paper appeared at
  the 6th ACM-SIAM Symp. Discrete Algorithms, 1995","J. Graph Algorithms & Applications 3(3):1-27, 1999",,,"cs.DS",,"  We solve the subgraph isomorphism problem in planar graphs in linear time,
for any pattern of constant size. Our results are based on a technique of
partitioning the planar graph into pieces of small tree-width, and applying
dynamic programming within each piece. The same methods can be used to solve
other planar graph problems including connectivity, diameter, girth, induced
subgraph isomorphism, and shortest paths.
","[{""version"":""v1"",""created"":""Tue, 9 Nov 1999 18:58:58 GMT""}]","2007-05-23"
