"adap-org/9907004","Klaus Behrndt","Andreas Schaale","A dynamical model of non regulated markets","12 pages LaTeX, 4 ps figures, Contact: Schaale@snafu.de",,,"IfH-DESY Seminar Report 12-22-1998","adap-org nlin.AO",,"  The main focus of this work is to understand the dynamics of non regulated
markets. The present model can describe the dynamics of any market where the
pricing is based on supply and demand. It will be applied here, as an example,
for the German stock market presented by the Deutscher Aktienindex (DAX), which
is a measure for the market status. The duality of the present model consists
of the superposition of the two components - the long and the short term
behaviour of the market. The long term behaviour is characterised by a stable
development which is following a trend for time periods of years or even
decades. This long term growth (or decline) is based on the development of
fundamental market figures. The short term behaviour is described as a
dynamical evaluation (trading) of the market by the participants. The trading
process is described as an exchange between supply and demand. In the framework
of this model there the trading is modelled by a system of nonlinear
differential equations. The model also allows to explain the chaotic behaviour
of the market as well as periods of growth or crashes.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 19:54:35 GMT""}]","2007-05-23"
"chao-dyn/9907022","Heiko Rehfeld","C. Dembowski, H.-D. Graef, R. Hofferbert, H. Rehfeld, A. Richter, and
  T. Weiland","Anderson Localization in a String of Microwave Cavities","7 pages RevTex, to be published in Phys. Rev. E","Phys. Rev. E 60, 3942 (1999)","10.1103/PhysRevE.60.3942",,"chao-dyn nlin.CD",,"  The field distributions and eigenfrequencies of a microwave resonator which
is composed of 20 identical cells have been measured. With external screws the
periodicity of the cavity can be perturbed arbitrarily. If the perturbation is
increased a transition from extended to localized field distributions is
observed. For very large perturbations the field distributions show signatures
of Anderson localization, while for smaller perturbations the field
distribution is extended or weakly localized. The localization length of a
strongly localized field distribution can be varied by adjusting the
penetration depth of the screws. Shifts in the frequency spectrum of the
resonator provide further evidence for Anderson localization.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 07:27:00 GMT""}]","2009-10-31"
"chao-dyn/9907023","Emilio Hernandez-Garcia","Zoltan Neufeld, Cristobal Lopez, Emilio Hernandez-Garcia, and Tamas
  Tel","The multifractal structure of chaotically advected chemical fields","10 pages, REVTeX, 7 figures included in the text. Related material at
  http://www.imedea.uib.es/Nonlinear/","Physical Review E 61, 3857-3866 (2000)","10.1103/PhysRevE.61.3857","IMEDEA99075","chao-dyn nlin.CD",,"  The structure of the concentration field of a decaying substance produced by
chemical sources and advected by a smooth incompressible two-dimensional flow
is investigated. We focus our attention on the non-uniformities of the H\""older
exponent of the resulting filamental chemical field. They appear most evidently
in the case of open flows where irregularities of the field exhibit strong
spatial intermittency as they are restricted to a fractal manifold.
Non-uniformities of the H\""older exponent of the chemical field in closed flows
appears as a consequence of the non-uniform stretching of the fluid elements.
We study how this affects the scaling exponents of the structure functions,
displaying anomalous scaling, and relate the scaling exponents to the
distribution of finite-time Lyapunov exponents of the advection dynamics.
Theoretical predictions are compared with numerical experiments.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:55:15 GMT""}]","2009-10-31"
"chao-dyn/9907024","Krzysztof Gawedzki","Krzysztof Gawedzki","Easy turbulence","26 pages, latex, 7 figurs, cosmetic changes",,,"IHES/P/99/56","chao-dyn nlin.CD",,"  This is an introductory course on fully developed turbulence. It discusses:
in Lecture 1: the Navier Stokes equations, existence of solutions, statistical
description, energy balance and cascade picture; in Lecture 2: the Kolmogorov
theory of three-dimensional turbulence versus intermittency, the
Kraichnan-Batchelor theory of two-dimensional turbulence; in Lecture 3: the
Richardson dispersion law and the breakdown of the Lagrangian flow; in Lecture
4: direct and inverse cascades and intermittency in the Kraichnan model of
passive advection.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:05:56 GMT""},{""version"":""v2"",""created"":""Wed, 18 Aug 1999 15:55:44 GMT""}]","2007-05-23"
"cond-mat/9907224","Thomas Winiecki","T. Winiecki, J. F. McCann, and C. S. Adams","Vortex structures in dilute quantum fluids","7 pages, 16 postscript files for 6 figures",,"10.1209/epl/i1999-00507-2",,"cond-mat",,"  Vortex structures in dilute quantum fluids are studied using the
Gross-Pitaevskii equation. The velocity and momentum of multiply quantized
vortex rings are determined and their core structures analysed. For flow past a
spherical object, we study the encircling and pinned ring solutions, and
determine their excitation energies as a function of the flow velocity for both
penetrable and impenetrable objects. The ring and laminar flow solutions
converge at a critical velocity, which decreases with increasing object size.
We also study the vortex solutions associated with flow past a surface bump
which indicate that surface roughness also reduces the critical velocity. This
effect may have important implications for the threshold of dissipation in
superfluids and superconductors.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:11:34 GMT""}]","2009-10-31"
"cond-mat/9907225","Phil Nelson","Helim Aranda-Espinoza (U Delaware), Yi Chen (U Penn), Nily Dan (U
  Delaware), TC Lubensky (U Penn), Philip Nelson (U Penn), Laurence Ramos (U
  Montpellier), DA Weitz (U Penn)","Electrostatic Repulsion of Positively Charged Vesicles and Negatively
  Charged Objects","Latex using epsfig and afterpage; pdf available at
  http://www.physics.upenn.edu/~nelson/Mss/repel.pdf","Science 285 (1999) 394--397",,,"cond-mat.soft",,"  A positively charged, mixed bilayer vesicle in the presence of negatively
charged surfaces (for example, colloidal particles) can spontaneously partition
into an adhesion zone of definite area, and another zone that repels additional
negative objects. Although the membrane itself has nonnegative charge in the
repulsive zone, negative counterions on the interior of the vesicle
spontaneously aggregate there, and present a net negative charge to the
exterior. Beyond the fundamental result that oppositely charged objects can
repel, our mechanism helps explain recent experiments on surfactant vesicles.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 18:24:58 GMT""}]","2007-05-23"
"cond-mat/9907226","Sung-Sik Lee","Sung-Sik Lee and Sung-Ho Suck Salk","High $T_c$ Phase Diagram based on the SU(2) Slave-Boson Approach to the
  t-J Hamiltonian","4 pages, 1 figures",,,,"cond-mat.supr-con cond-mat.str-el",,"  Based on an improved SU(2) slave-boson approach to the t-J Hamiltonian, we
derive a phase diagram of high $T_c$ cuprates which displays both the
superconducting and pseudogap phases in the plane of temperature vs. hole
doping rate. It is shown that the inclusion of phase fluctuations in the order
parameters results in a closer agreement with the observed superconducting
temperature(bose condensation line) of an arch shape as a function of hole
doping rate.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 18:42:44 GMT""},{""version"":""v2"",""created"":""Sun, 16 Jan 2000 08:26:06 GMT""}]","2009-09-25"
"cond-mat/9907227","Michael G. Moore","J. Heurich, M. G. Moore, and P. Meystre","Cavity atom optics and the `free atom laser'","To be published in a special edition of Optics Communications in
  honor of the 60th birthday of Marlan Scully",,"10.1016/S0030-4018(99)00482-4",,"cond-mat",,"  The trap environment in which Bose-Einstein condensates are generated and/or
stored strongly influences the way they interact with light. The situation is
analogous to cavity QED in quantum optics, except that in the present case, one
tailors the matter-wave mode density rather than the density of modes of the
optical field. Just as in QED, for short times, the atoms do not sense the trap
and propagate as in free space. After times long enough that recoiling atoms
can probe the trap environment, however, the way condensates and light fields
are mutually influenced differs significantly from the free-space situation. We
use as an example the condensate collective atomic recoil laser, which is the
atomic matter-wave analog of the free-electron laser.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 20:03:29 GMT""}]","2009-10-31"
"cond-mat/9907228","John M. Tranquada","V. J. Emery (BNL), S. A. Kivelson (UCLA), J. M. Tranquada (BNL)","Stripe phases in high-temperature superconductors","5 pp, 1 color eps fig., to appear as a Perspective in Proc. Natl.
  Acad. Sci. USA","Proc. Natl. Acad. Sci. USA 96, 8814 (1999)","10.1073/pnas.96.16.8814",,"cond-mat.supr-con cond-mat.str-el",,"  Stripe phases are predicted and observed to occur in a class of
strongly-correlated materials describable as doped antiferromagnets, of which
the copper-oxide superconductors are the most prominent representative. The
existence of stripe correlations necessitates the development of new principles
for describing charge transport, and especially superconductivity, in these
materials.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 21:10:41 GMT""}]","2009-10-31"
"cond-mat/9907229","Jane' Kondev","J. Kondev (Brandeis University), C.L. Henley and D.G. Salinas (Cornell
  University)","Nonlinear Measures for Characterizing Rough Surface Morphologies","39 pages and 18 figures included; comments to
  kondev@matter.cc.brandeis.edu",,"10.1103/PhysRevE.61.104",,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  We develop a new approach to characterizing the morphology of rough surfaces
based on the analysis of the scaling properties of contour loops, i.e. loops of
constant height. Given a height profile of the surface we perform independent
measurements of the fractal dimension of contour loops, and the exponent that
characterizes their size distribution. Scaling formulas are derived and used to
relate these two geometrical exponents to the roughness exponent of a
self-affine surface, thus providing independent measurements of this important
quantity. Furthermore, we define the scale dependent curvature and demonstrate
that by measuring its third moment departures of the height fluctuations from
Gaussian behavior can be ascertained. These nonlinear measures are used to
characterize the morphology of computer generated Gaussian rough surfaces,
surfaces obtained in numerical simulations of a simple growth model, and
surfaces observed by scanning-tunneling-microscopes. For experimentally
realized surfaces the self-affine scaling is cut off by a correlation length,
and we generalize our theory of contour loops to take this into account.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 22:53:56 GMT""}]","2009-10-31"
"cond-mat/9907230","Andrei","A. Shelankov and M. Ozana","Quasiclassical theory of superconductivity: a multiple interface
  geometry(II)","RevTeX, 50 pages, 11 figures, the full version of cond-mat/9905226.
  Major changes in the revised version: Introduction part is considerably
  extended, general discussion of the quasiclassical approximation in
  superconductors has been added, more detailed arguments concerning tree-like
  trajectories Some important references added","Phys.Rev.B 61 (2000),7077-7100","10.1103/PhysRevB.61.7077",,"cond-mat.supr-con cond-mat.mes-hall",,"  A new method which allows one to study multiple coherent
reflection/transmissions by partially transparent interfaces, (e.g., in
multi-layer mesoscopic structures or grain boundaries in high-Tc's), in the
framework of the quasiclassical theory of superconductivity is suggested. It is
argued that in the presence of interfaces, a straight-line trajectory
transforms to a simple connected 1-dimensional tree (graph) with knots, i.e.
the points where the interface scattering events occur and pieces of the
trajectories are coupled. For the 2-component trajectory ""wave function"" which
factorizes the matrix Gor'kov Green's function, a linear boundary condition on
the knot is formulated for an arbitrary interface, specular or diffusive (in
the many channel model). From the new boundary condition, we derive: (i) the
excitation scattering amplitude for the multi-channel Andreev/ordinary
reflection/transmission processes; (ii) the boundary conditions for the Riccati
equation; (iii) the transfer matrix which couples the trajectory Green's
function before and after the interface scattering. To show the usage of the
method, the cases of a film separated from a bulk superconductor by a partially
transparent interface, and a SIS' sandwich with finite thickness layers, are
considered. The electric current response to the vector potential (the
superfluid density $\rho_s$) with the $\pi $ phase difference in S and S' is
calculated for the sandwich. It is shown that the model is very sensitive to
imperfection of the SS' interface: the low temperature response being
paramagnetic ($\rho_s <0$) in the ideal system case, changes its sign and
becomes diamagnetic ($\rho_s > 0$) when the probability of reflection is as low
as a few percent.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 23:33:02 GMT""},{""version"":""v2"",""created"":""Sun, 21 Nov 1999 19:37:21 GMT""}]","2009-10-31"
"cond-mat/9907232","Saharyan Aram Azati","A.A.Saharian, A.R.Mkrtchyan, L.A.Gevorgian, L.Sh.Grigorian,
  B.V.Khachatryan (Institute of Applied Problems in Physics, Armenia)","Radiation from an electron bunch flying over a surface wave","13 pages, no figures",,,"IAPP-99-14","cond-mat",,"  Radiation generated by the passage of a monoenergetic electron bunch above
the surface wave excited in plane interface between homogeneous media with
different dielectric constants is investigated. For the surface wave of general
profile the radiation intensity is expressed via the radiated power from a
single charge and bunch form factor. Various types of transverse and
longitudinal distributions of electrons in the bunch have been considered
including Gaussian, asymmetrical Gaussian, two Gaussian and rectangular
distribution with asymmetrical exponential tails. Conditions are specified
under which the coherent radiation essentially exceeds the incoherent part.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 04:31:43 GMT""}]","2007-05-23"
"cond-mat/9907233","Takashi Kimura","Masahito Ueda and Anthony J. Leggett","Ground-State Properties of a Rotating Bose-Einstein Condensate with
  Attractive Interaction","4 pages, 2 figures, Accepted for publication in Physical Reveiw
  Letters",,"10.1103/PhysRevLett.83.1489",,"cond-mat",,"  The ground state of a rotating Bose-Einstein condensate with attractive
interaction in a quasi-one-dimensional torus is studied in terms of the ratio
$\gamma$ of the mean-field interaction energy per particle to the
single-particle energy-level spacing. The plateaus of quantized circulation are
found to appear if and only if $\gamma<1$ with the lengths of the plateaus
reduced due to hybridization of the condensate over different angular-momentum
states.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 06:15:26 GMT""}]","2009-10-31"
"cond-mat/9907234","A. Chechkin","A. V. Chechkin and V. Yu. Gonchar (Institute for Theoretical Physics
  Kharkov and Institute for Single Crystals, Kharkov Ukraine)","Self - affinity of ordinary Levy motion, spurious multi - affinity and
  pseudo - Gaussian relations","13 pages, RevTeX 3.0, 7 figures PostScript",,,"ITP-99-06","cond-mat.stat-mech",,"  The ordinary Levy motion is a random process whose stationary independent
increments are statistically self-affine and distributed with a stable
probability law characterized by the Levy index alpha, 0 < alpha < 2. The
divergence of statistical moments of the order q > alpha leads to an important
role of the finite sample effects. The objective of this paper is to study the
influence of these effects on the self-affine properties of the ordinary Levy
motion, namely, on the '1/alpha laws', that is, time dependence of the q-th
order structure function and of the range. Analytical estimates and simulations
of the finite sample effects clearly demonstrates three phenomena: spurious
multi-affinity of the Levy motion, strong dependence of the structure function
on the sample size at q > alpha, and pseudo-Gaussian behavior of the
second-order structure function and of the normalized range. We discuss these
phenomena in detail and propose the modified Hurst method for empirical
rescaled range analysis.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 09:29:59 GMT""}]","2007-05-23"
"cond-mat/9907235","K. A. Muttalib","K. A. Muttalib and P. W\""olfle","`One-sided' log-normal distribution of conductances of a disordered
  quantum wire","7 pages, 2 figures. Summary and new references added. Final version,
  published in Phys. Rev. Lett","Phys. Rev. Lett. 83, 3013 (1999)","10.1103/PhysRevLett.83.3013",,"cond-mat.dis-nn",,"  We develop a simple systematic method, valid for all strengths of disorder,
to obtain analytically for the first time the full distribution of conductance
P(g) for a quasi one dimensional wire in the absence of electron-electron
interaction. We show that in the crossover region between the metallic and
insulating regimes, P(g) is highly asymmetric, given by an essentially `one
sided' log-normal distribution. For larger disorder, the tail of the log-normal
distribution for g > 1 is cut off by a Gaussian.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 09:57:27 GMT""},{""version"":""v2"",""created"":""Tue, 7 Dec 1999 22:05:04 GMT""}]","2009-10-31"
"cond-mat/9907236","Francisco Guinea","H. Suderow, E. Bascones, W. Belzig, F. Guinea and S. Vieira","Andreev scattering in nanoscopic junctions at high magnetic fields","4 pages",,"10.1209/epl/i2000-00544-3",,"cond-mat.mes-hall",,"  We report on the measurement of multiple Andreev resonances at atomic size
point contacts between two superconducting nanostructures of Pb under magnetic
fields higher than the bulk critical field, where superconductivity is
restricted to a mesoscopic region near the contact. The small number of
conduction channels in this type of contacts permits a quantitative comparison
with theory through the whole field range. We discuss in detail the physical
properties of our structure, in which the normal bulk electrodes induce a
proximity effect into the mesoscopic superconducting part.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 11:03:28 GMT""}]","2009-10-31"
"cond-mat/9907237","Konstantinovic J. Milan","M.J.Konstantinovic, Z.V.Popovic, T.Ruf, M.Cardona, A.N.Vasil'ev,
  M.Isobe and Y.Ueda","Resonant Raman scattering in NaV2O5 as a probe of its electronic
  structure","to be publish in physica status solidi (proceedings issue of ICSSS)","phys. stat. sol. (b) 215, 661 (1999).","10.1002/(SICI)1521-3951(199909)215:1<661::AID-PSSB661>3.0.CO;2-G",,"cond-mat.str-el",,"  In order to investigate the origin of the phase transition observed in
NaV$_2$O$_5$, as well as its electronic structure, we have measured Raman
intensities as a function of the laser wavelength above and below the phase
transition temperature. In the polarized Raman spectra at room temperature we
observe resonant enhancement of the 969 $cm^{-1}$ phonon mode when the laser
energy approaches 2.7 eV, presumably related to the (p-d) electron hopping
band, $O_3$($p_y$)-V($d_{xy}$), at 3.2 eV. The 969 $cm^{-1}$ mode originates
from the stretching vibrations along the c-axis involving the V-$O_1$ bonds.
Since an ellipsometric determination of the dielectric function $\epsilon_{cc}$
yields no structure in the 1.7 to 5.5 eV photon energy range, we conclude that
plane bonds couple strongly with the apical oxygens leading to a large Raman
efficiency. In the low-temperature Raman spectra, almost all modes that become
active below the phase transition temperature T$_c$=34 K show resonant
behavior. The most interesting ones, those at 66 and 106 $cm^{-1}$, possibly of
magnetic origin, exhibit a resonant intensity enhancement, approximately by an
order of magnitude, for laser photon energies around 1.85 eV with respect to
2.43 eV. This resonance effect may be associated with a weak absorption band
around 2 eV. Finally, a destructive interference between the resonant and the
nonresonant contribution to the Raman scattering amplitude (i.e. an
antiresonance) is found in the spectra for most of the (bb) low-temperature
modes.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 12:04:52 GMT""}]","2015-06-25"
"cond-mat/9907238","Segei Taraskin","S.N.Taraskin and S.R.Elliott","Scattering of plane-wave atomic vibrations in disordered structures","20 pages, 8 figures, Proceedings of the summer school (Cargese,
  1999): Physics of Glasses: Structure and Dynamics, Eds P. Jund and R. Jullien",,"10.1063/1.1301458",,"cond-mat.dis-nn cond-mat.mtrl-sci",,"  A theoretical analysis of the scattering of plane-wave atomic excitations in
disordered solids has been made in terms of the spectral densities.
Hybridization between transverse and longitudinal waves of approximately the
same frequency is demonstrated. The analytic results agree well with the
results obtained from computer simulation for a toy linear zig-zag chain model
and a model of vitreous silica constructed by molecular dynamics.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 12:38:46 GMT""}]","2009-10-31"
"cond-mat/9907239","St\'ephane Ouvry","St\'ephane Ouvry","On the relation between the anyon and Calogero models","4 pages, revtex",,,,"cond-mat",,"  In order to achieve a dimensional reduction from dimension two to one not
only in phase space but also in configuration space, the lowest Landau level
(LLL) projection is not sufficient. One has also, in the LLL, to take the
vanishing magnetic field limit, a procedure which can be given a non ambiguous
meaning by means of a long distance regulator. As an illustration, the
equivalence of the LLL anyon model in the vanishing magnetic field limit to the
Calogero model is established. A thermodynamical argument is proposed which
supports this claim. Some general considerations in favor of an intimate
connexion between anyon and Haldane statistics are also given.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:16:07 GMT""},{""version"":""v2"",""created"":""Fri, 8 Oct 1999 13:43:41 GMT""}]","2007-05-23"
"cond-mat/9907240","A. M. Martin","Andrew M. Martin, Thomas Gramespacher and Markus Buttiker","Charge fluctuations in a quantum point contact attached to a
  superconducting lead","4 pages, 3 figures","Phys. Rev. B 60, R12581 (1999).","10.1103/PhysRevB.60.R12581",,"cond-mat.mes-hall cond-mat.supr-con",,"  We show how to calculate the charge noise spectrum in a normal mesoscopic
conductor, which is capacitively coupled to a macroscopic gate, when this
conductor is attached to L normal leads and M superconducting leads, the only
restriction being that the superconducting leads must be at the same chemical
potential. We then proceed to examine results for a quantum point contact (QPC)
in a normal lead connecting to a superconductor. Of interest is the fluctuating
current in a gate capacitively coupled to a QPC. The results are compared with
the case when all leads are normal. We find a doubling of the equilibrium
charge fluctuations and a large enhancement (>2) in the current noise spectrum
to first order in |eV|, when a channel in the QPC is opening.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:24:45 GMT""}]","2009-10-31"
"cond-mat/9907241","Jean-Paul Blaizot","Gordon Baym, Jean-Paul Blaizot and Jean Zinn-Justin","The transition temperature of the dilute interacting Bose gas for $N$
  internal degrees of freedom","10 pages, Revtex, submitted to Europhysics Letters",,"10.1209/epl/i2000-00130-3","SACLAY-T99/077","cond-mat.stat-mech",,"  We calculate explicitly the variation $\delta T_c$ of the Bose-Einstein
condensation temperature $T_c$ induced by weak repulsive two-body interactions
to leading order in the interaction strength. As shown earlier by general
arguments, $\delta T_c/T_c$ is linear in the dimensionless product $an^{1/3}$
to leading order, where $n$ is the density and $a$ the scattering length. This
result is non-perturbative, and a direct perturbative calculation of the
amplitude is impossible due to infrared divergences familiar from the study of
the superfluid helium lambda transition. Therefore we introduce here another
standard expansion scheme, generalizing the initial model which depends on one
complex field to one depending on $N$ real fields, and calculating the
temperature shift at leading order for large $N$. The result is explicit and
finite. The reliability of the result depends on the relevance of the large $N$
expansion to the situation N=2, which can in principle be checked by systematic
higher order calculations. The large $N$ result agrees remarkably well with
recent numerical simulations.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:39:19 GMT""}]","2009-10-31"
"cond-mat/9907242","Javier S\'anchez-Ca\~nizares","J. S\'anchez-Ca\~nizares and F. Sols","Self-consistent theory of transport in superconducting wires","33 pages, 8 figures",,,,"cond-mat.supr-con cond-mat.mes-hall",,"  We study superconducting transport in homogeneous wires in the cases of both
equilibrium and nonequilibrium quasiparticle populations, using the
quasiclassical Green's function technique. We consider superconductors with
arbitrary current densities and impurity concentrations ranging from the clean
to the dirty limit. Local current conservation is guaranteed by ensuring that
the order parameter satisfies the self-consistency equation at each point. For
equilibrium transport, we compute the current, the order parameter amplitude,
and the quasiparticle density of states as a function of the superfluid
velocity, temperature, and disorder strength. Nonequilibrium is characterized
by incoming quasiparticles with different chemical potentials at each end of
the superconductor. We calculate the profiles of the electrostratic potential,
order parameter, and effective quasiparticle gap. We find that a transport
regime of current-induced gapless superconductivity can be achieved in clean
superconductors, the stability of this state being enhanced by nonequilibrium.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 14:24:34 GMT""}]","2007-05-23"
"cs/9907022","Satoru Kuroda","Satoru Kuroda","Weak length induction and slow growing depth boolean circuits",,,,,"cs.LO",,"  We define a hierarchy of circuit complexity classes LD^i, whose depth are the
inverse of a function in Ackermann hierarchy. Then we introduce extremely weak
versions of length induction and construct a bounded arithmetic theory L^i_2
whose provably total functions exactly correspond to functions computable by
LD^i circuits. Finally, we prove a non-conservation result between L^i_2 and a
weaker theory AC^0CA which corresponds to the class AC^0. Our proof utilizes
KPT witnessing theorem.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 08:41:25 GMT""}]","2007-05-23"
"cs/9907023","Devillers","Olivier Devillers","On Deletion in Delaunay Triangulation","15 pages 5 figures. in Proc. 15th Annu. ACM Sympos. Comput. Geom.,
  181--188, 1999",,,"INRIA Research report 3451","cs.CG",,"  This paper presents how the space of spheres and shelling may be used to
delete a point from a $d$-dimensional triangulation efficiently. In dimension
two, if k is the degree of the deleted vertex, the complexity is O(k log k),
but we notice that this number only applies to low cost operations, while time
consuming computations are only done a linear number of times.
  This algorithm may be viewed as a variation of Heller's algorithm, which is
popular in the geographic information system community. Unfortunately, Heller
algorithm is false, as explained in this paper.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 13:25:04 GMT""}]","2007-05-23"
"cs/9907024","Devillers","Olivier Devillers","Improved Incremental Randomized Delaunay Triangulation","19 pages, 7 figures Proc. 14th Annu. ACM Sympos. Comput. Geom.,
  106--115, 1998",,,"INRIA Research Report 3298","cs.CG",,"  We propose a new data structure to compute the Delaunay triangulation of a
set of points in the plane. It combines good worst case complexity, fast
behavior on real data, and small memory occupation.
  The location structure is organized into several levels. The lowest level
just consists of the triangulation, then each level contains the triangulation
of a small sample of the levels below. Point location is done by marching in a
triangulation to determine the nearest neighbor of the query at that level,
then the march restarts from that neighbor at the level below. Using a small
sample (3%) allows a small memory occupation; the march and the use of the
nearest neighbor to change levels quickly locate the query.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 12:44:07 GMT""}]","2007-05-23"
"cs/9907025","Devillers","Herve Bronnimann, Olivier Devillers","The union of unit balls has quadratic complexity, even if they all
  contain the origin","5 pages, 5 figures",,,,"cs.CG",,"  We provide a lower bound construction showing that the union of unit balls in
three-dimensional space has quadratic complexity, even if they all contain the
origin. This settles a conjecture of Sharir.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:20:14 GMT""}]","2007-05-23"
"cs/9907026","Tovena","Emanuele Pianta, Lucia M. Tovena","Mixing representation levels: The hybrid approach to automatic text
  generation","6 pages","Proceedings of the AISB'99 Workshop on ``Reference Architectures
  and Data Standards for NLP'', Edinburgh Scotland, April 1999, 8-13",,,"cs.CL cs.AI",,"  Natural language generation systems (NLG) map non-linguistic representations
into strings of words through a number of steps using intermediate
representations of various levels of abstraction. Template based systems, by
contrast, tend to use only one representation level, i.e. fixed strings, which
are combined, possibly in a sophisticated way, to generate the final text.
  In some circumstances, it may be profitable to combine NLG and template based
techniques. The issue of combining generation techniques can be seen in more
abstract terms as the issue of mixing levels of representation of different
degrees of linguistic abstraction. This paper aims at defining a reference
architecture for systems using mixed representations. We argue that mixed
representations can be used without abandoning a linguistically grounded
approach to language generation.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:43:45 GMT""}]","2007-05-23"
"gr-qc/9907053","Andrew P. Bilyard","A. P. Billyard (1), A. A. Coley (1), R. J. van den Hoogen (2), J.
  Ibanez (3) and I. Olasagasti (3) ((1) Dalhousie University, (2) Saint Francis
  Xavier University, (3) Universidad del Pais Vasco)","Scalar Field Cosmologies with Barotropic Matter: Models of Bianchi class
  B","18 pages, 1 figure, uses revtex and epsf to insert figure","Class.Quant.Grav.16:4035-4056,1999","10.1088/0264-9381/16/12/320","DAL-99-6a","gr-qc",,"  We investigate in detail the qualitative behaviour of the class of Bianchi
type B spatially homogeneous cosmological models in which the matter content is
composed of two non-interacting components; the first component is described by
a barotropic fluid having a gamma-law equation of state, whilst the second is a
non-interacting scalar field (phi) with an exponential potential V=Lambda exp(k
phi). In particular, we study the asymptotic properties of the models both at
early and late times, paying particular attention on whether the models
isotropize (and inflate) to the future, and we discuss the genericity of the
cosmological scaling solutions.
","[{""version"":""v1"",""created"":""Thu, 15 Jul 1999 16:53:37 GMT""}]","2014-11-17"
"gr-qc/9907054","Emulsion-Lab","S.Q. Wu and X. Cai","Maxwell-Boltzmann, Bose-Einstein, Fermi-Dirac statistical entropies in a
  D-dimensional stationary axisymmetry space-time","22 pages, no figure, in revtex (12pt), submitted to Phys. Rev. D",,,,"gr-qc",,"  Statistical entropies of a general relativistic ideal gas obeying
Maxwell-Boltzmann, Bose-Einstein and Fermi-Dirac statistics are calculated in a
general axisymmetry space-time of arbitrary dimension. This general formation
can be used to discuss the entropy of a quantum field not only in the flat
space-time but also in a curved space-time. It can also be used to compare the
entropies in different dimensional space-times. Analytical expressions for the
thermodynamic potentials are presented, and their behaviors in the high or low
temperature approximation are discussed. The entropy of a quantum field is
shown to be proportional to the volume of optical space or that of the dragged
optical space only in the high temperature approximation or in the zero mass
case. In the case of a black hole, the entropy of a quantum field at the
Hartle-Hawking temperature is proportional to the horizon ""area"" if and only if
the horizon is located at the light velocity surface.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 10:17:32 GMT""}]","2007-05-23"
"gr-qc/9907055","Michele Maggiore","Michele Maggiore and Alberto Nicolis","Detection strategies for scalar gravitational waves with interferometers
  and resonant spheres","26 pages, Latex, 4 Postscript figures. Various minor improvements,
  misprint in eqs. 42, 127, 138 corrected, references added","Phys.Rev. D62 (2000) 024004","10.1103/PhysRevD.62.024004","IFUP-TH 40/99","gr-qc",,"  We compute the response and the angular pattern function of an interferometer
for a scalar component of gravitational radiation in Brans-Dicke theory. We
examine the problem of detecting a stochastic background of scalar GWs and
compute the scalar overlap reduction function in the correlation between an
interferometer and the monopole mode of a resonant sphere. While the
correlation between two interferometers is maximized taking them as close as
possible, the interferometer-sphere correlation is maximized at a finite value
of f*d, where `f' is the resonance frequency of the sphere and `d' the distance
between the detectors. This defines an optimal resonance frequency of the
sphere as a function of the distance. For the correlation between the Virgo
interferometer located near Pisa and a sphere located in Frascati, near Rome,
we find an optimal resonance frequency f=590 Hz. We also briefly discuss the
difficulties in applying this analysis to the dilaton and moduli fields
predicted by string theory.
","[{""version"":""v1"",""created"":""Fri, 16 Jul 1999 15:07:06 GMT""},{""version"":""v2"",""created"":""Tue, 8 Feb 2000 17:10:52 GMT""}]","2009-10-31"
