"adap-org/9906001","Yi Li","Yi Li (1 and 2), Rick Riolo (1), Robert Savit (1 and 2) ((1) Program
  for Study of Complex Systems, U of Michigan (2) Physics Department, U of
  Michigan)","Evolution in Minority Games II. Games with Variable Strategy Spaces","18 pages text, 8 figures. Postscript from msword for text, from
  matlab for figures",,"10.1016/S0378-4371(99)00435-5","PSCS-99-05-001","adap-org nlin.AO",,"  We continue our study of evolution in minority games by examining games in
which agents with poorly performing strategies can trade in their strategies
for new ones from a different strategy space. In the context of the games
discussed in this paper, this means allowing for strategies that use
information from different numbers of time lags, m. We find, in all the games
we study, that after evolution, wealth per agent is high for agents with
strategies drawn from small strategy spaces (small m), and low for agents with
strategies drawn from large strategy spaces (large m). In the game played with
N agents, wealth per agent as a function of m is very nearly a step function.
The transition is at m=mt, where mt~mc-1. Here mc is the critical value of m at
which N agents playing the game with a fixed strategy space (fixed m) have the
best emergent coordination and the best utilization of resources. We also find
that overall system-wide utilization of resources is independent of N.
Furthermore, although overall system-wide utilization of resources after
evolution varies somewhat depending on some other aspects of the evolutionary
dynamics, in the best cases, utilization of resources is on the order of the
best results achieved in evolutionary games with fixed strategy spaces. Simple
explanations are presented for some of our main results.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 21:54:17 GMT""}]","2009-10-31"
"hep-ph/9905539","Xinwei Kong","Xinwei Kong, Finn Ravndal","Relativistic corrections to the Pionium Lifetime","5 pages, Latex. Includes corrections based on a more precise matching
  to the pion-pion scattering amplitude from chiral perturbation theory","Phys.Rev. D61 (2000) 077506","10.1103/PhysRevD.61.077506",,"hep-ph",,"  Next to leading order contributions to the pionium lifetime are considered
within non-relativistic effective field theory. A more precise determination of
the coupling constants is then needed in order to be consistent with the
relativistic pion-pion scattering amplitude which can be obtained from chiral
perturbation theory. The relativistic correction is found to be 4.1% and
corresponds simply to a more accurate value for the non-relativistic decay
momentum.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 21:59:59 GMT""},{""version"":""v2"",""created"":""Wed, 20 Oct 1999 22:08:05 GMT""}]","2009-10-31"
"hep-ph/9905540","Sebastian Jaimungal","Sebastian Jaimungal, Ariel R. Zhitnitsky","Monopoles and Coulomb Gas Representation of the QCD Effective Lagrangian","ReVTeX, 28 pages, 1 figure. This is an extended version of
  hep-ph/9904377",,,,"hep-ph hep-lat hep-th",,"  A novel Coulomb gas (CG) description of low energy QCD_4(N_c) is constructed.
The construction is based on the dual transformation of the QCD effective
Lagrangian. By considering a large gauge transformation, the charges of this
statistical system are identified with magnetic monopoles which carry
fractional charges of strength 1/N_c. Furthermore, the creation operator which
inserts the magnetic charge in the CG picture is explicitly constructed and
demonstrated to have a non-zero vacuum expectation value, indicating that
confinement does occur. The Wilson loop operator as well as the creation
operator for the domain wall in CG representation is also constructed.
Additional support for the D-brane picture suggested by Witten is also found.
Lastly, the relation of the CG picture with the instanton-quarks is also
discussed.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 23:41:31 GMT""}]","2007-05-23"
"hep-ph/9905541",,"George W.S. Hou","West Indies or Antarctica -- Direct CP Violation in B Decays","7 pages, ReVTeX, 15 eps figures included. Talk presented at DPF99,
  UCLA, Jan. 1999",,,,"hep-ph",,"  A Discovery Voyage into The Age of: PENGUINS (chubby little figure).
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 02:41:56 GMT""}]","2007-05-23"
"hep-ph/9905542","Durga Prasad Roy","D.P.Roy","The Hadronic Tau Decay Signature of a Heavy Charged Higgs Boson at LHC","11 pages, latex, including 3 figures","Phys.Lett.B459:607-614,1999","10.1016/S0370-2693(99)00724-8","CERN-TH/99-136","hep-ph",,"  The hadronic tau decay channel offers by far the best signature for heavy
charged Higgs boson search at the LHC in the large $\tan\beta$ region. By
exploiting the distinct polarization of the tau and its large transverse mass,
along with the accompanying missing--$p_T$, one can probe for a charged Higgs
boson up to a mass of about 600 GeV in an essentially background-free
environment. The transverse mass distribution of the tau jet also provides a
fairly unambiguous estimate of the charged Higgs boson mass.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 11:17:39 GMT""}]","2011-03-23"
"hep-th/9905216","Osvaldo Chandia","Osvaldo Chandia","On the N=2 Superstring BRST Operator","6 pages, harvmac","Phys.Lett. B474 (2000) 85-88","10.1016/S0370-2693(00)00012-5","IFT-P.046/99","hep-th",,"  We write the BRST operator of the N=2 superstring as $Q= e^{-R} (\oint
\frac{dz}{2\pi i} ~ b \gamma_+ \gamma_-)e^R$ where $b$ and $gamma_\pm$ are
super-reparameterization ghosts. This provides a trivial proof of the
nilpotence of this operator.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 17:57:19 GMT""}]","2009-10-31"
"hep-th/9905217","Mark Trodden","Sean M. Carroll, Simeon Hellerman and Mark Trodden","Domain Wall Junctions are 1/4-BPS States","18 pages, 4 figures, uses RevTeX. Brief comments concerning lattices
  of junctions added. Version to appear in Phys. Rev. D","Phys.Rev. D61 (2000) 065001","10.1103/PhysRevD.61.065001","CWRU-21-99","hep-th",,"  We study N=1 SUSY theories in four dimensions with multiple discrete vacua,
which admit solitonic solutions describing segments of domain walls meeting at
one-dimensional junctions. We show that there exist solutions preserving one
quarter of the underlying supersymmetry -- a single Hermitian supercharge. We
derive a BPS bound for the masses of these solutions and construct a solution
explicitly in a special case. The relevance to the confining phase of N=1 SUSY
Yang-Mills and the M-theory/SYM relationship is discussed.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 22:43:19 GMT""},{""version"":""v2"",""created"":""Sun, 30 May 1999 21:18:54 GMT""},{""version"":""v3"",""created"":""Mon, 9 Aug 1999 20:09:01 GMT""},{""version"":""v4"",""created"":""Tue, 30 Nov 1999 23:40:11 GMT""}]","2009-10-31"
"math/9905183","Dmitri Zaitsev","Wilhelm Kaup and Dmitri Zaitsev","On symmetric Cauchy-Riemann manifolds","24 pages, to appear in Advances in Mathematics",,,,"math.CV",,"  A joint generalization of real smooth as well of complex manifolds are the
Cauchy-Riemann manifolds. The main objective of the paper is to inroduce a
class of symmetric CR manifolds containing both classes of Riemannian and
Hermitian symmetric spaces. It turns out that the classical requirement of
isolated fixed points for the symmetries is no longer adequate, because it
would imply the Levi-flatness.
  Among all symmetric CR-manifolds we distinguish a large subclass consisting
of all Shilov boundaries of bounded symmetric domains. For this class we
calculate the polynomial and the rational convex hulls Both hulls are
canonically stratified into real-analytic CR-submanifolds such that the
(unique) stratum of the highest dimension is complex for the polynomial and
Levi-flat for the rational convex hull. It is also proved that the CR-functions
extend continuously to the rational convex hull such that the extension is CR
on every stratum.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 12:22:33 GMT""}]","2007-05-23"
"math/9905184","Dmitri Zaitsev","Dmitri Zaitsev","Configurations of linear subspaces and rational invariants","15 pages, to appear in Michigan Math. Journal",,,,"math.AG math.RA",,"  We construct a birational equivalence between certain quotients of s-tuples
of equidimensional linear subspaces of $C^n$ and some quotients of products of
square matrices modulo diagonal conjugations. In particular, we prove the
rationality of the quotient space of s-tuples of linear 2-planes in $C^n$
modulo the diagonal $\gl_n(C)$-action . Furthermore, we compute generators of
the field of the rational invariants explicitly.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 12:32:59 GMT""}]","2007-05-23"
"math/9905185","Jean Renault","Jean Renault","Cuntz-like algebras","18 pages, AMS LaTeX, to appear in the Proceedings of the 17th
  Conference in Operator Theory at Timisoara",,,,"math.OA",,"  The usual crossed product construction which associates to the homeomorphism
$T$ of the locally compact space $X$ the C$^*$-algebra $C^*(X,T)$ is extended
to the case of a partial local homeomorphism $T$. For example, the
Cuntz-Krieger algebras are the C$^*$-algebras of the one-sided Markov shifts.
The generalizations of the Cuntz-Krieger algebras (graph algebras, algebras
$O_A$ where $A$ is an infinite matrix) which have been introduced recently can
also be described as C$^*$-algebras of Markov chains with countably many
states. This is useful to obtain such properties of these algebras as
nuclearity, simplicity or pure infiniteness. One also gives examples of strong
Morita equivalences arising from dynamical systems equivalences.
","[{""version"":""v1"",""created"":""Sat, 29 May 1999 13:57:03 GMT""}]","2007-05-23"
"nucl-th/9905062","Vladimir Pascalutsa","V. Pascalutsa and J. A. Tjon (U. of Utrecht)","Lorentz covariance of three-dimensional equations","10 pages, 6 figures, invited paper at 16th European Conference on
  Few-Body Problems in Physics (FB 98), Autrans, Grenoble, France, 1-6 Jun 1998","Few Body Syst.Suppl.10:105-114,1999",,"THU-98/40","nucl-th",,"  We show how the invariance under the charge conjugation and CPT symmetry,
present in the Bethe-Salpeter equation, is lost in the reduction to certain
relativistic three-dimensional equations. This in particular leads to the
breakdown of the standard Lorentz structure and renormalization procedures for
the resulting single-particle propagators. We formulate the equal-time
approximation of the Bethe-Salpeter equation in the form which manifestly
satisfies the above symmetries, and apply it to the description of the
pion-nucleon interaction in a dynamical model based on hadron exchanges. We
also consider the one-body limit of various three-dimensional equations for the
case of $t$- and $u$-channel one-particle-exchange potential.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 18:00:18 GMT""}]","2011-04-15"
"nucl-th/9905063","Jun L. Forest","J. L. Forest","Effects of Nonlocal One-Pion-Exchange Potential in Deuteron","23 pages, RevTeX, 6 PostScript figures, submitted to Physical Review
  C","Phys.Rev.C61:034007,2000","10.1103/PhysRevC.61.034007","JLAB-THY-99-14","nucl-th",,"  The off-shell aspects of the one-pion-exchange potential (OPEP) are
discussed. Relativistic Hamiltonians containing relativistic kinetic energy,
relativistic OPEP with various off-shell behaviors and Argonne $v_{18}$
short-range parameterization are used to study the deuteron properties. The
OPEP off-shell behaviors depend on whether a pseudovector or pseudoscalar
pion-nucleon coupling is used and are characterized by a parameter $\mu$. We
study potentials having $\mu$=-1, 0 and +1 and we find that they are nearly
unitarily equivalent. We also find that a nonrelativistic Hamiltonian
containing local potentials and nonrelativistic kinetic energy provides a good
approximation to a Hamiltonian containing a relativistic OPEP based on
pseudovector pion-nucleon coupling and relativistic kinetic energy.
","[{""version"":""v1"",""created"":""Fri, 28 May 1999 18:19:56 GMT""}]","2014-11-18"
