"adap-org/9903006","James P. Crutchfield","Erik van Nimwegen, James P. Crutchfield, and Martijn Huynen","Neutral Evolution of Mutational Robustness","7 pages, 3 figures",,"10.1073/pnas.96.17.9716","Santa Fe Institute Working Paper 99-03-021","adap-org nlin.AO q-bio.PE",,"  We introduce and analyze a general model of a population evolving over a
network of selectively neutral genotypes. We show that the population's limit
distribution on the neutral network is solely determined by the network
topology and given by the principal eigenvector of the network's adjacency
matrix. Moreover, the average number of neutral mutant neighbors per individual
is given by the matrix spectral radius. This quantifies the extent to which
populations evolve mutational robustness: the insensitivity of the phenotype to
mutations. Since the average neutrality is independent of evolutionary
parameters---such as, mutation rate, population size, and selective
advantage---one can infer global statistics of neutral network topology using
simple population data available from {\it in vitro} or {\it in vivo}
evolution. Populations evolving on neutral networks of RNA secondary structures
show excellent agreement with our theoretical predictions.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:49:53 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 23:01:47 GMT""}]","2009-10-31"
"cond-mat/9903294","Chetan Nayak","Leon Balents, Matthew P. A. Fisher, Chetan Nayak","Dual Vortex Theory of Strongly Interacting Electrons: Non-Fermi Liquid
  to the (Hard) Core","Modified dicussion of the hard-core model, correcting several
  mistakes",,"10.1103/PhysRevB.61.6307",,"cond-mat.str-el cond-mat.supr-con",,"  As discovered in the quantum Hall effect, a very effective way for
strongly-repulsive electrons to minimize their potential energy is to aquire
non-zero relative angular momentum. We pursue this mechanism for interacting
two-dimensional electrons in zero magnetic field, by employing a representation
of the electrons as composite bosons interacting with a Chern-Simons gauge
field. This enables us to construct a dual description in which the fundamental
constituents are vortices in the auxiliary boson fields. The resulting
formalism embraces a cornucopia of possible phases. Remarkably,
superconductivity is a generic feature, while the Fermi liquid is not --
prompting us to conjecture that such a state may not be possible when the
interactions are sufficiently strong. Many aspects of our earlier discussions
of the nodal liquid and spin-charge separation find surprising incarnations in
this new framework.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:32:28 GMT""},{""version"":""v2"",""created"":""Fri, 2 Apr 1999 23:36:34 GMT""}]","2009-10-31"
"cond-mat/9903295","Takao Morinari","Takao Morinari","The role of imaginary vector potential in composite fermion pairing
  theory","3 pages",,,,"cond-mat.mes-hall",,"  We show that the imaginary vector potential causes a pair-breaking effect in
the composite fermion theory, and discuss its irrelevance in the pairing state.
The Hamiltonian for pairing states of composite fermions is proposed. The
advantage of non-unitary transformations and the meaning of the non-Hermitian
term are discussed.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 01:33:29 GMT""}]","2007-05-23"
"cond-mat/9903296","Miguel Angel Ojeda Lopez","Miguel A. Ojeda and J. Dorantes-Davila (Instituto de Fisica,
  Universidad Aut\'onoma de San Luis Potosi, San Luis Potosi, Mexico), G. M.
  Pastor (Laboratoire de Physique Quantique, Unite Mixte de Recherche 5626 du
  CNRS, Universite Paul Sabatier, Toulouse, France)","Noncollinear cluster magnetism in the framework of the Hubbard model","Latex, two-colums 13 pages, 9 figures",,"10.1103/PhysRevB.60.6121",,"cond-mat.str-el",,"  Noncollinear magnetic states in clusters are studied by using the single-band
Hubbard Hamiltonian. The unrestricted Hartree-Fock (UHF) approximation is
considered without imposing any symmetry constraints neither to the size or
orientation of the local magnetic moments $<\vec S_l>$ nor to the local charge
densities $<n_l>$. A variety of qualitatively different selfconsistent
solutions is obtained as a function of cluster size, structure, number of
valence electrons $\nu$ and Coulomb interaction strength $U/t$. This includes
inhomogeneous density distributions, paramagnetic solutions, magnetic solutions
with collinear moments and noncollinear spin arrangements that show complex
antiferromagnetic and ferromagnetic-like orders. The environment dependence of
the magnetic properties is analyzed giving emphasis to the effects of
antiferromagnetic frustrations in compact structures close to half-band
filling. Electron correlation effects are quantified by comparing UHF and exact
results for the local magnetic moments, total spin, spin-correlation functions
and structural stability of 13-atom clusters. Goals and limitations of the
present noncollinear approach are discussed.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 03:16:23 GMT""},{""version"":""v2"",""created"":""Sun, 21 Mar 1999 02:25:11 GMT""}]","2009-10-31"
"cs/9903013","Tapas K. Das","Tapas Kumar Das","The Impact of Net Culture on Mainstream Societies: a Global Analysis","8 pages, no figure, Submitted to The Economic and Political Weekly",,,,"cs.CY",,"  In this work the impact of the Internet culture on standard mainstream
societies has been analyzed. After analytically establishing the fact that the
Net can be viewed as a pan-societal superstructure which supports its own
distinct culture, an ethnographic analysis is provided to find out the key
aspects of this culture. The elements of this culture which have an empowering
impacts on the standard mainstream societies, as well as the elements in it
which can cause discouraging social effects are then discussed by a global
investigation of the present status of various fundamental aspects (e,g,
education, economics, politics, entertainment etc) of the mainstream societies
as well as their links with the Net culture. Though immensely potential for
providing various prominent positive impacts, the key findings of this work
indicate that misuse of Internet can create tremendous harm to the members of
the mainstream societies by generating a set of morally crippled people as well
as a future generation completely void of principles and ethics. This
structured diagnostic approach to the social problems caused by the manhandling
of Internet leads to a concrete effort of providing the measures that can be
taken to enhance or to overcome the supporting and limiting effects of the Net
culture respectively with the intent to benefit our society and to protect the
teratoidation of certain ethical values.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:01:27 GMT""}]","2007-05-23"
"gr-qc/9903070","S. M. Kopeikin","Sergei M. Kopeikin","Timing Effects of Gravitational Waves from Localized Sources","6 pages, 2 figures, a talk given at the XXXIVth Rencontres de Moriond
  on ""Gravitational Waves and Experimental Gravity"", Les Arcs, 23-30 January
  1999",,,,"gr-qc astro-ph",,"  Localized astronomical sources like a double stellar system, rotating neutron
star, or a massive black hole at the center of the Milky Way emit periodic
gravitational waves. For a long time only a far-zone contribution of
gravitational fields of the localized sources (plane-wave-front approximation)
were a matter of theoretical analysis. We demonstrate how this analysis can be
extended to take into account near-zone and intermediate-zone contributions as
well. The formalism is used to calculate gravitational-wave corrections to the
Shapiro time delay in binary pulsars and low-frequency (LF) pulsar timing noise
produced by an ensemble of double stars in our galaxy.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:38:37 GMT""}]","2007-05-23"
"gr-qc/9903071","Manoelito M. de Souza","Manoelito M. de Souza, Robson N. Silveira","Gauss vs Coulomb and the Cosmological Mass-deficit Problem","7 pages 1 ps figure",,,,"gr-qc astro-ph hep-th",,"  In a previous work General Relativity has been presented as a microscopic
theory of finite and discrete point-like fields that we associate to a
classical description of gravitons. The standard macroscopic continuous field
is retrieved as an average-valued field through an integration over these
gravitons. Here we discuss extreme alternative (the Gauss's and the Coulomb's)
ways of obtaining and interpreting the averaged fields, how they depend on the
kind of measurements involved, and how do they fit with the experimental data.
The field measurements in the classical tests of general relativity correspond
to the Coulomb's mode whereas the determination of the overall spacetime
curvature in a cosmological scale is clearly a Gauss's mode. As a natural
consequence there is no missing mass and, therefore, no such a need of dark
mass as the value predicted by General Relativity, in the context of the
Gauss's mode, agrees with the observed one.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 20:40:12 GMT""}]","2007-05-23"
"gr-qc/9903072","Chris Isham","J.Butterfield and C.J.Isham","Spacetime and the Philosophical Challenge of Quantum Gravity","To appear in ``Physics meets Philosophy at the Planck Scale'', ed. C.
  Callender and N. Huggett, Cambridge University Press (2000)",,,"Imperial/TP/98--99/45","gr-qc",,"  We survey some philosophical aspects of the search for a quantum theory of
gravity, emphasising how quantum gravity throws into doubt the treatment of
spacetime common to the two `ingredient theories' (quantum theory and general
relativity), as a 4-dimensional manifold equipped with a Lorentzian metric.
After an introduction, we briefly review the conceptual problems of the
ingredient theories and introduce the enterprise of quantum gravity We then
describe how three main research programmes in quantum gravity treat four
topics of particular importance: the scope of standard quantum theory; the
nature of spacetime; spacetime diffeomorphisms, and the so-called problem of
time. By and large, these programmes accept most of the ingredient theories'
treatment of spacetime, albeit with a metric with some type of quantum nature;
but they also suggest that the treatment has fundamental limitations. This
prompts the idea of going further: either by quantizing structures other than
the metric, such as the topology; or by regarding such structures as
phenomenological. We discuss this in Section \ref{Sec:TowardsQuST}.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:24:11 GMT""}]","2007-05-23"
"gr-qc/9903073","R. Michael Jones","R. Michael Jones (CIRES, University of Colorado, Boulder, Colorado,
  U.S.A.)","The classical action for a Bianchi VI_h model","Latex, 31 pages",,,,"gr-qc",,"  An estimate for the classical action for a Bianchi VI_h homogeneous spatially
closed cosmology is presented as a function of b, a parameter of the model that
is proportional to the relative rotation of the average inertial frame and the
bulk of matter in the universe. It is assumed (through the equation of state)
that a relativistic early universe is followed by a matter-dominated late
universe. The action is used in a saddlepoint approximation to a semiclassical
estimate for the wave function in quantum cosmology to explain why our inertial
frame seems not to rotate relative to the stars. The saddlepoint is at b=0, as
would be expected. Application of the saddlepoint approximation leads to the
result that only those classical geometries whose action differs from the
saddlepoint value for the action by an amount less than Planck's constant
contribute significantly to the integration to give the present value of the
wave function. Using estimates for our universe implies that only those
classical geometries for which the present relative rotation rate of inertial
frames and matter are less than about 10^(-130) radians per year contribute
significantly to the integration. This is well below the limit set by
experiment. The result depends on the ratio of the Hubble distance to the
Planck length, but does not depend on the details of the theory of quantum
gravity.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:37:50 GMT""}]","2007-05-23"
"gr-qc/9903074","D. V. Ahluwalia","D. V. Ahluwalia (Zacatecas)","Quantum Gravity - Testing Time for Theories",,"Nature 398:199,1999","10.1038/18325",,"gr-qc astro-ph hep-ph hep-th",,"  The extreme smallness of both the Planck length, on the one side, and the
ratio of the gravitational to the electrical forces between, say, two
electrons, on the other side has led to a widespread belief that the realm of
quantum gravity is beyond terrestrial experiments. A series of classical and
quantum arguments are put forward to dispel this view. It is concluded that
whereas the smallness of the Planck length and the ratio of gravitational to
electrical forces, does play its own essential role in nature, it does not make
quantum gravity a science where humans cannot venture to probe her secrets. In
particular attention is drawn to the latest neutron and atomic interferometry
experiments, and to gravity wave interferometers. The latter, as Giovanni
Amelino-Camelia argues [Nature 398, 216 (1999)], can be treated as probes of
space-time fuzziness down to Planck length for certain quantum-gravity models.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 23:20:19 GMT""}]","2011-06-16"
"gr-qc/9903075","Douglas Singleton","Vladimir Dzhunushaliev and Douglas Singleton","Wormholes and Flux Tubes in Kaluza-Klein Theory","6 pgs. Revtex, 1 Figure, Talk given at DPF 99",,,,"gr-qc",,"  In this work spherically symmetric solutions to 5D Kaluza-Klein theory, with
""electric"" and/or ""magnetic"" fields are examined. Different relative strengths
of the ""electric"" and ""magnetic"" charges of the solutions are studied by
varying certain parameters in our metric ansatz. As the strengths of these two
charges are varied the resultant spacetime exhibits an interesting ""evolution"".
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 00:54:23 GMT""}]","2007-05-23"
"hep-ex/9903045","Asish Satpathy","Asish Satpathy (University of Cincinnati)","Particle Identification with BELLE","5 page, 10 figures, Will apprear in DPF conference proceedings",,,"UC-99-3","hep-ex",,"  The working principle and performance of the BELLE particle identification
device (PID), based on a hybrid system consisting of an array of high precision
scintillator Time of Flight and silica Aerogel Counters, is discussed. The
performances achieved in the beam tests are satisfactory and Monte Carlo tests
of meeting physics objectives of BELLE are promising. Prior to the real
experiment which is expected to commence in spring 1999, the BELLE PID is
taking cosmic ray data for calibration and fine tuning.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 16:05:49 GMT""}]","2007-05-23"
"hep-ex/9903046","Richard Cross","Richard Cross(University of Wisconsin-Madison)","Structure Functions, the Gluon Density, and PQCD Tests","7 pages, LateX",,,,"hep-ex",,"  Measurements of the proton structure function F_2 for 0.11 < Q^2 < 20000
GeV^2 and 1.2 X 10^-5 < x < 0.65 from ZEUS 1994-1997 measurements are
presented. From ZEUS 1994 and 1995 F_2 data the slopes d(F_2)/d(ln Q^2) at
fixed x and d(ln F_2)/d(ln(1/x)) for x < 0.01 at fixed Q^2 are derived. For the
latter E665 data are also used. The transition region in Q^2 is explored using
the simplest non-perturbative models and NLO QCD. The data at very low Q^2 <=
0.65 GeV^2 are described successfully by Regge theory. From a NLO QCD fit to
ZEUS data the gluon density in the proton is extracted in the range 3 X 10^-5 <
x < 0.7. Data from NMC and BCDMS constrain the fit at large x. Assuming the NLO
QCD description to be valid down to Q^2 of 1 GeV^2, it is found that the qqbar
sea distribution is still rising at small x and the lowest Q^2 values whereas
the gluon distribution is strongly suppressed. Preliminary ZEUS 1996-1997 $F_2$
measurements are also presented.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 00:02:10 GMT""}]","2007-05-23"
"hep-ph/9903392","Stefan Scherer","S. Scherer, S. A. Bass, M. Belkacem, M. Bleicher, J. Brachmann, A.
  Dumitru, C. Ernst, L. Gerland, N. Hammon, M. Hofmann, J. Konopka, L. Neise,
  M. Reiter, S. Schramm, S. Soff, C. Spieles, H. Weber, D. Zschiesche, J.A.
  Maruhn, H. St\""ocker, W. Greiner (J. W. Goethe-Universit\""at, Frankfurt am
  Main, Germany, Duke University, Durham, USA, Yale University, New Haven, USA,
  Lawrence Berkeley Laboratory, Berkeley, USA)","Physics opportunities at RHIC and LHC","Proceedings of the Klaus Kinder-Geiger Day",,"10.1063/1.59576",,"hep-ph",,"  Nonequilibrium models (three-fluid hydrodynamics, UrQMD, and quark molecular
dynamics) are used to discuss the uniqueness of often proposed experimental
signatures for quark matter formation in relativistic heavy ion collisions from
the SPS via RHIC to LHC. It is demonstrated that these models -- although they
do treat the most interesting early phase of the collisions quite differently
(thermalizing QGP vs. coherent color fields with virtual particles) -- all
yield a reasonable agreement with a large variety of the available heavy ion
data. Hadron/hyperon yields, including $J/\Psi$ meson production/suppression,
strange matter formation, dileptons, and directed flow (bounce-off and
squeeze-out) are investigated. Observations of interesting phenomena in dense
matter are reported. However, we emphasize the need for systematic future
measurements to search for simultaneous irregularities in the excitation
functions of several observables in order to come close to pinning the
properties of hot, dense QCD matter from data. The role of future experiments
with the STAR and ALICE detectors is pointed out.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:03:32 GMT""}]","2009-10-31"
"hep-ph/9903399","Serguey Petcov","M. V. Chizhov and S. T. Petcov","New Conditions for a Total Neutrino Conversion in a Medium","4 pages latex, two eps-files, the text includes 2 figures; except for
  ref. [10], version published in Phys. Rev. Lett. 83 (1999) 1096","Phys.Rev.Lett. 83 (1999) 1096-1099","10.1103/PhysRevLett.83.1096","SISSA 29/99/EP, March 1999","hep-ph astro-ph",,"  A new effect of total neutrino conversion is possible when neutrino
propagates through multi-layer medium of nonperiodic constant density layers.
The effect can take place in the oscillations in the Earth of the
Earth-core-crossing solar and atmospheric neutrinos.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 18:47:58 GMT""},{""version"":""v2"",""created"":""Sun, 12 Sep 1999 09:47:42 GMT""}]","2009-10-31"
"hep-ph/9903403","Robin Stuart","Paresh Malde and Robin G. Stuart","Complete O(N_f alpha^2) Weak Contributions to the Muon Lifetime","30 pages LaTeX. 4 figures. Uses amsmath.sty, axodraw.sty and cite.sty","Nucl.Phys.B552:41-66,1999","10.1016/S0550-3213(99)00245-X","MPI-PhT/98-91","hep-ph",,"  The complete O(N_f alpha^2) weak contributions to the muon lifetime, denoted
as Delta r^(2), are calculated in the MS-bar renormalization scheme. These come
from 2-loop Feynman diagrams containing a loop formed by complete generations
of massless fermions. They form an independent, gauge-invariant set of
corrections that, because of the large number of light fermions in the Standard
Model, is expected to make a significant contribution. In the MS-bar
renormalization scheme with mu'= (pi e^gamma)^(1/2) mu = M_Z and for a Higgs
mass, M_H, in the range 100-1000 GeV the contribution varies from -0.55x10^-4
to -1.54x10^-4 for each massless generation of fermions.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:48:22 GMT""}]","2011-03-23"
"hep-ph/9903404","Georg Weiglein","S. Heinemeyer, W. Hollik, G. Weiglein","The Mass of the Lightest MSSM Higgs Boson: A Compact Analytical
  Expression at the Two-Loop Level","14 pages, 4 figures","Phys.Lett. B455 (1999) 179-191","10.1016/S0370-2693(99)00417-7","CERN-TH/99-74, DESY 99-012, KA-TP-1-1999","hep-ph",,"  A compact approximation formula for the mass of the lightest neutral CP-even
Higgs boson, m_h, in the Minimal Supersymmetric Standard Model (MSSM) is
derived from the diagrammatic two-loop result for m_h up to O(alpha alpha_s).
By analytically expanding the diagrammatic result the leading logarithmic and
non-logarithmic as well as the dominant subleading contributions are obtained.
The approximation formula is valid for general mixing in the scalar top sector
and arbitrary choices of the parameters in the Higgs sector of the model. Its
quality is analyzed by comparing it with the full diagrammatic result. We find
agreement with the full result better than 2 GeV for most parts of the MSSM
parameter space.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 20:06:00 GMT""}]","2009-10-31"
"hep-ph/9903405","Manayenkov Serguei","S. I. Manayenkov","Regge description of spin-spin asymmetry in photon diffractive
  dissociation","44 pages, LaTeX, 12 figures",,"10.1007/s10582-000-0014-0","DESY 99--016","hep-ph",,"  We explore the possibility whether the gluon helicity distribution $\Delta
G(x)$ can be extracted from a comparison of experimental data on the
longitudinal spin-spin asymmetry $A_{LL}$ in $\gamma p$ diffractive deep
inelastic scattering with calculations performed within the framework of
perturbative QCD (pQCD). The data could be obtained at the future HERA collider
in scattering of polarized electrons/positrons off polarized protons. In this
paper we look for such kinematical regions where contributions to $A_{LL}$ from
soft processes (reggeon exchanges) are suppressed to guarantee an applicability
of pQCD. It is shown that for the square of the center-of-mass energy
$s_{\gamma p} \geq 10^3 GeV^2$, the hadronic diffractive mass $M_X \leq 10
GeV/c^2$, the momentum transferred to the proton $\Delta_T\leq 0.5 GeV/c$, and
$Q^2\geq4 (GeV/c)^2$ the longitudinal spin-spin asymmetry due to reggeon
exchanges is less than 10^{-4}. This value is presumably lower than the
asymmetry which can be measured with modern experimental technique. This means
that the pQCD prediction can be reliably compared with data in this kinematical
region.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:00:48 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 16:28:02 GMT""}]","2009-10-31"
"hep-ph/9903406",,"Micheal S. Berger and Biswajoy Brahmachari (Indiana U)","Leptogenesis and Yukawa textures","Revised version, to appear in Phys. ReV. D","Phys.Rev.D60:073009,1999","10.1103/PhysRevD.60.073009",,"hep-ph",,"  We study a set of textures giving rise to correct masses and mixings of the
charged fermions in the context of leptogenesis. The Dirac neutrino texture
pattern is assumed to be identical with the up quark texture. The heavy
Majonana neutrino mass matrix is obtained by inverting the type-I see-saw
formula and using the neutrino masses and mixings required by the solar and
atmospheric neutrino oscillation experiments as input. After making the
feasibility study of the generated lepton asymmetry via the decay of the heavy
right handed neutrino, we compute the generated baryon asymmetry by numerically
solving the supersymmetric Boltzmann equations. We find for these models that
both the hierarchy of the texture as well as the placement of the texture zeros
are important to the viability of leptogenesis as the source of the observed
baryon asymmetry of the universe.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:34:12 GMT""},{""version"":""v2"",""created"":""Sat, 17 Jul 1999 19:31:13 GMT""}]","2011-07-19"
"hep-ph/9903407","Bogdan A. Dobrescu","Bogdan A. Dobrescu","Higgs Compositeness from Top Dynamics and Extra Dimensions","7 pages, revtex",,,"FERMILAB-Conf-99/051-T","hep-ph hep-th",,"  The fundamental Higgs doublet may be replaced in the Standard Model by
certain non-perturbative four-quark interactions, whose effect is to induce a
composite Higgs sector responsible for electroweak symmetry breaking. A simple
composite two-Higgs-doublet model is presented. The four-quark interactions
arise naturally if there are either extra spatial dimensions or larger gauge
symmetries at a multi-TeV scale. Some theoretical and phenomenological
implications of these scenarios are discussed.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 02:07:36 GMT""}]","2007-05-23"
"hep-ph/9903408","D. V. Ahluwalia","I. Stancu, D. V. Ahluwalia","L/E-Flatness of the Electron-Like Event Ratio in Super-Kamiokande and a
  Degeneracy in Neutrino Masses","Journal version","Phys.Lett.B460:431-436,1999","10.1016/S0370-2693(99)00811-4",,"hep-ph",,"  We show that the L/E-flatness of the electron-like event ratio in the
Super-Kamiokande atmospheric neutrino data implies the equality of the
expectation values for the muon and tau neutrino masses. We establish this
result by obtaining a set of three constraints on the neutrino-oscillation
mixing matrix as contained in the indicated flatness. The resulting 3x3
neutrino-oscillation matrix depends only on one angle. A remarkable result that
follows directly from this matrix is the consistency between the mixing angles
observed by LSND and Super-Kamiokande.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 04:06:26 GMT""},{""version"":""v2"",""created"":""Thu, 19 Aug 1999 14:12:58 GMT""}]","2008-11-26"
"hep-th/9903160","Lavignac","Zygmunt Lalak, St\'ephane Lavignac and Hans Peter Nilles (Bonn U.)","String Dualities in the Presence of Anomalous U(1) Symmetries","23 pages, LaTeX2e","Nucl.Phys.B559:48-70,1999","10.1016/S0550-3213(99)00400-9","BONN-TH-99-06","hep-th hep-ph",,"  Anomalous U(1) gauge symmetries in type II orientifold theories show some
unexpected properties. In contrast to the heterotic case, the masses of the
gauge bosons are in general of order of the string scale even in the absence of
large Fayet-Iliopoulos terms. Despite this fact, the notion of heterotic-type
II orientifold duality remains a useful concept, although this symmetry does
not seem to hold in all cases considered. We analyse the status of this duality
symmetry, clarify the properties of anomalous U(1) gauge symmetry in the
orientifold picture and comment on the consequences for phenomenological
applications of such anomalous gauge symmetries.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 16:17:42 GMT""}]","2014-11-18"
"hep-th/9903161","Roberto Zucchini","Fiorenzo Bastianelli, Roberto Zucchini","Bosonic Quadratic Actions for 11D Supergravity on AdS_7/4 x S_4/7","16 pages, Plain TeX, no figures, requires AMS font files amssym.def
  and amssym.tex, a few typos corrected","Class.Quant.Grav. 16 (1999) 3673-3684","10.1088/0264-9381/16/11/313","DFUB 99 - 5","hep-th",,"  We determine from 11D supergravity the quadratic bulk action for the physical
bosonic fields relevant for the computation of correlation functions of
normalized chiral operators in D=6, N=(0,2) and D=3, N=8 supersymmetric CFT in
the large N limit, as dictated by the AdS/CFT duality conjecture.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:47:18 GMT""},{""version"":""v2"",""created"":""Thu, 1 Apr 1999 12:51:09 GMT""}]","2009-10-31"
"hep-th/9903162","Dr Ian Kogan","Ian I. Kogan","Singletons and Logarithmic CFT in ADS/CFT correspondence","13 pages, LaTex file, corrected typos","Phys.Lett. B458 (1999) 66-72","10.1016/S0370-2693(99)00576-6","OUPT-99-16-P","hep-th",,"  We discuss a possible relation between singletons in $AdS$ space and
logarithmic conformal field theories at the boundary of $AdS$. It is shown that
the bulk Lagrangian for singleton field (singleton dipole) induces on the
boundary the two-point correlation function for logarithmic pair. Bulk
interpretation of mixing between logarithmic operator $D$ and zero mode
operator $C$ under the scale transformation is discussed as well as some other
issues.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 17:50:51 GMT""},{""version"":""v2"",""created"":""Sun, 11 Apr 1999 12:01:55 GMT""}]","2009-10-31"
"hep-th/9903163","Andrew Strominger","Juan Maldacena, Gregory Moore and Andrew Strominger","Counting BPS Blackholes in Toroidal Type II String Theory","23 pages, harvmac. References added",,,,"hep-th",,"  We derive a $U$-duality invariant formula for the degeneracies of BPS
multiplets in a D1-D5 system for toroidal compactification of the type II
string. The elliptic genus for this system vanishes, but it is found that BPS
states can nevertheless be counted using a certain topological partition
function involving two insertions of the fermion number operator. This is
possible due to four extra toroidal U(1) symmetries arising from a Wigner
contraction of a large $\mathcal{N}=4$ algebra $\mathcal{A}_{\kappa,\kappa'}$
for $\kappa' \to \infty$. We also compare the answer with a counting formula
derived from supergravity on $AdS_3\times S^3 \times T^4$ and find agreement
within the expected range of validity.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:52:14 GMT""},{""version"":""v2"",""created"":""Fri, 14 May 1999 21:20:59 GMT""}]","2017-09-07"
"hep-th/9903164","Christophe Grojean","C. Grojean and J. Mourad","Super Fivebranes near the boundary of $AdS_7\times S^4$","22 pages, LaTex","Nucl.Phys. B567 (2000) 133-150","10.1016/S0550-3213(99)00335-1","LPTM 99/77, Saclay T99/028","hep-th",,"  We determine, to the first order in the radius of Anti-de-Sitter, the
realisation of the $OSp(6,2|2)$ superconformal algebra on vector fields. We
then calculate, to this order, the superspace metric describing the background
of $AdS_7\times S^4$. The coordinates we work with are adapted to a 6+5
splitting of the eleven dimensional superspace. Finally, we deduce in a
manifestly supersymmetric form the equations governing the dynamics of the
fivebrane near the boundary of $AdS_7$.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 21:06:39 GMT""}]","2015-06-26"
"hep-th/9903165","Joe Polchinski","Joseph Polchinski","M-Theory and the Light Cone","13 pages, LaTex with PTPTeX.sty, 3 epsf figures. Minor corrections
  and clarifications. References revised","Prog.Theor.Phys.Suppl.134:158-170,1999","10.1143/PTPS.134.158","NSF-ITP-99-17","hep-th",,"  I discuss D0-brane quantum mechanics as a nonperturbative formulation of
string theory, in particular the relation between the
Banks-Fischler-Shenker-Susskind matrix model, the Maldacena conjecture for
D0-branes, and type IIA/M-theory duality. Some features of the quantum
mechanics of D0-branes are also discussed. Lecture presented at the
Nishinomiya-Yukawa Memorial Symposium, Nov. 1998.
","[{""version"":""v1"",""created"":""Fri, 19 Mar 1999 00:44:32 GMT""},{""version"":""v2"",""created"":""Mon, 14 Jun 1999 22:08:53 GMT""}]","2008-11-26"
"math-ph/9903036","Mireille Boutin","Mireille Boutin","Numerically Invariant Signature Curves","21 pages, amsart, uses verbatim, amsmath, latexsym, amssymb, epsf 55
  pictures",,,,"math-ph cs.CV math.MP",,"  Corrected versions of the numerically invariant expressions for the affine
and Euclidean signature of a planar curve proposed by E.Calabi et. al are
presented. The new formulas are valid for fine but otherwise arbitrary
partitions of the curve. We also give numerically invariant expressions for the
four differential invariants parametrizing the three dimensional version of the
Euclidean signature curve, namely the curvature, the torsion and their
derivatives with respect to arc length.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 22:41:39 GMT""},{""version"":""v2"",""created"":""Fri, 19 Mar 1999 16:25:54 GMT""}]","2007-05-23"
"math/9903111","Scott Crass","Scott Crass","Solving the sextic by iteration: A study in complex geometry and
  dynamics","71 pages, 14 figures",,,,"math.DS",,"  Recently, Peter Doyle and Curt McMullen devised an iterative solution to the
fifth degree polynomial. At the method's core is a rational mapping of the
Riemann sphere with the icosahedral symmetry of a general quintic. Moreover,
this map posseses ""reliable"" dynamics: for almost any initial point, its
trajectory converges to one of the periodic cycles that comprise an icosahedral
orbit. This symmetry-breaking provides for a reliable or ""generally-convergent""
quintic-solving algorithm: with almost any fifth-degree equation, associate a
rational map that has reliable dynamics and whose attractor consists of points
from which one computes a root.
  An algorithm that solves the sixth-degree equation requires a dynamical
system with the symmetry of the alternating group on six things. This group
does not act on the Riemmann sphere, but does act on the complex projective
plane--this is the Valentiner group. The present work exploits the resulting
2-dimensional geometry in finding a Valentiner-symmetric rational map whose
elegant dynamics experimentally appear to be reliable in the above
sense--transferred to the 2-dimensional setting. This map provides the central
feature of a conjecturally-reliable sextic-solving procedure analogous to that
employed in the quintic case. The paper culminates in an explicit description
of the algorithm.
","[{""version"":""v1"",""created"":""Thu, 18 Mar 1999 16:43:39 GMT""}]","2016-09-07"
