"adap-org/9903001","James P. Crutchfield","James P. Crutchfield and Erik van Nimwegen","The Evolutionary Unfolding of Complexity","28 pages, 5 figures",,,"Santa Fe Institute Working Paper 99-02-015","adap-org nlin.AO q-bio.PE",,"  We analyze the population dynamics of a broad class of fitness functions that
exhibit epochal evolution---a dynamical behavior, commonly observed in both
natural and artificial evolutionary processes, in which long periods of stasis
in an evolving population are punctuated by sudden bursts of change. Our
approach---statistical dynamics---combines methods from both statistical
mechanics and dynamical systems theory in a way that offers an alternative to
current ``landscape'' models of evolutionary optimization. We describe the
population dynamics on the macroscopic level of fitness classes or phenotype
subbasins, while averaging out the genotypic variation that is consistent with
a macroscopic state. Metastability in epochal evolution occurs solely at the
macroscopic level of the fitness distribution. While a balance between
selection and mutation maintains a quasistationary distribution of fitness,
individuals diffuse randomly through selectively neutral subbasins in genotype
space. Sudden innovations occur when, through this diffusion, a genotypic
portal is discovered that connects to a new subbasin of higher fitness
genotypes. In this way, we identify innovations with the unfolding and
stabilization of a new dimension in the macroscopic state space. The
architectural view of subbasins and portals in genotype space clarifies how
frozen accidents and the resulting phenotypic constraints guide the evolution
to higher complexity.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 21:43:12 GMT""}]","2007-05-23"
"cond-mat/9902361","Evgenii K. Kudinov","E.K.Kudinov","Difference between insulating and conducting states","16 pages, LaTeX2e",,,,"cond-mat.supr-con",,"  It is proposed to used, as a basic property specifying the difference between
an insulator and a conductor, a static phenomenon, namely the field effect
which absent in the former, but present in the latter. The absence or present
of the field effect is closely associated with the nature of the homogenious
linear response to a static electric field. For an insulator, it is finite; for
a conductor, it depends on the volume V and tends to infinity when V to
infinity. The fluctuation-dissipation theorem makes it possibile to relate the
nature of this response to the mean square fluctuation of the dipole moment of
the system, which is normal in an insulator, but anomalious in a conductor. A
number of examples are considered. A notable property of the BCS
supercondctivity state have remarked, namely: its conductivity property is a
consequence of non-zero electron density fluctuations in the ground state of
the system with ODLRO.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:57:28 GMT""}]","2007-05-23"
"cond-mat/9902362",,"A. J. Bray, A. J. Briant, and D. K. Jervis","Breakdown of Scaling in the Nonequilibrium Critical Dynamics of the
  Two-Dimensional XY Model","4 pages, 3 figures","Phys. Rev. Lett. 84, 1503 (2000)","10.1103/PhysRevLett.84.1503",,"cond-mat.stat-mech",,"  The approach to equilibrium, from a nonequilibrium initial state, in a system
at its critical point is usually described by a scaling theory with a single
growing length scale, $\xi(t) \sim t^{1/z}$, where z is the dynamic exponent
that governs the equilibrium dynamics. We show that, for the 2D XY model, the
rate of approach to equilibrium depends on the initial condition. In
particular, $\xi(t) \sim t^{1/2}$ if no free vortices are present in the
initial state, while $\xi(t) \sim (t/\ln t)^{1/2}$ if free vortices are
present.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 19:32:24 GMT""}]","2009-10-31"
"cond-mat/9902364","Giovanni Settanni","Giovanni Settanni(1), Cristian Micheletti(1), Jayanth Banavar(2), Amos
  Maritan(1) ((1)International School for Advanced Studies (SISSA) and INFM,
  Trieste, Italy; The Abdus Salam Centre for Theoretical Physics - Trieste,
  Italy; (2)Department of Physics and Center for Materials Physics, The
  Pennsylvania State University, Pennsylvania)","Determination of optimal effective interactions between amino acids in
  globular proteins","20 pages, 6 figures, submitted to J. Mol. Biol",,,,"cond-mat.soft q-bio",,"  An optimization technique is used to determine the pairwise interactions
between amino acids in globular proteins. A numerical strategy is applied to a
set of proteins for maximizing the native fold stability with respect to
alternative structures obtained by gapless threading. The extracted parameters
are shown to be very reliable for identifying the native states of proteins
(unrelated to those in the training set) among thousands of conformations. The
only poor performers are proteins with heme groups and/or poor compactness
whose complexity cannot be captured by standard pairwise energy functionals.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 19:59:42 GMT""}]","2007-05-23"
"cond-mat/9902365","Marti Pi Pericay","A. Emperador, M. Barranco, E. Lipparini, M. Pi, and Ll. Serra","Magnetoplasmons in quantum rings","Typeset using Revtex, 13 pages and 11 Postscript figures","Phys. Rev. B59,(1999) 15301","10.1103/PhysRevB.59.15301","BCN-ECM-02","cond-mat",,"  We have studied the structure and dipole charge density response of nanorings
as a function of the magnetic field using local-spin density functional theory.
Two small rings consisting of 12 and 22 electrons confined by a positively
charged background are used to represent the cases of a narrow and a wide ring.
The results are qualitatively compared with experimental data existing on
microrings and on antidots. A smaller ring containing 5 electrons is also
analyzed to allow for a closer comparison with a recent experiment on a two
electron quantum ring.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:22:42 GMT""}]","2009-10-31"
"cond-mat/9903001","Alex Kamenev","Alex Kamenev, and Marc Mezard (Santa Barbara)","Level Correlations in Disordered Metals: the Replica sigma-Model","15 pages, no figures, added references",,"10.1103/PhysRevB.60.3944",,"cond-mat.dis-nn cond-mat.mes-hall",,"  We compute energy level correlations in weakly disordered metallic grains
using the fermionic replica method. We use the standard sigma-model approach
and show that non--trivial saddle points, which break replica symmetry, must be
included in the calculation to reproduce the oscillatory behavior of the
correlations. We calculate the correlation functions in all three classical
ensembles GOE, GUE and GSE including the finite-dimensional gradient
corrections. Our results coincides with those obtained by the supersymmetric
sigma-model and the semi-classical trace formula.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 01:36:58 GMT""},{""version"":""v2"",""created"":""Tue, 9 Mar 1999 00:32:59 GMT""}]","2009-10-31"
"cond-mat/9903002","Tomoya Isoshima","Tomoya Isoshima and Kazushige Machida","Instability of Non-vortex State toward a Quantized Vortex in
  Bose-Einstein Condensate under External Rotation","4 pages, 4 eps figures. The formulation is the same as that of
  cond-mat/9811367",,"10.1103/PhysRevA.60.3313",,"cond-mat.soft",,"  The instability condition of the non-vortex state toward vortex formation is
exa mined within the Bogoliubov theory when a Bose-Einstein condensate is under
exte rnally forced rotation. The obtained critical angular velocity combined
with the previous stability cond itions for a votex yields a detailed phase
diagram in the critical velocity vs t he system parameter. This facilitates
vortex formation experiments for alkali atom gases confined in a harmonic
potential.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 05:31:01 GMT""}]","2009-10-31"
"cond-mat/9903003","George Chikenji","George Chikenji, Macoto Kikuchi, and Yukito Iba","Multi-Self-Overlap Ensemble for protein folding: ground state search and
  thermodynamics","4 pages, 4 figures",,"10.1103/PhysRevLett.83.1886","OUCMT-99-3","cond-mat.soft cond-mat.stat-mech q-bio",,"  Long chains of the HP lattice protein model are studied by the
Multi-Self-Overlap Ensemble(MSOE) Monte Carlo method, which was developed
recently by the authors. MSOE successfully finds the lowest energy states
reported before for sequences of the chain length $N=42\sim 100$ in two and
three dimensions. Moreover, MSOE realizes the lowest energy state that ever
found in a case of N=100. Finite-temperature properties of these sequences are
also investigated by MSOE. Two successive transitions are observed between the
native and random coil states. Thermodynamic analysis suggests that the ground
state degeneracy is relevant to the order of the transitions in the HP model.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 10:27:12 GMT""}]","2009-10-31"
"cond-mat/9903004","User SpmmatuMasashige Matsumoto","Masashige Matsumoto (Shizuoka University) and Manfred Sigrist (Yukawa
  Institute)","Chiral Optical Absorption by a Vortex in p_x \pm i p_y-Wave
  Superconductor","5 pages, 6 figures, to be published in J. Phys. Soc. Jpn. Vol. 68
  (1999) No. 3","J. Phys. Soc. Jpn. Vol. 68 (1999) 724.","10.1016/S0921-4526(99)00833-9",,"cond-mat.supr-con cond-mat.str-el",,"  The chiral optical absorption by a single vortex in a p_x \pm i p_y-wave
superconductor is studied theoretically. The p_x \pm i p_y-wave state was
recently suggested as the symmetry of the order parameter of Sr_2 Ru O_4
superconductor. Due to the violation of time reversal symmetry, there are two
types of vortices whose winding orientation is the same or opposite to the
angular momentum of the Cooper pair. In a real material domains with p_x \pm i
p_y-wave states are expected. However, optical absorption of circular polarized
light depends only on the winding of the vortex and has a low energy absorption
peak which results in dichroism. Dichroism occurs if superconductivity is
realized on a single Fermi surface sheet. However, in the case of several Fermi
surface sheets dichroism may disappear, if the both types of carriers are
present, electron-like and hole-like. Therefore chiral optical absorption is a
possible experiment to detect the orbital dependent superconductivity which was
suggested as the superconducting state of Sr_2 Ru O_4.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 10:01:21 GMT""}]","2009-10-31"
"cond-mat/9903006","Jerome Burki","J. Burki, C. A. Stafford, X. Zotos, D. Baeriswyl","Cohesion and conductance of disordered metallic point contacts","10 pages, 7 figures, submitted to Phys. Rev. B, discussions of the
  equilibrium geometry and of the effects of disorder on the cohesion have been
  modified","Phys. Rev. B 60, 5000 (1999)","10.1103/PhysRevB.60.5000",,"cond-mat.mes-hall",,"  The cohesion and conductance of a point contact in a two-dimensional metallic
nanowire are investigated in an independent-electron model with hard-wall
boundary conditions. All properties of the nanowire are related to the Green's
function of the electronic scattering problem, which is solved exactly via a
modified recursive Green's function algorithm. Our results confirm the validity
of a previous approach based on the WKB approximation for a long constriction,
but find an enhancement of cohesion for shorter constrictions. Surprisingly,
the cohesion persists even after the last conductance channel has been closed.
For disordered nanowires, a statistical analysis yields well-defined peaks in
the conductance histograms even when individual conductance traces do not show
well-defined plateaus. The shifts of the peaks below integer multiples of
$2e^2/h$, as well as the peak heights and widths, are found to be in excellent
agreement with predictions based on random matrix theory, and are similar to
those observed experimentally. Thus abrupt changes in the wire geometry are not
necessary for reproducing the observed conductance histograms. The effect of
disorder on cohesion is found to be quite strong and very sensitive to the
particular configuration of impurities at the center of the constriction.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 15:53:26 GMT""},{""version"":""v2"",""created"":""Tue, 4 May 1999 23:30:18 GMT""}]","2007-05-23"
"hep-ph/9902483","Daniel de Florian","D. de Florian, M. Grazzini and Z. Kunszt (ETH-Zurich)","Higgs production with large transverse momentum in hadronic collisions
  at next-to-leading order","7 pages, 3 eps figures included","Phys.Rev.Lett.82:5209-5212,1999","10.1103/PhysRevLett.82.5209","ETH-TH/99-06","hep-ph",,"  Inclusive associated production of a light Higgs boson (m_H < m_t) with one
jet in pp collisions is studied in next-to-leading order QCD. Transverse
momentum (p_T < 30 GeV) and rapidity distributions of the Higgs boson are
calculated for the LHC in the large top-quark mass limit. It is pointed out
that, as much as in the case of inclusive Higgs production, the K-factor of
this process is large (~1.6) and depends weakly on the kinematics in a wide
range of transverse momentum and rapidity intervals. Our result confirms
previous suggestions that the production channel p+p -> H+jet ->
gamma+gamma+jet gives a measurable signal for Higgs production at the LHC in
the mass range 100-140 GeV, crucial also for the ultimate test of the Minimal
Supersymmetric Standard Model.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:06:28 GMT""}]","2011-05-05"
"hep-ph/9902484","Nikolaos Kidonakis","Nikolaos Kidonakis","Resummation for heavy quark and jet cross sections","66 pages LaTeX, 11 postscript figures, invited review for Int. J.
  Mod. Phys. A","Int.J.Mod.Phys.A15:1245-1296,2000","10.1142/S0217751X00000574","FSU-HEP-990226","hep-ph",,"  We review the resummation of threshold logarithms for heavy quark, dijet,
direct photon, and W boson production cross sections in hadronic collisions.
Beyond leading logarithms the resummed cross section is sensitive to the color
exchange in the hard scattering. The resummation is formulated at
next-to-leading logarithmic or higher accuracy in terms of anomalous dimension
matrices which describe the factorization of soft gluons from the hard
scattering. We give results for the soft anomalous dimension matrices at one
loop for the full range of partonic subprocesses involved in heavy quark,
dijet, direct photon, and W boson production. We discuss the general
diagonalization procedure that can be implemented for the calculation of the
resummed cross sections, and we give numerical results for top quark production
at the Fermilab Tevatron. We also present analytical results for the one- and
two-loop expansions of the resummed cross sections.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 00:17:49 GMT""}]","2014-11-17"
"hep-ph/9903202","Erhan Iltan","E. O. Iltan (METU, Ankara)","Exclusive B --> K^* l^+ l^-$ decay in the three Higgs doublet model","19 pages, 6 figures","Phys.Rev.D61:054001,2000","10.1103/PhysRevD.61.054001",,"hep-ph",,"  We study the differential Branching ratio and CP asymmetry for the exclusive
decay B --> K^* l^+ l^- in the three Higgs doublet model with additional global
O(2) symmetry in the Higgs sector. We analyse dilepton mass square q^2
dependency of the these quantities. Further, we study the effect of new
parameter of the global symmetry in the Higgs sector on the differential
branching ratio and CP asymmetry. We see that there exist an enhancement in the
branching ratio and a considerable CP violation for the relevant process. In
addition to this, we realize that fixing dilepton mass gives information about
the sign of the Wilson coefficient C_7^{eff}.Therefore, the future measurements
of the CP asymmetry for B\to K^* l^+ l^- decay will give a powerful information
about the sign of Wilson coefficient C_{7}^{eff} and new physics beyond the SM.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 15:03:09 GMT""}]","2011-03-23"
"hep-th/9902199","Wenfeng Chen","W.F. Chen (University of Winnipeg)","Two-dimensional Chiral Anomaly in Differential Regularization","9 pages, RevTex, no figures, a mistake in the massive case pointed
  out by the referee is corrected",,"10.1016/S0370-2693(99)00691-7",,"hep-th",,"  The two-dimensional chiral anomaly is calculated using differential
regularization. It is shown that the anomaly emerges naturally in the vector
and axial Ward identities on the same footing as the four-dimensional case. The
vector gauge symmetry can be achieved by an appropriate choice of the mass
scales without introducing the seagull term. We have analyzed the reason why
such a universal result can be obtained in differential regularization.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 23:16:17 GMT""},{""version"":""v2"",""created"":""Tue, 2 Mar 1999 22:00:08 GMT""},{""version"":""v3"",""created"":""Mon, 8 Mar 1999 02:39:57 GMT""},{""version"":""v4"",""created"":""Wed, 17 Mar 1999 02:58:26 GMT""},{""version"":""v5"",""created"":""Fri, 7 May 1999 23:04:00 GMT""},{""version"":""v6"",""created"":""Fri, 4 Jun 1999 17:31:23 GMT""}]","2009-10-31"
"hep-th/9902205","Andrei Mironov","H.W.Braden, A.Marshakov, A.Mironov and A.Morozov","The Ruijsenaars-Schneider Model in the Context of Seiberg-Witten Theory","18 pages, LaTeX","Nucl.Phys.B558:371-390,1999","10.1016/S0550-3213(99)00414-9",,"hep-th",,"  The compactification of five dimensional N=2 SUSY Yang-Mills (YM) theory onto
a circle provides a four dimensional YM model with N=4 SUSY. This supersymmetry
can be broken down to N=2 if non-trivial boundary conditions in the compact
dimension, \phi(x_5 +R) = e^{2\pi i\epsilon}\phi(x_5), are imposed on half of
the fields. This two-parameter (R,\epsilon) family of compactifications
includes as particular limits most of the previously studied four dimensional
N=2 SUSY YM models with supermultiplets in the adjoint representation of the
gauge group. The finite-dimensional integrable system associated to these
theories via the Seiberg-Witten construction is the generic elliptic
Ruijsenaars-Schneider model. In particular the perturbative (weak coupling)
limit is described by the trigonometric Ruijsenaars-Schneider model.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 19:24:19 GMT""}]","2014-11-18"
"hep-th/9902208","Donam Youm","Donam Youm","Partially Localized Intersecting BPS Branes","27 pages, LaTeX, revised version to appear in Nucl. Phys. B",,"10.1016/S0550-3213(99)00384-3","CERN-TH/99-48","hep-th gr-qc",,"  We present the explicit forms of supergravity solutions for the various
intersecting two BPS branes in eleven and ten dimensions, where one brane is
localized at the delocalized other brane. Our partially localized supergravity
solutions describe brane configurations in the near horizon region of the
delocalized branes, where the two constituent branes meet in the overall
transverse space and the delocalized branes coincide. We also give the brane
worldvolume interpretations for some of such supergravity solutions.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:50:08 GMT""},{""version"":""v2"",""created"":""Thu, 25 Mar 1999 12:09:16 GMT""},{""version"":""v3"",""created"":""Tue, 6 Jul 1999 09:56:36 GMT""}]","2009-10-31"
"hep-th/9902209","Antonio Gonzalez-Arroyo","E. Gabrielli, A. Gonzalez-Arroyo and C. Pena","N=1 Supersymmetric Yang-Mills on the lattice at strong coupling","Latex file. 43 pages. Minor additional comments, references added,
  typos corrected. Accepted for publication in Int. J. Mod. Phys. A","Int.J.Mod.Phys.A15:553-580,2000","10.1142/S0217751X00000276","FTUAM-98-24 IFT-UAM/CSIC-99-4","hep-th hep-lat hep-ph",,"  We study N=1 supersymmetric SU(N) Yang-Mills theory on the lattice at strong
coupling. Our method is based on the hopping parameter expansion in terms of
random walks, resummed for any value of the Wilson parameter r in the small
hopping parameter region. Results are given for the mesonic (2-gluino) and
fermionic (3-gluino) propagators and spectrum.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:56:46 GMT""},{""version"":""v2"",""created"":""Thu, 14 Oct 1999 08:42:45 GMT""}]","2008-11-26"
"hep-th/9902210","Douglas J. Smith","Ansar Fayyazuddin and Douglas J. Smith","Localized intersections of M5-branes and four-dimensional superconformal
  field theories","23 pages, no figures, LaTeX; v2. added references, added some
  comments on fully localised intersection in section 2; v3. reference added","JHEP 9904 (1999) 030","10.1088/1126-6708/1999/04/030","HUB-EP-99/11, BRX TH-452","hep-th",,"  We write supersymmetry preserving conditions for infinite M5-branes
intersecting on a (3+1)-dimensional space. In contrast to previously known
solutions, these intersections are completely localized. We solve the equations
for a particular class of configurations which in the near-horizon decoupling
limit are dual to N_f = 2N_c Seiberg-Witten superconformal field theories with
gauge group SU(N) and generalisations to SU(N)^n. We also discuss the
relationship to D3-branes in the presence of an A_k singularity.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:06:25 GMT""},{""version"":""v2"",""created"":""Thu, 11 Mar 1999 14:53:18 GMT""},{""version"":""v3"",""created"":""Wed, 28 Apr 1999 15:32:46 GMT""}]","2009-10-31"
"hep-th/9902211","Sylvester James Gates Jr.","S. James Gates, Jr., Tristan Hubsch and Sergei M. Kuzenko","CNM Models, Holomorphic Functions and Projective Superspace C-Maps","19 pages, LaTeX twice, no figures","Nucl.Phys. B557 (1999) 443-458","10.1016/S0550-3213(99)00370-3","UMDEPP 99-99","hep-th",,"  Continuing the investigation of CNM (chiral-nonminimal) hypermultiplet
nonlinear sigma-models, we propose extensions of the concept of the c-map which
relate holomorphic functions to hyper-Kahler geometries. In particular, we show
that a whole series of hyper-Kahler potentials can be derived by replacing the
role of the 4D, N = 1 tensor multiplet in the original c-map by 4D, N = 1
non-minimal multiplets and auxiliary superfields. The resulting N = 2 models
appear to have interesting connections to Calabi-Yau manifolds and algebraic
varieties. These models also emphasize the fact that special hyper-Kahler
manifolds (the analogs of special Kahler manifolds) without isometries exist.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:51:27 GMT""}]","2012-08-27"
"hep-th/9902212","S. P. Li","Hung Cheng and S.P. Li","Is the Standard Model Renormalizable?","19 pages, LATEX",,,,"hep-th",,"  In this paper, we study the renormalizability of the Standard Model in the
Landau gauge. On the basis of the Ward-Takahashi identities, we derive exact
expressions for the physical masses of the W and Z as well as the renormalized
coupling constants in the theory. We show that it is impossible to make all
these renormalized quantities finite. Thus the quantum theory of the Standard
Model with the divergent amplitudes obeying the Ward-Takahashi identities is
not renormalizable.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 18:53:41 GMT""}]","2007-05-23"
"hep-th/9903002","D'Hoker Eric","E. D'Hoker, D.H. Phong","Lax Pairs and Spectral Curves for Calogero-Moser and Spin Calogero-Moser
  Systems","18 pages, no figures, Plain TeX; Contribution to ""Regular and Chaotic
  Dynamics"" dedicated to J. Moser; several references added",,,"UCLA/99/TEP/3, Columbia/99/Math","hep-th nlin.SI solv-int",,"  We summarize recent results on the construction of Lax pairs with spectral
parameter for the twisted and untwisted elliptic Calogero-Moser systems
associated with arbitrary simple Lie algebras, their scaling limits to Toda
systems, and their role in Seiberg-Witten theory. We extend part of this work
by presenting a new parametrization for the spectral curves for elliptic spin
Calogero-Moser systems associated with SL(N).
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 01:33:35 GMT""},{""version"":""v2"",""created"":""Wed, 10 Mar 1999 21:26:50 GMT""}]","2007-05-23"
"hep-th/9903003","Skenderis Kostas","Kostas Skenderis","Field theory limit of branes and gauged supergravities","4 pages. Talk delivered at the 32nd International Symposium
  Ahrenshoop in Buckow, Germany, to appear in the proceedings","Fortsch.Phys.48:205-208,2000","10.1002/(SICI)1521-3978(20001)48:1/3<205::AID-PROP205>3.0.CO;2-F","SPIN-1999/02","hep-th",,"  We discuss the field theory limit of Dp-branes. In this limit, the black
Dp-brane solution approaches a solution which is conformal to adS_{p+2} \times
S^{8-p}. We argue that the frame in which the conformal factor is equal to one,
the dual frame, is a `holographic' frame. The radial coordinate of adS_{p+2}
provides a UV/IR connection as in the case of the D3 brane. The gravitational
description involves gauged supergravities, typically with non-compact gauge
groups. The near-horizon Dp-brane solution becomes a domain-wall solution of
the latter.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 10:53:19 GMT""}]","2017-04-26"
"math-ph/9903001","Lagrange","P. A. Horvathy and J.-C. Yera","The non-linear Schr\""odinger equation and the conformal properties of
  non-relativistic space-time","Thoroughly revised version, in the light of new interest in
  non-relativistic conformal tranformation, with a new reference list. 8 pages,
  LaTex, no figures. To be published in Int. J. Theor. Phys","Int.J.Theor.Phys.48:3139-3146,2009","10.1007/s10773-009-0113-z",,"math-ph hep-th math.MP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The cubic non-linear Schr\""odinger equation where the coefficient of the
nonlinear term is a function $F(t,x)$ only passes the Painlev\'e test of Weiss,
Tabor, and Carnevale only for $F=(a+bt)^{-1}$, where $a$ and $b$ are constants.
This is explained by transforming the time-dependent system into the
constant-coefficient NLS by means of a time-dependent non-linear
transformation, related to the conformal properties of non-relativistic
space-time. A similar argument explains the integrability of the NLS in a
uniform force field or in an oscillator background.
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 14:42:24 GMT""},{""version"":""v2"",""created"":""Tue, 16 Mar 1999 08:12:16 GMT""},{""version"":""v3"",""created"":""Fri, 3 Apr 2009 14:57:22 GMT""},{""version"":""v4"",""created"":""Tue, 28 Jul 2009 10:15:08 GMT""}]","2011-07-05"
"math-ph/9903002","Jan Naudts","Jan Naudts, Frank Redig, Stefan Van Gulck","Stretched Exponential Relaxation in the Biased Random Voter Model","14 pages, AMS-LaTeX","J. Phys. A32, 7653-7664 (1999)","10.1088/0305-4470/32/44/304",,"math-ph math.MP",,"  We study the relaxation properties of the voter model with i.i.d. random
bias. We prove under mild condions that the disorder-averaged relaxation of
this biased random voter model is faster than a stretched exponential with
exponent $d/(d+\alpha)$, where $0<\alpha\le 2$ depends on the transition rates
of the non-biased voter model. Under an additional assumption, we show that the
above upper bound is optimal. The main ingredient of our proof is a result of
Donsker and Varadhan (1979).
","[{""version"":""v1"",""created"":""Sat, 27 Feb 1999 14:43:00 GMT""}]","2009-10-31"
"math/9902153","Indranil Biswas","Indranil Biswas, Mahan Mitra, Subhashis Nag(passed away on 22/12/98)","Thurston boundary of Teichm\""uller spaces and the commensurability
  modular group","AMSLaTex file. To appear in Conformal Geometry and Dynamics","Conform. Geom. Dyn. 3 (1999), 50-66",,,"math.DG",,"  If $p : Y \to X$ is an unramified covering map between two compact oriented
surfaces of genus at least two, then it is proved that the embedding map,
corresponding to $p$, from the Teichm\""uller space ${\cal T}(X)$, for $X$, to
${\cal T}(Y)$ actually extends to an embedding between the Thurston
compactification of the two Teichm\""uller spaces. Using this result, an
inductive limit of Thurston compactified Teichm\""uller spaces has been
constructed, where the index for the inductive limit runs over all possible
finite unramified coverings of a fixed compact oriented surface of genus at
least two. This inductive limit contains the inductive limit of Teichm\""uller
spaces, constructed in \cite{BNS}, as a subset. The universal commensurability
modular group, which was constructed in \cite{BNS}, has a natural action on the
inductive limit of Teichm\""uller spaces. It is proved here that this action of
the universal commensurability modular group extends continuously to the
inductive limit of Thurston compactified Teichm\""uller spaces.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 16:50:18 GMT""}]","2011-03-24"
"math/9902154","Dierk Schleicher","Dierk Schleicher","On Fibers and Local Connectivity of Compact Sets in C","26 pages, 2 postscript figures",,,"Stony Brook IMS 1998/12","math.DS",,"  A frequent problem in holomorphic dynamics is to prove local connectivity of
Julia sets and of many points of the Mandelbrot set; local connectivity has
many interesting implications. The intention of this paper is to present a new
point of view for this problem: we introduce fibers of these sets, and the goal
becomes to show that fibers are ``trivial'', i.e. they consist of single
points. The idea is to show ``shrinking of puzzle pieces'' without using
specific puzzles. This implies local connectivity at these points, but
triviality of fibers is a somewhat stronger property than local connectivity.
Local connectivity proofs in holomorphic dynamics often actually yield that
fibers are trivial, and this extra knowledge is sometimes useful.
  Since we believe that fibers may be useful in further situations, we discuss
their properties for arbitrary compact connected and full sets in the complex
plane. This allows to use them for connected filled-in Julia sets of
polynomials, and polynomials of the form $z^d+c$ have the property that the
impression of any dynamic ray at a rational angle is a single point. An
appendix reviews known topological properties of compact, connected and full
sets in the plane.
  The definition of fibers grew out of a new brief proof that the Mandelbrot
set is locally connected at every Misiurewicz point and at every point on the
boundary of a hyperbolic component. This proof works also for ``Multibrot
sets'', which are the higher degree cousins of the Mandelbrot set. These sets
are discussed in a self-contained sequel (IMS Preprint 1998/13a). Finally, we
relate triviality of fibers to tuning and renormalization in IMS Preprint
1998/13b.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:11:47 GMT""}]","2007-05-23"
"math/9902155","Dierk Schleicher","Dierk Schleicher","On Fibers and Local Connectivity of Mandelbrot and Multibrot Sets","28 pages, 3 postscript figures","In: Lapidus, Frankenhuysen (eds), a Mandelbrot Jubilee. Proc Symp
  Pure Math 72 (2004), 477-507",,"Stony Brook IMS 1998/13a","math.DS",,"  We give new proofs that the Mandelbrot set is locally connected at every
Misiurewicz point and at every point on the boundary of a hyperbolic component.
The idea is to show ``shrinking of puzzle pieces'' without using specific
puzzles. Instead, we introduce fibers of the Mandelbrot set and show that
fibers of certain points are ``trivial'', i.e., they consist of single points.
This implies local connectivity at these points.
  Locally, triviality of fibers is strictly stronger than local connectivity.
Local connectivity proofs in holomorphic dynamics often actually yield that
fibers are trivial, and this extra knowledge is sometimes useful. We include
the proof that local connectivity of the Mandelbrot set implies density of
hyperbolicity in the space of quadratic polynomials.
  We write our proofs more generally for Multibrot sets, which are the loci of
connected Julia sets for polynomials of the form $z\mapsto z^d+c$.
  Although this paper is a continuation of preprint 1998/12, it has been
written so as to be independent of the discussion of fibers of general compact
connected and full sets in $\C$ given there.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:23:11 GMT""}]","2007-08-21"
"math/9902156","Dierk Schleicher","Dierk Schleicher","On Fibers and Renormalization of Julia Sets and Multibrot Sets","24 pages, 3 PostScript figures",,,"Stony Brook IMS 1998/13b","math.DS",,"  We continue the description of Mandelbrot and Multibrot sets and of Julia
sets in terms of fibers which was begun in IMS preprints 1998/12 and 1998/13a.
The question of local connectivity of these sets is discussed in terms of
fibers and becomes the question of triviality of fibers. In this paper, the
focus is on the behavior of fibers under renormalization and other surgery
procedures. We show that triviality of fibers of Mandelbrot and Multibrot sets
is preserved under tuning maps and other (partial) homeomorphisms. Similarly,
we show for unicritical polynomials that triviality of fibers of Julia sets is
preserved under renormalization and other surgery procedures, such as the
Branner-Douady homeomorphisms. We conclude with various applications about
quadratic polynomials and its parameter space: we identify embedded paths
within the Mandelbrot set, and we show that Petersen's theorem about quadratic
Julia sets with Siegel disks of bounded type generalizes from period one to
arbitrary periods so that they all have trivial fibers and are thus locally
connected.
","[{""version"":""v1"",""created"":""Fri, 26 Feb 1999 20:28:54 GMT""}]","2007-05-23"
