"adap-org/9912003","D'hulst","R. d'Hulst and G.J. Rodgers","Democracy versus Dictatorship in Self-Organized Models of Financial
  Markets","6 pages, 4 figures (included)",,"10.1016/S0378-4371(00)00089-3",,"adap-org nlin.AO",,"  Models to mimic the transmission of information in financial markets are
introduced. As an attempt to generate the demand process, we distinguish
between dictatorship associations, where groups of agents rely on one of them
to make decision, and democratic associations, where each agent takes part in
the group decision. In the dictatorship model, agents segregate into two
distinct populations, while the democratic model is driven towards a critical
state where groups of agents of all sizes exist. Hence, both models display a
level of organization, but only the democratic model is self-organized. We show
that the dictatorship model generates less volatile markets than the democratic
model.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:03:29 GMT""}]","2009-10-31"
"astro-ph/9912341","Marigo Paola","Paola Marigo","Chemical yields from low- and intermediate-mass stars","6 pages, 4 postscript figures, to appear in ""The chemical evolution
  of the Milky Way: stars versus clusters"", Proceedings of the Roma-Trieste
  Workshop, (Vulcano, September 1999), eds. F. Matteucci and F. Giovannelli",,"10.1007/978-94-010-0938-6_47",,"astro-ph",,"  We present new sets of chemical yields from low- and intermediate-mass stars
with 0.8 Msun <= M <= Mup ~ 5 Msun, and three choices of the metallicity,
Z=0.02, Z=0.008, and Z=0.004 (Marigo 2000, in preparation). These are then
compared with the yields calculated by other authors on the basis of different
model prescriptions, and basic observational constraints which should be
reproduced.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:16:05 GMT""}]","2016-01-27"
"astro-ph/9912342","Chen Yuqin","Y.Q. Chen, P.E. Nissen, G. Zhao, H.W. Zhang, T. Benoni","Chemical composition of 90 F and G disk dwarfs","16 pages with 10 figures. Accepted for publication in A&AS",,"10.1051/aas:2000124",,"astro-ph",,"  High resolution, high S/N spectra have been obtained for a sample of 90 F and
G main-sequence disk stars covering the metallicity range -1.0 < [Fe/H] < +0.1,
and have been analysed in a parallel way to the work of Edvardsson et al.
(1993). Effective temperatures are based on the Alonso et al. (1996)
calibration of color indices and surface gravities are calculated from
Hipparcos parallaxes, which also allow more accurate ages to be calculated. In
addition, more reliable kinematical parameters are derived from Hipparcos
distances and proper motions. Finally, a larger spectral coverage, 5600 - 8800
A, makes it possible to improve the abundance accuracy by studying more lines
and to discuss several elements not included in the work of Edvardsson et al.
The present paper provides the data and discusses some general results of the
abundance survey. A group of stars in the metallicity range of -1.0 < [Fe/H] <
-0.6 having a small mean Galactocentric distance in the stellar orbits, Rm < 7
kpc, are shown to be older than the other disk stars and probably belong to the
thick disk. Excluding these stars, a slight decreasing trend of [Fe/H] with
increasing Rm and age is found, but a large scatter in [Fe/H] (up to 0.5 dex)
is present at a given age and Rm. The derived trends of O, Mg, Si, Ca, Ti, Ni
and Ba as a function of [Fe/H] agree rather well with those of Edvardsson et
al., but the overabundance of Na and Al for metal-poor stars found in their
work is not confirmed. Furthermore, the Galactic evolution of elements not
included in Edvardsson et al., K, V and Cr, is studied.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:51:37 GMT""}]","2009-10-31"
"astro-ph/9912343","Dominik J. Schwarz","Dominik J. Schwarz (TU Wien) and Stefan Hofmann (Univ. Frankfurt)","Small-scale structure of cold dark matter","3 pages, talk given at TAUP99, Paris","Nucl.Phys.Proc.Suppl. 87 (2000) 93-95","10.1016/S0920-5632(00)00642-3",,"astro-ph hep-ph",,"  We investigate the clumping of cold dark matter (CDM) at small scales. If the
CDM particle is the neutralino, we find that collisional damping during its
kinetic decoupling from the radiation fluid and free streaming introduce a
small-scale cut-off in the primordial power spectrum of CDM. This cut-off sets
the scale for the very first CDM objects in the Universe, which we expect to
have a mass of $\sim 10^{-12} M_\odot$. For non-thermal CDM candidates, such as
axions, wimpzillas, or primordial black holes, the cosmological QCD transition
might induce features in the primordial spectrum at similar mass scales.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 10:19:46 GMT""}]","2009-10-31"
"astro-ph/9912344","Giorgio Matt","Giorgio Matt, Fulvio Pompilio, Fabio La Franca (Dip. Fisica, Univ.
  ""Roma Tre"", Italy)","The hard X-ray spectrum of Compton-thick Seyfert 2 galaxies and the
  synthesis of the XRB","4 pages. To be published in the proc. of the workshop ""Large Scale
  Structure in the X-ray Universe"", Santorini, September 1999",,,,"astro-ph",,"  A synthesis model for the cosmic X-ray Background (XRB) is presented, which
includes a proper treatment of Compton scattering in the absorbing matter for
type 2 AGN. Evidence for a decrease of the relative importance of type 2 AGN at
high redshift is found, which may be due either to a decrease of the relative
number of obscured sources, or (more plausibly) to an increase of the fraction
of Compton-thick absorbed sources. The XRB spectrum, soft X-rays and hard
X-rays source counts can be simultaneously fitted only if the XRB normalization
as derived from BeppoSAX/MECS measurements is adopted.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:01:56 GMT""}]","2007-05-23"
"astro-ph/9912345","Martin J. Rees","Martin J. Rees (Institute of Astronomy, University of Cambridge)","`First Light' in the Universe; What Ended the ""Dark Age""?","For ``Physics Reports'' special issue in memory of D.N. Schramm",,"10.1016/S0370-1573(00)00023-5",,"astro-ph",,"  The universe would have been completely dark between the epoch of
recombination and the development of the first non-linear structure. But at
redshifts beyond 5 -- perhaps even beyond 20 -- stars formed within
`subgalaxies' and created the first heavy elements; these same systems
(together perhaps with `miniquasars') generated the UV radiation that ionized
the IGM, and maybe also the first significant magnetic fields. Although we can
already probe back to $z \simeq 5$, these very first objects may be so faint
that their detection must await next-generation optical and infrared
telescopes. Observations in other wavebands may offer indirect clues to when
reionization occurred. Despite the rapid improvements in numerical simulations,
the processes of star formation and feedback are likely to remain a challenge
for the next decade.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 12:47:18 GMT""}]","2009-10-31"
"astro-ph/9912346","Martin J. Rees","Martin J. Rees","Supermassive Black Holes: Their Formation, and Their Prospects as Probes
  of Relativistic Gravity","For proceedings of ESO conference in honour of R. Giacconi on Black
  Holes in Binaries and Galactic Nuclei, ed L Kaper et al",,,,"astro-ph",,"  The existence of supermassive collapsed objects in the cores of most galaxies
poses still-unanswered questions. First, how did they form, and how does their
mass depend on the properties of the host galaxy? Second, can observations
probe the metric in the strong-field domain, testing whether it indeed agrees
with the Kerr geometry predicted by general relativity (and, if so, what the
spin is)?
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:12:20 GMT""}]","2007-05-23"
"astro-ph/9912347","Martin Kerscher","Thomas Buchert (Theoretical Astrophysics Divison, NAO Tokyo), Martin
  Kerscher, Christian Sicka (University of Munich)","Backreaction of inhomogeneities on the expansion: the evolution of
  cosmological parameters","revtex, 22 pages, 1 table, 13 figures, featuring an extended summary
  and discussion, matches version accepted for publication in Phys. Rev. D","Phys.Rev. D62 (2000) 043525","10.1103/PhysRevD.62.043525",,"astro-ph gr-qc",,"  Averaging and evolving inhomogeneities are non-commuting operations. This
implies the existence of deviations of an averaged model from the standard
Friedmann-Lemaitre cosmologies. We quantify these deviations, encoded in a
backreaction parameter, in the framework of Newtonian cosmology. We employ the
linear theory of gravitational instability in the Eulerian and Lagrangian
approaches, as well as the spherically- and plane-symmetric solutions as
standards of reference. We propose a model for the evolution of the average
characteristics of a spatial domain for generic initial conditions that
contains the spherical top-hat model and the planar collapse model as exact sub
cases. A central result is that the backreaction term itself, calculated on
sufficiently large domains, is small but, still, its presence can drive the
cosmological parameters on the averaging domain far away from their global
values of the standard model. We quantify the variations of these parameters in
terms of the fluctuations in the initial data as derived from the power
spectrum of initial cold dark matter density fluctuations. E.g. in a domain
with a radius of 100Mpc today and initially one-sigma fluctuations, the density
parameters deviate from their homogeneous values by 15%; three-sigma
fluctuations lead to deviations larger than 100%.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:15:16 GMT""},{""version"":""v2"",""created"":""Thu, 4 May 2000 21:27:11 GMT""}]","2013-03-26"
"astro-ph/9912348","Anastasia Pappa","A. Pappa (1), I. Georgantopoulos (2) and G.C. Stewart (1) ((1)
  University of Leicester, (2) National Observatory of Athens)","X-ray observations of the Ultraluminous infrared galaxy IRAS19254-7245
  (The Superantennae)","5 pages, 1 figure, 1 table, To appear in MNRAS",,"10.1046/j.1365-8711.2000.03359.x",,"astro-ph",,"  We present ROSAT HRI and ASCA observations of the well known ULIRG
IRAS19254-7245 (the Superantennae). The object is not detected by ROSAT
yielding a 3\sigma upper limit of L_x ~8x10^{41} erg/s in the 0.1-2 keV band.
However, we obtain a clear detection by ASCA yielding a luminosity in the 2-10
keV band of 2 \times 10^{42}erg/s. Its X-ray spectrum is very hard, equivalent
to a photon index of Gamma=1.0+-0.35.
  We therefore, attempt to model the X-ray data with a ""scatterer"" model in
which the intrinsic X-ray emission along our line of sight is obscured by an
absorbing screen while some fraction, f, is scattered into our line of sight by
an ionized medium; this is the standard model for the X-ray emission in
obscured (but non Compton-thick)
  Seyfert galaxies. We obtain an absorbing column of 2x10^{23}cm^{-2} for a
power-law photon index of Gamma=1.9, an order of magnitude above the column
estimated on the basis of optical observations; the percentage of the scattered
emission is high (~20%). Alternatively, a model where most of the X-ray
emission comes from reflection on a Compton thick torus (N_H>10^{24} cm^{-2})
cannot be ruled out.
  We do not detect an Fe line at 6.4 keV; however, the upper limit (90%) to the
equivalent width of the 6.4 keV line is high (~3 keV).
  All the above suggest that most of the X-ray emission originates in an highly
obscured Seyfert-2 nucleus.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:58:15 GMT""}]","2009-10-31"
"chao-dyn/9912026","Diego Pazo","D. Pazo, I.P. Marino, V. Perez-Munuzuri, V. Perez-Villar","Transition to Chaotic Phase Synchronization through Random Phase Jumps","Accepted for publication in IJBC, 10 pages, 5 jpg figures",,"10.1142/S0218127400001699",,"chao-dyn nlin.CD",,"  Phase synchronization is shown to occur between opposite cells of a ring
consisting of chaotic Lorenz oscillators coupled unidirectionally through
driving. As the coupling strength is diminished, full phase synchronization
cannot be achieved due to random generation of phase jumps. The brownian
dynamics underlying this process is studied in terms of a stochastic diffusion
model of a particle in a one-dimensional medium.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:33:11 GMT""}]","2015-06-24"
"cond-mat/9912286","Uwe Tauber","B. Schmittmann (VA Tech), H.K. Janssen (HHU Duesseldorf), U.C. Taeuber
  (VA Tech), R.K.P. Zia (VA Tech), K.-t. Leung (Academia Sinica Taipei), and
  J.L. Cardy (U Oxford)","Viability of competing field theories for the driven lattice gas","4 pages, revtex, no figures","Phys. Rev. E 61 (2000) 5977","10.1103/PhysRevE.61.5977",,"cond-mat.stat-mech",,"  It has recently been suggested that the driven lattice gas should be
described by a novel field theory in the limit of infinite drive. We review the
original and the new field theory, invoking several well-documented key
features of the microscopics. Since the new field theory fails to reproduce
these characteristics, we argue that it cannot serve as a viable description of
the driven lattice gas. Recent results, for the critical exponents associated
with this theory, are re-analyzed and shown to be incorrect.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:13:02 GMT""}]","2009-10-31"
"cond-mat/9912287",,"G. Cristofano, G. Maiella and V. Marotta","A twisted conformal field theory description of the Quantum Hall Effect","11 pages, plain Latex","Mod.Phys.Lett. A15 (2000) 547","10.1142/S0217732300000542","DSF-NA-T-43/99","cond-mat.mes-hall hep-th",,"  We construct an effective conformal field theory by using a procedure which
induces twisted boundary conditions for the fundamental scalar fields. That
allows to describe a quantum Hall fluid at Jain hierarchical filling,
nu=m/(2pm+1), in terms of one charged scalar field and m-1 neutral ones. Then
the resulting algebra of the chiral primary fields is U(1)xW_m. Finally the
ground state wave functions are given as correlators of appropriate composite
fields (a-electrons).
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:38:21 GMT""}]","2009-10-31"
"cond-mat/9912288","Gianaurelio Cuniberti","Gianaurelio Cuniberti (1), Andrea Fechner (2), Maura Sassetti (3),
  Bernhard Kramer (2) ((1) Max Planck Institute for the Physics of Complex
  Systems, Germany, (2) Hamburg University, Germany, (3) Genova University,
  Italy)","Anomalous Tien-Gordon scaling in a 1d tunnel junction","4 pages, ndes99.sty, 3 figures","In `Proc. Nonlinear Dynamics of Electronic Systems'. W. Schwarz
  Editor. Printed by Technische Universitaet Dresden (1999). ISBN: 3860052306",,"mpi-pks/9912007","cond-mat.mes-hall cond-mat.str-el",,"  We investigate the nonlinear ac transport through a quantum wire with an
impurity in the presence of finite range electron-electron interactions. We
discuss the influence of the spatial shape of the ac electric field onto
transport properties of the system and find that the scaling behavior of the
occupation probability of the sidebands depends on the range of the voltage
drop.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 18:48:41 GMT""}]","2007-05-23"
"cond-mat/9912289","S. V. Borisenko","S. V. Borisenko, M. S. Golden, S. Legner, T. Pichler, C.Duerr,
  M.Knupfer, J. Fink, G.Yang, S. Abell, H.Berger","The joys and pitfalls of Fermi surface mapping in Bi2212 using angle
  resolved photoemission","4 pages (revtex), 3 figures (eps)","Phys. Rev. Lett. 84, 4453 (2000)","10.1103/PhysRevLett.84.4453",,"cond-mat.supr-con",,"  On the basis of angle-scanned photoemission data recorded using unpolarised
radiation, with high (E,k) resolution, and an extremely dense sampling of
k-space, we resolve the current controversy regarding the normal state Fermi
surface (FS) in Bi_2Sr_2CaCu_2O_8 (Bi2212). The true picture is simple,
self-consistent and robust: the FS is hole-like, with the form of rounded tubes
centred on the corners of the Brillouin zone. Two further types of features are
also clearly observed: shadow FSs, which are most likely to be due to short
range antiferromagnetic spin correlations, and diffraction replicas of the main
FS caused by passage of the photoelectrons through the modulated Bi-O planes.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 19:24:59 GMT""}]","2009-10-31"
"cond-mat/9912290","Michael","Ligang Chen, Marco Falcioni, and Michael W. Deem","Disorder-Induced Time-Dependent Diffusion in Zeolites","28 pages. 4 figures. To appear in J. Phys. Chem. B",,,,"cond-mat.stat-mech",,"  We suggest that disordered framework aluminums and non-framework cations can
create a disordered electrostatic potential in zeolites that can lead to a
discrepancy between diffusivities measured by microscopic and macroscopic
experimental techniques. We calculate the value of the discrepancy and the
characteristic time scale at which it occurs for several ionic and polarizable
species diffusing in zeolites. For ionic species, a discrepancy is almost
inevitable. For polarizable species, a significant discrepancy may occur in
some zeolites only for long alkanes or large species such as benzene.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 20:00:08 GMT""},{""version"":""v2"",""created"":""Mon, 3 Apr 2000 22:32:49 GMT""}]","2007-05-23"
"cond-mat/9912291","Terry Olson","T. Olson, A. P. Young","Finite Temperature Ordering in the Three-Dimensional Gauge Glass","8 pages, 6 postscript figures","Phys. Rev. B 61, 12467 (2000)","10.1103/PhysRevB.61.12467",,"cond-mat.dis-nn cond-mat.stat-mech cond-mat.supr-con",,"  We present results of Monte Carlo simulations of the gauge glass model in
three dimensions using exchange Monte Carlo. We show for the first time clear
evidence of the vortex glass ordered phase at finite temperature. Using finite
size scaling we obtain estimates for the correlation length exponent, nu = 1.39
+/- 0.20, the correlation function exponent, eta = -0.47 +/- 0.07, and the
dynamic exponent z = 4.2 +/- 0.6. Using our values for z and nu we calculate
the resistivity exponent to be s = 4.5 +/- 1.1. Finally, we provide a plausible
lower bound on the the zero-temperature stiffness exponent, theta >= 0.18.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 22:10:15 GMT""}]","2009-10-31"
"cond-mat/9912292","Kunihisa","K. Morita, K. Miyake","Deformation of Fermi Surface Due to Antiferromagnetic Correlation","2 pages",,"10.1016/S0921-4526(99)00913-8",,"cond-mat.str-el",,"  It is investigated, on the basis of the fluctuation exchange approximation,
how the shape of the Fermi surface is modified in two-dimensional $t-t'-U$
Hubbard model at half filling as strength of the onsite Coulomb interaction $U$
is increased. The antiferromagnetic (AF) correlation length is shown to be
enhanced as the Coulomb interaction get closer to the critical value $U_{\rm
c}$ for the onset AF order. At the same time, the shape of the renormalized
Fermi surface is deformed showing the tendency of nesting near $U_{\rm c}$.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 01:06:53 GMT""}]","2009-10-31"
"cond-mat/9912293","Iaroslav Ispolatov","I. Ispolatov and P. L. Krapivsky","Particle Systems with Stochastic Passing","5 pages, 5 figures",,"10.1103/PhysRevE.61.R2163",,"cond-mat.stat-mech cond-mat.dis-nn",,"  We study a system of particles moving on a line in the same direction.
  Passing is allowed and when a fast particle overtakes a slow particle, it
acquires a new velocity drawn from a distribution P_0(v), while the slow
particle remains unaffected. We show that the system reaches a steady state if
P_0(v) vanishes at its lower cutoff; otherwise, the system evolves
indefinitely.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 01:12:09 GMT""}]","2009-10-31"
"cond-mat/9912294","William Putikka","W. O. Putikka and M. U. Luchini","Limits on Phase Separation for Two-Dimensional Strongly Correlated
  Electrons","4 pages, 6 figures",,"10.1103/PhysRevB.62.1684",,"cond-mat.str-el cond-mat.supr-con",,"  From calculations of the high temperature series for the free energy of the
two-dimensional t-J model we construct series for ratios of the free energy per
hole. The ratios can be extrapolated very accurately to low temperatures and
used to investigate phase separation. Our results confirm that phase separation
occurs only for J/t greater than 1.2. Also, the phase transition into the phase
separated state has Tc of approximately 0.25J for large J/t.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 03:06:47 GMT""}]","2009-10-31"
"cond-mat/9912295","Tomo Munehisa","T.Munehisa and Y.Munehisa","An Attempt to Calculate Energy Eigenvalues in Quantum Systems of Large
  Sizes","17pages, 4figures(eps-files)",,"10.1143/JPSJ.69.2092",,"cond-mat.str-el",,"  We report an attempt to calculate energy eigenvalues of large quantum systems
by the diagonalization of an effectively truncated Hamiltonian matrix. For this
purpose we employ a specific way to systematically make a set of orthogonal
states from a trial wavefunction and the Hamiltonian. In comparison with the
Lanczos method, which is quite powerful if the size of the system is within the
memory capacity of computers, our method requires much less memory resources at
the cost of the extreme accuracy.
  In this paper we demonstrate that our method works well in the systems of
one-dimensional frustrated spins up to 48 sites, of bosons on a chain up to 32
sites and of fermions on a ladder up to 28 sites. We will see this method
enables us to study eigenvalues of these quantum systems within reasonable
accuracy.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 03:52:08 GMT""}]","2009-10-31"
"cond-mat/9912296","Wataru Izumida","Wataru Izumida, Osamu Sakai","Two-Impurity Kondo Effect in Double-Quantum-Dot Systems - Effect of
  Interdot Kinetic Exchange Coupling","9 pages, 10 figures",,"10.1103/PhysRevB.62.10260",,"cond-mat.mes-hall cond-mat.str-el",,"  Tunneling conductance through two quantum dots, which are connected in series
to left and right leads, is calculated by using the numerical renormalization
group method. As the hopping between the dots increases from very small value,
the following states continuously appear; (i) Kondo singlet state of each dot
with its adjacent-site lead, (ii) singlet state between the local spins on the
dots, and (iii) double occupancy in the bonding orbital of the two dots. The
conductance shows peaks at the transition regions between these states.
Especially, the peak at the boundary between (i) and (ii) has the unitarity
limit value of $2e^{2}/h$ because of coherent connection through the
lead-dot-dot-lead. For the strongly correlated cases, the characteristic energy
scale of the coherent peak shows anomalous decrease relating to the quantum
critical transition known for the two-impurity Kondo effect. The two dots
systems give the new realization of the two-impurity Kondo problem.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 07:33:14 GMT""}]","2009-10-31"
"cond-mat/9912297","S. M. Bhattacharjee","Somendra M. Bhattacharjee","Unzipping DNA - towards the first step of replication","4 pages, revtex, 2 eps figures","Published version: J.Phys A 33,L423(2000); 33,9003(E)(2000)","10.1088/0305-4470/33/48/501",,"cond-mat.stat-mech q-bio",,"  The opening of the Y-fork - the first step of DNA replication - is shown to
be a critical phenomenon under an external force at one of its ends. From the
results of an equivalent delocalization in a non-hermitian quantum-mechanics
problem we show the different scaling behavior of unzipping and melting. The
resultant long-range critical features within the unzipped part of Y might play
a role in the highly correlated biochemical functions during replication.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 08:16:31 GMT""}]","2009-10-31"
"cond-mat/9912298","Shiro Kawbata","Shiro Kawabata (ETL, Japan)","Berry phase induced persistent current in mesoscopic systems","4 pages. Proc. 3rd Tohwa Univ. Int. Conf. Statistical Physics
  (Fukuoka, Japan, 1999)","""Statistical Physics"" edited by M. Tokuyama and I. Oppenheim (AIP,
  New York, 2000) p.738-740.","10.1063/1.1291654",,"cond-mat.mes-hall cond-mat.dis-nn quant-ph",,"  Since the discovery of the Berry phase, there has been much interest in the
study of topological effects in the fields of quantum mechanics and condensed
matter physics. In this paper we investigate the persistent charge current in
mesoscopic disorderd rings and compute the disorder averaged persistent current
using the diagrammatic method. We find that within the adiabatic regime the
average current oscillates as a function of the geometric flux which is related
to the Berry phase.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 07:07:27 GMT""}]","2009-10-31"
"cond-mat/9912299","Jens Jensen","K. Noergaard, M. R. Eskildsen, N. H. Andersen, J. Jensen, P.
  Hedegaard, S. N. Klausen, P. C. Canfield","Interdependence of magnetism and superconductivity in the borocarbide
  TmNi2B2C",,,,,"cond-mat",,"  We have discovered a new antiferromagnetic phase in TmNi2B2C by neutron
diffraction. The ordering vector is Q_A = (0.48,0,0) and the phase appears
above a critical in-plane magnetic field of 0.9 T. The field was applied in
order to test the assumption that the zero-field magnetic structure at Q_F =
(0.094,0.094,0) would change into a c-axis ferromagnet if superconductivity
were destroyed. We present theoretical calculations which show that two effects
are important: A suppression of the ferromagnetic component of the RKKY
exchange interaction in the superconducting phase, and a reduction of the
superconducting condensation energy due to the periodic modulation of the
moments at the wave vector Q_A.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:21:42 GMT""}]","2007-05-23"
"cond-mat/9912300","Shvaika Andrij","A. M. Shvaika","Dynamical susceptibilities in strong coupling approach","2 pages, 3 eps figures, final version published in proceedings of
  M2S-HTSC-VI (Houston)","Physica C: Superconductivity, Vol. 341-348 (1-4) (2000) pp.
  177-178","10.1016/S0921-4534(00)00435-4",,"cond-mat.str-el",,"  A general scheme to calculate dynamical susceptibilities of strongly
correlated electron systems within the dynamical mean field theory is
developed. Approach is based on an expansion over electron hopping around the
atomic limit (within the diagrammatic technique for site operators: projection
and Hubbard ones) in infinite dimensions. As an example, the Falicov-Kimball
and simplified pseudospin-electron models are considered for which an
analytical expressions for dynamical susceptibilities are obtained.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 09:12:00 GMT""},{""version"":""v2"",""created"":""Mon, 30 Oct 2000 11:59:03 GMT""}]","2015-06-25"
"cond-mat/9912301","Victor M. Perez-Garcia","Victor M. Perez-Garcia, V. V. Konotop, Juan J. Garcia-Ripoll","Nonlocal interactions prevent collapse in negative scattering length
  Bose-Einstein gases",,"Phys. Rev. E 62, 4300 (2000)","10.1103/PhysRevE.62.4300",,"cond-mat",,"  We study the effect of nonlocality on the collapse properties of a
self-focusing Nonlinear Schr\""odinger system related to Bose-Einstein
condensation problems.
  Using a combination of moment techniques, time dependent variational methods
and numerical simulations we present evidences in support of the hypothesis
that nonlocal attractively interacting condensates cannot collapse when the
dominant interaction term is due to finite range interactions. Instead there
apppear oscillations of the wave packet with a localized component whose size
is of the order of the range of interactions.
  We discuss the implications of the results to collapse phenomena in negative
scattering length Bose-Einstein condensates.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 11:24:05 GMT""}]","2016-08-31"
"cond-mat/9912302","Andreas Wallraff","Andreas Franz, Andreas Wallraff, and Alexey V. Ustinov","Measurements of critical current diffraction patterns in annular
  Josephson junctions","4 pages, 5 figures",,"10.1103/PhysRevB.62.119",,"cond-mat.supr-con",,"  We report systematic measurements of the critical current versus magnetic
field patterns of annular Josephson junctions in a wide magnetic field range. A
modulation of the envelope of the pattern, which depends on the junction width,
is observed. The data are compared with theory and good agreement is found.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 14:44:14 GMT""}]","2009-10-31"
"cond-mat/9912304","Jesper Lykke Jacobsen","Jesper Lykke Jacobsen","Multiscaling of energy correlations in the random-bond Potts model","8 pages, no figures","Phys. Rev. E 61, R6060-6062 (2000)","10.1103/PhysRevE.61.R6060",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We numerically calculate the exponent for the disorder averaged and
fixed-sample decay of the energy-energy correlator in the q-state random-bond
Potts model. Our results are in good agreement with a two-loop expansion
(cond-mat/9910181) around q=2 recently found from perturbative renormalisation
group techniques, fulfill the correlation length bound \nu >= 2/d, and give
further evidence against replica symmetry breaking in this class of models.
","[{""version"":""v1"",""created"":""Thu, 16 Dec 1999 15:37:45 GMT""}]","2009-10-31"
"gr-qc/9912065","Benjamin J. Owen","Benjamin J. Owen (Albert Einstein Institut)","Gravitational waves from the r-modes of rapidly rotating neutron stars","10 pages, 2 figures, 3rd Edoardo Amaldi Conference on Gravitational
  Waves",,"10.1063/1.1291840","AEI-1999-52","gr-qc astro-ph",,"  Since the last Amaldi meeting in 1997 we have learned that the r-modes of
rapidly rotating neutron stars are unstable to gravitational radiation reaction
in astrophysically realistic conditions. Newborn neutron stars rotating more
rapidly than about 100Hz may spin down to that frequency during up to one year
after the supernova that gives them birth, emitting gravitational waves which
might be detectable by the enhanced LIGO interferometers at a distance which
includes several supernovae per year. A cosmological background of these events
may be detectable by advanced LIGO. The spins (about 300Hz) of neutron stars in
low-mass x-ray binaries may also be due to the r-mode instability (under
different conditions), and some of these systems in our galaxy may also produce
detectable gravitational waves--see the review by G. Ushomirsky in this volume.
Much work is in progress on developing our understanding of r-mode astrophysics
to refine the early, optimistic estimates of the detectability of the
gravitational waves.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 16:45:40 GMT""}]","2009-10-31"
"gr-qc/9912066","Draza","Draza Markovic & Stuart Shapiro (University of Illinois at
  Urbana-Champaign, Department of Physics)","Gravitational Collapse with a Cosmological Constant","7 pages, 10 figures; To appear in Phys. Rev. D","Phys.Rev. D61 (2000) 084029","10.1103/PhysRevD.61.084029",,"gr-qc astro-ph",,"  We consider the effect of a positive cosmological constant on spherical
gravitational collapse to a black hole for a few simple, analytic cases. We
construct the complete Oppenheimer-Snyder-deSitter (OSdS) spacetime, the
generalization of the Oppenheimer-Snyder solution for collapse from rest of a
homogeneous dust ball in an exterior vacuum. In OSdS collapse, the cosmological
constant may affect the onset of collapse and decelerate the implosion
initially, but it plays a diminishing role as the collapse proceeds. We also
construct spacetimes in which a collapsing dust ball can bounce, or hover in
unstable equilibrium, due to the repulsive force of the cosmological constant.
We explore the causal structure of the different spacetimes and identify any
cosmological and black hole event horizons which may be present.
","[{""version"":""v1"",""created"":""Wed, 15 Dec 1999 23:51:12 GMT""}]","2009-10-31"
