"adap-org/9912001","J. Doyne Farmer","J. Doyne Farmer and Andrew W. Lo","Frontiers of finance: Evolution and efficient markets","2 pages","Proceedings of the National Academy of Science, Vol . 96, p.
  9991-9992","10.1073/pnas.96.18.9991",,"adap-org nlin.AO",,"  In this review article we explore several recent advances in the quantitative
modeling of financial markets. We begin with the Efficient Markets Hypothesis
and describe how this controversial idea has stimulated a number of new
directions of research, some focusing on more elaborate mathematical models
that are captable of rationalizing the empirical facrts, others taking a
completely different different tack in rejecting rationality altogether. One of
the most promising directions is to view financial markets from a biological
perspective and, specifically, with an evolutionary framework in which markets,
instruments, institutions, and investors interact and evolve dynamically
according to the ""law"" of economic selection. Under this view, financial agents
compete and adapt, but they do not necessarily do so in an optimal fashion.
Evolutionary and ecological models of financial markets is truly a new frontier
whose exploration has just begun.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:11:21 GMT""}]","2009-10-31"
"astro-ph/9912191","Adam Frank","Adam Frank (U of Rochester)","A Paradigm Lost: New Theories for Aspherical PNe","10 pages, To appear in Asymmetrical Planetary Nebulae II, ASP
  Conference Series, J.H. Kastner, N. Soker, & S. Rappaport, eds",,,,"astro-ph",,"  Theoretical Models for the shaping of PNe are reviewed in light of new high
resolution images. The new data indicate the purely hydrodynamic interacting
stellar winds model can not recover the full variety of shapes and kinematics.
New models, some speculative, others more firmly grounded are discussed. In
particular, accretion disks and magnetic fields are identified as two of the
most promising avenues of future research. Outstanding issues such as jet
formation by PNe disks and dynamo activity in P-AGB stars remain to studied.
Finally, new simulations of the Egg Nebula are presented as an example of a
``paleontological'' study designed to recover the history of an individual
object.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 13:35:16 GMT""}]","2007-05-23"
"astro-ph/9912192","Petkov Valery","A.E.Chudakov, V.B.Petkov, V.Ya.Poddubny, A.V.Voevodsky","Around the Knee: Simultaneous Surface and Underground Measurements at
  Baksan","9 pages, 6 figures, the Xth International Baksan School ""Particles
  and Cosmology"", 19-26 April 1999",,,,"astro-ph",,"  We present the experimental data on the knee, as observed in the
electromagnatic and high energy muon (E\mu \ge 230 Gev) components.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 13:50:24 GMT""}]","2007-05-23"
"astro-ph/9912193","Viki Joergens","Viki Joergens, Karl-Heinz Mantel, Heinz Barwig, Otto Baernbantner and
  Hauke Fiedler","Reconstruction of emission sites in the dwarf nova EX Draconis","10 pages, 6 figures",,,,"astro-ph",,"  We performed time-resolved spectroscopic studies of the double-eclipsing
dwarf nova EX Dra (formerly HS 1804 + 6753) in order to locate line emitting
sites in the system. Optical spectra recorded during the quiescent as well as
during the outburst state have been analysed by means of Doppler tomography.
The computed Doppler images map the system in a variety of emission lines and
allow us to compare between different temperatures and accretion states.
  Our studies revealed that the Balmer and HeI emission of EX Dra during
quiescence is mainly formed within a fully established disk and within the gas
stream. The Doppler map of H_alpha shows a second emission spot in the
accretion disk located far from the region of interaction between the as stream
and the accretion disk.
  We have found a weak hint that secondary star emission contributes to the
H_alpha line in quiescence, obviously caused by photospheric heating due to
irradiation by the primary component. During outburst secondary star emission
turns into a very strong emission source in the Balmer lines due to the
increased accretion rate and an enhanced irradiation by the white dwarf or the
boundary layer. The Doppler maps of the Balmer and HeI lines during outburst
further show emission from the accretion disk. During outburst the gas stream
is rarely seen in the Balmer lines but clearly visible in HeI and shows that
the disk radius during this high accretion state is about 0.2 R_L1 larger than
during the recorded quiescent state.
  The origin of the CII (4267 Angstroem) line, which is only detectable during
outburst can be located by Doppler imaging close to the primary component and
may therefore be formed in the chromosphere of the white dwarf.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:21:37 GMT""}]","2007-05-23"
"astro-ph/9912194","Edvard Moertsell","Lars Bergstrom, Martin Goliath, Ariel Goobar and Edvard Moertsell","Lensing effects in an inhomogeneous universe","18 pages, 27 figures, uses aa.cls. To appear in Astron. Astrophys",,,,"astro-ph gr-qc",,"  Recently, Holz & Wald have presented a new method for determining
gravitational lensing effects on, e.g., supernova luminosity versus redshift
measurements in inhomogeneous universes. In this paper, their method is
generalized in several ways: First, the matter content is allowed to consist of
several different types of fluids, possibly with non-vanishing pressure.
Second, besides lensing by simple point masses and singular isothermal spheres,
the more realistic halo dark matter distribution proposed by Navarro, Frenk &
White (NFW), based on N-body simulation results, is treated. We discuss various
aspects of the accuracy of the method, such as luminosity corrections, and
statistics, for multiple images. We find in agreement with other recent work
that a large sample of supernovae at large redshift could be used to extract
gross features of the mass distribution of the lensing dark matter halos, such
as the existence of a large number of point-like objects. The results for the
isothermal sphere and the NFW model are, however, very similar if normalized to
the observed luminosity distribution of galaxies. We give convenient analytical
fitting formulas for our computed lensing probabilites as a function of
magnification, for several redshifts.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 15:29:15 GMT""},{""version"":""v2"",""created"":""Fri, 14 Apr 2000 13:02:56 GMT""}]","2007-05-23"
"chao-dyn/9912012","Marc P. Bellon","M.P. Bellon","Algebraic Entropy of Birational Maps with Invariant Curves","11 pages, no figure","Lett. Math. Phys. 50 (1999) 79-90","10.1023/A:1007634406786","PAR--LPTHE 99--25","chao-dyn math-ph math.AG math.DS math.MP nlin.CD",,"  The relevance of the algebraic entropy in the study of birational discrete
time dynamical systems highlights the need to relate it to other
characteristics of these systems. In this letter, two complementary proofs are
given that the foliation of the space by invariant curves implies that the
algebraic entropy is zero.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:19:56 GMT""}]","2020-11-30"
"chao-dyn/9912013","Kirill Alekseev","Kirill N. Alekseev, Natasha V. Alekseeva, Jan Perina","Quantum-classical correspondence and nonclassical states generation in
  dissipative quantum optical systems","8 pages, RevTEX, no figures. Further development of the work
  quant-ph/9812019 ; consideration of system with limit cycle -- self-pulsing
  in intracavity 2-harmonic generation -- is included","JETP, 90 (2000) 592-599","10.1134/1.559142",,"chao-dyn cond-mat.stat-mech nlin.CD quant-ph",,"  We develop a semiclassical method for the determination of the nonlinear
dynamics of dissipative quantum optical systems in the limit of large number of
photons N, based on the 1/N-expansion and the quantum-classical correspondence.
The method has been used to tackle two problems: to study the dynamics of
nonclassical state generation in higher-order anharmonic dissipative
oscillators and to establish the difference between the quantum and classical
dynamics of the second-harmonic generation in a self-pulsing regime. In
addressing the first problem, we have obtained an explicit time dependence of
the squeezing and the Fano factor for an arbitrary degree of anharmonism in the
short-time approximation. For the second problem, we have established
analytically a characteristic time scale when the quantum dynamics differs
insignificantly from the classical one.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 10:58:29 GMT""}]","2009-10-31"
"chao-dyn/9912014","Joerg Schumacher","Joerg Schumacher and Norbert Seehafer","Bifurcation analysis of the plane sheet pinch","11 pages, 10 figures (Figs. 7,9, and 10 as external JPG-Files)","Phys. Rev. E, 61 (2000) 2695","10.1103/PhysRevE.61.2695",,"chao-dyn nlin.CD physics.plasm-ph",,"  A numerical bifurcation analysis of the electrically driven plane sheet pinch
is presented. The electrical conductivity varies across the sheet such as to
allow instability of the quiescent basic state at some critical Hartmann
number. The most unstable perturbation is the two-dimensional tearing mode.
Restricting the whole problem to two spatial dimensions, this mode is followed
up to a time-asymptotic steady state, which proves to be sensitive to
three-dimensional perturbations even close to the point where the primary
instability sets in. A comprehensive three-dimensional stability analysis of
the two-dimensional steady tearing-mode state is performed by varying
parameters of the sheet pinch. The instability with respect to
three-dimensional perturbations is suppressed by a sufficiently strong magnetic
field in the invariant direction of the equilibrium. For a special choice of
the system parameters, the unstably perturbed state is followed up in its
nonlinear evolution and is found to approach a three-dimensional steady state.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 13:57:31 GMT""}]","2009-10-31"
"cond-mat/9912135","B. Schmittmann","B. Schmittmann, R.K.P. Zia and Wannapong Triampo","Dynamic scaling in vacancy-mediated disordering","15 pages, 6 figures",,"10.1590/S0103-97332000000100014",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  We consider the disordering dynamics of an interacting binary alloy with a
small admixture of vacancies which mediate atom-atom exchanges. Starting from a
perfectly phase-segregated state, the system is rapidly heated to a temperature
in the disordered phase. A suitable disorder parameter, namely, the number of
broken bonds, is monitored as a function of time. Using Monte Carlo simulations
and a coarse-grained field theory, we show that the late stages of this process
exhibit dynamic scaling, characterized by a set of scaling functions and
exponents. We discuss the universality of these exponents and comment on some
subtleties in the early stages of the disordering process.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 22:27:03 GMT""}]","2015-06-25"
"cond-mat/9912140","Darko Tanskovic","D. Tanaskovi\'c, Z. Radovi\'c and L. Dobrosavljevi\'c-Gruji\'c","Spin paramagnetism in d-wave superconductors","8 pages, 3 figures; minor changes are included; reference 35 is
  added; shorter version will be published in Phys. Rev. B, scheduled issue 01
  July 2000",,"10.1103/PhysRevB.62.138",,"cond-mat.supr-con",,"  The Ginzburg-Landau equations are derived from the microscopic theory for
clean layered superconductors with $d_{x^2-y^2}$ pairing symmetry, including
the Pauli paramagnetism effect. The upper critical field $H_{c2}$ parallel to
the $c$ axis is calculated. A comparison with the experimental data for YBCO
suggests that, relative to the orbital effect, the Pauli paramagnetism
contribution to $H_{c2}$ is significant. The reversible magnetization $M$ in
high magnetic fields is also calculated, showing strong temperature dependence
of the slope $dM/dH$, as a consequence of the spin paramagnetism. A simple
expression for the high temperature spin susceptibility is derived, in a good
agreement with the Knight shift measurements on YBCO.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 16:38:29 GMT""},{""version"":""v2"",""created"":""Wed, 19 Apr 2000 08:54:34 GMT""}]","2009-10-31"
"cond-mat/9912141","Klaus Fabricius","Tetsuo Deguchi, Klaus Fabricius and Barry M. McCoy","The sl_2 loop algebra symmetry of the six-vertex model at roots of unity","29 pages Several proofs and a new result for the XYZ model have been
  added","J.Statist.Phys. 102 (2001) 701-736",,"YITPSB-99-66","cond-mat.stat-mech hep-th",,"  We demonstrate that the six vertex model (XXZ spin chain) with
$\Delta=(q+q^{-1})/2$ and $q^{2N}=1$ has an invariance under the loop algebra
of $sl_2$ which produces a special set of degenerate eigenvalues. For
$\Delta=0$ we compute the multiplicity of the degeneracies using Jordan Wigner
techniques
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 18:02:20 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 2000 17:27:03 GMT""}]","2007-05-23"
"cond-mat/9912142","Donavan Hall","Donavan Hall (1), Z. Fisk (1), R. G. Goodrich (2) ((1)National High
  Magnetic Field Lab, (2) Louisiana State University)","Magnetic Field Dependence of the Paramagnetic to the High Temperature
  Magnetically Ordered Phase Transition in CeB6","6 total page including 3 figures, submitted to Physical Review B
  (also available at
  http://publish.aps.org/eprint/gateway/eplist/aps1999dec08_006) v2: Corrected
  typos, added 1 reference, minor content changes (deleted 1 sentence in
  introduction, added 2 sentences in discussion to explain added reference),
  fixed the ""et al""s in the bibliography","Physical Review B 62, 84-86, (2000)","10.1103/PhysRevB.62.84",,"cond-mat.str-el",,"  We have measured the magnetic field dependence of the paramagnetic to high
temperature magnetically ordered phase transition TQ(H) in CeB6 from 2 to 30 T
using cantilever magnetometry. It is found that the phase separation
temperature continuously increases in field with an increasingly positive
slope. In addition, we find that measurements in strong magnetic field
gradients have no effect on the phase transition.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 19:22:01 GMT""},{""version"":""v2"",""created"":""Wed, 8 Mar 2000 16:33:43 GMT""}]","2009-10-31"
"cond-mat/9912143","Marcello Barbosa da Silva Neto","Eduardo C. Marino and Marcello B. Silva Neto","Effective Sublattice Magnetization and Neel Temperature in Quantum
  Antiferromagnets","4 pages, RevTex, 3 figures","Phys.Rev.B62:142,2000","10.1103/PhysRevB.62.142","UFRJ-IF-FPC-001/99","cond-mat.str-el cond-mat.supr-con hep-th",,"  We present an analytic expression for the finite temperature effective
sublattice magnetization which would be detected by inelastic neutron
scattering experiments performed on a two-dimensional square-lattice quantum
Heisenberg antiferromagnets with short range N\'eel order. Our expression,
which has no adjustable parameters, is able to reproduce both the qualitative
behaviour of the phase diagram $M(T)xT$ and the experimental values of the
N\'eel temperature $T_{N}$ for either doped YBa$_{2}$Cu$_{3}$O$_{6.15}$ and
stoichiometric La$_{2}$CuO$_{4}$ compounds. Finally, we remark that by
incorporating frustration and 3D effects as perturbations is sufficient to
explain the deviation of the experimental data from our theoretical curves.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 20:55:26 GMT""},{""version"":""v2"",""created"":""Mon, 13 Mar 2000 18:27:18 GMT""}]","2008-11-26"
"cond-mat/9912144","Misha Brodsky","N.B. Zhitenev, M. Brodsky, R.C. Ashoori, L.N. Pfeiffer and K.W. West","The Localization-Delocalization Transition in Quantum Dots",,"Science vol.285 p.715 (1999)","10.1126/science.285.5428.715",,"cond-mat.mes-hall",,"  Single-electron capacitance spectroscopy precisely measures the energies
required to add individual electrons to a quantum dot. The spatial extent of
electronic wavefunctions is probed by investigating the dependence of these
energies on changes in the dot confining potential. For low electron densities,
electrons occupy distinct spatial sites localized within the dot. At higher
densities, the electrons become delocalized, and all wavefunctions are spread
over the full dot area. Near the delocalization transition, the last remaining
localized states exist at the perimeter of the dot. Unexpectedly, these
electrons appear to bind with electrons in the dot center.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 01:16:29 GMT""}]","2010-03-11"
"cond-mat/9912145",,"Bikash C. Gupta and Sang Bub Lee (Kyungpook National University, Taegu
  Korea)","Stationary localized states due to nonlinear impurities described by the
  modified discrete nonlinear Schr\""odinger equation","Six pages including five figures",,"10.1016/S0375-9601(00)00244-9",,"cond-mat.dis-nn",,"  The modified discrete nonlinear Schr\""odinger equation is used to study the
formation of stationary localized states in a one-dimensional lattice with a
single impurity and an asymmetric dimer impurity. A periodically modulated and
a perfectly nonlinear chain is also considered. Phase diagrams of localized
states for all systems are presented. From the mean square displacement
calculation, it is found that all states are not localized even though the
system comprises random nonlinear site energies. Stability of the states is
discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 01:32:10 GMT""}]","2015-06-25"
"cond-mat/9912146","Kihong Kim","Kihong Kim, Dong-Hun Lee","Theory of solitons, polarons and multipolarons in one dimension: An
  alternative formulation","13 pages, 1 figure, to appear in Physical Review B",,,,"cond-mat",,"  We develop an alternative formulation of the theory of solitons, polarons and
multipolarons in quasi-one-dimensional degenerate and non-degenerate conducting
polymers, starting from the continuum Hamiltonian introduced by Brazovskii and
Kirova. Based on a convenient real-space representation of the electron Green
function in one dimension, we present a simple method of calculating the Green
function and the density of states in the presence of a single soliton or
polaron defect, using which we derive exact expressions for the soliton,
polaron and multipolaron excitation energies and the self-consistent gap
functions for an arbitrary value of the electron-phonon coupling constant. We
apply our results to $cis$-polyacetylene.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 04:02:54 GMT""}]","2007-05-23"
"cond-mat/9912147","Aghasyan Mher","Mher M. Aghasyan and Albert A. Kirakosyan","Binding Energy of Impurity in a Size Quantized Coated Semiconductor
  Wire: Role of the Dielectric-Constant Mismatch","20 pages, 5 figures. PACS Classification: 72.15.Nj; 72.90+y; 73.40.Gk
  Keywords: Quantum wire, nanostructure, binding energy",,"10.1016/S1386-9477(00)00125-9",,"cond-mat.mtrl-sci",,"  Within the framework of staircase infinitely deep (SIW) potential well model
the effect of dielectric constant mismatch between the size-quantized
semiconducting wire, coating and surrounding environment on impurity binding
energy is considered. Calculations are done in both the absence and presence of
magnetic field applied along the wire axis. By the variation method the
dependences of binding energy of hydrogen-like impurity located on the wire
axis on the alloy concentration, effective mass ratio, dielectric constant
mismatch and magnetic field are found for the GaAs-Ga_{1-x}Al_{x}AS system.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 04:32:59 GMT""}]","2009-10-31"
"cond-mat/9912148","Sindhunil B. Roy","P. Chaddah and S.B. Roy","Metastabilities in vortex matter","Submitted to DAE(India) Solid state physics symposium. 11
  pages(preprint) and 2 figures",,,,"cond-mat.supr-con cond-mat.stat-mech",,"  We extend the classical theory for supercooling across first order phase
transitions to the case when both density and temperature are control
variables. The observable region of metastability then depends on the path
followed in this space of two variables. Since the density of vortex matter in
superconductors can be easily varied over a wide range by varying applied
field, it is ideal for experimental tests. We found, in our studies on the
`peak effect' in the mixed state of superconducting CeRu$_2$, supercooled
states whose observable region of metastability depends on the path followed in
(H,T) space, consistent with our predictions. We also discuss phenomena in hard
superconductors that are well understood within Bean's critical state model. We
conclude that the path dependence of metastablity associated with hindered
kinetics may be opposite to that predicted for metastability associated with
supercooling across a first order transition.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 06:40:19 GMT""}]","2007-05-23"
"cond-mat/9912149","Konstantin G. Zloshchastiev","Konstantin G. Zloshchastiev","Non-linear phenomena in electrical circuits: Simulation of non-linear
  relativistic field theory and possible applications","LaTeX, 4 pages, no figures",,,,"cond-mat.mtrl-sci cond-mat.mes-hall hep-ph hep-th",,"  We propose the non-accelerator non-low-temperature simulator of quantum-field
effects which is based on the feeder circuits with the special feedback. By
means of it one can study the field models which contain fundamental concepts
in the modern field theory but do not exist in nature in a separate form.
Besides, several field phenomena might find technological applications by
virtue of the electrical analogy.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 10:44:08 GMT""}]","2007-05-23"
"cond-mat/9912150","Rainer Kuehne","R. Kuhne","Critical Behavior of Heisenberg Chains Coupled to Phonons","paper withdrawn by the author",,,,"cond-mat.str-el",,"  This paper has been withdrawn by the author due to unspecified problems.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:23:06 GMT""},{""version"":""v2"",""created"":""Mon, 20 Dec 1999 13:58:57 GMT""}]","2007-05-23"
"cond-mat/9912151","Ruben Ghulghazaryan","N. S. Ananikian, R. G. Ghulghazaryan, N. Sh. Izmailian, R. R.
  Shcherbakov","Exact solution of a Z(4) gauge Potts model on planar lattices","10 pages, 1 figure","Phys.Rev. E60 (1999) 5106","10.1103/PhysRevE.60.5106",,"cond-mat.stat-mech",,"  The exact solution of a general Z(4) gauge Potts model with a single and
double plaquette representation of the action is found on a subspace of
gauge-coupling parameters on the square and triangular lattices. The two
Ising-type critical lines of a second-order phase transition for the model on a
square lattice are found. For the model on a triangular lattice the two
critical surfaces of an Ising-type and two nontrivial lines of a second-order
phase transition with different critical behavior than on the critical surfaces
are found. It is shown that a two dimensional (2D) general Z(4) gauge Potts
model with single and double plaquette representation of the action and a 2D
spin-3/2 Ising model belong to the same universality class.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 12:06:03 GMT""}]","2009-10-31"
"cond-mat/9912152","Adriano Roberto de Lima","A. R. Lima, P. M. C. de Oliveira and T. J. P. Penna","Broad Histogram Method for Multiparametric Hamiltonians","11 pages, 4 postscript figures",,"10.1016/S0038-1098(00)00073-9",,"cond-mat.stat-mech",,"  We extended the Broad Histogram Method in order to obtain spectral
degeneracies for systems with multiparametric Hamiltonians. As examples we
obtained the critical lines for the square lattice Ising model with nearest and
next-nearest neighbor interactions and the antiferromagnetic Ising model in an
external field. For each system, the entire critical line is obtained using
data from a single computer run. We also discuss the accuracy and efficiency of
our method.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 11:47:50 GMT""}]","2009-10-31"
"cond-mat/9912153","Colin Denniston","Colin Denniston, E. Orlandini, and J.M. Yeomans","Simulations of liquid crystal hydrodynamics",,,,,"cond-mat.soft cond-mat.mtrl-sci",,"  We present a lattice Boltzmann algorithm for liquid crystal hydrodynamics.
The coupling between the tensor order parameter and the flow is treated
consistently allowing investigation of a wide range of non-Newtonian flow
behavior. We present results for the effect of hydrodynamics on defect
coalescence; of the appearance of the log-rolling and kayaking states in
Poiseuille flow; and for banding and coexistence of isotropic and nematic
phases under shear.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 12:05:22 GMT""}]","2007-05-23"
"cond-mat/9912154",,"J. A. Cline (MIT), A. A. Rigos (Merrimack College), and T. A. Arias
  (Cornell)","Ab initio study of magnetic structure and chemical reactivity of Cr2O3
  and its (0001) surface","Submitted to J. Phys. Chem. B, 7 pages, 13 EPS figures, uses RevTeX
  with NFSS, graphicx style",,,,"cond-mat.mtrl-sci",,"  We present the first ab initio density functional theory study of the
oxygen-terminated Cr2O3 (0001) surface within the local spin-density
approximation (LSDA). We find that spin plays a critical role for even the most
basic properties of Cr2O3 such as the structure and mechanical response of the
bulk material. The surface exhibits strong relaxations and changes in
electronic and magnetic structure with important implications for the chemical
reactivity and unusual spin-dependent catalytic activity of the surface. Unlike
the bulk, the outermost chromium bilayer is ferromagnetically ordered, and the
surface oxygen layer exhibits appreciable net spin polarization in the opposite
sense. Surprisingly, despite this ferrimagnetic order, the chemically important
states near the Fermi level exhibit ferromagnetic order and thus favor
electronic spin alignment of species interacting with the surface. Finally, we
also find a high density of unoccupied electronic surface states available to
participate in the chemical reactivity of the surface.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 12:23:39 GMT""}]","2007-05-23"
"cond-mat/9912155","Luca Canali","L. Gurevich, L. Canali, and L.P. Kouwenhoven","Scanning Gate Spectroscopy on Nanoclusters","3 pages, 4 figures","Appl. Phys. Lett., Vol 76, 17 Jan 2000","10.1063/1.125761",,"cond-mat.mes-hall",,"  A gated probe for scanning tunnelling microscopy (STM) has been developed.
The probe extends normal STM operations by means of an additional electrode
fabricated next to the tunnelling tip. The extra electrode does not make
contact with the sample and can be used as a gate. We report on the recipe used
for fabricating the tunnelling tip and the gate electrode on a silicon nitride
cantilever. We demonstrate the functioning of the scanning gate probes by
performing single-electron tunnelling spectroscopy on 20-nm gold clusters for
different gate voltages.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 13:43:50 GMT""}]","2009-10-31"
"cond-mat/9912156","Behnam Farid","Behnam Farid (Cavendish Laboratory, UK)","On the response of composite fermions to weak electrostatic potentials","4 pages, 2 postscript figures included",,,,"cond-mat.mes-hall",,"  We establish that the response to static perturbations of two-dimensional
electron systems (2DESs), exposed to magnetic field B, in states with the
Landau-level filling fractions \nu close to one such as 1/2, is singularly
different from that of 2DESs at small |B|. Thus in addition to demonstrating
the sever inadequacy of the treatment of composite fermions as non-interacting
particles, we show, in contradiction to a recent theoretical finding, that the
physical origin of the observed behaviour of the dc longitudinal
magneto-resistivity for \nu close to 1/2 in periodically modulated 2DESs
remains to be determined.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 14:03:29 GMT""}]","2007-05-23"
"gr-qc/9912031","Scott A. Hughes","Scott A. Hughes","Gravitational waves from inspiral into massive black holes","7 pages, 2 figures. To appear in the proceedings of the 3rd Edoardo
  Amaldi meeting",,,,"gr-qc astro-ph",,"  Space-based gravitational-wave interferometers such as LISA will be sensitive
to the inspiral of stellar mass compact objects into black holes with masses in
the range of roughly 10^5 solar masses to (a few) 10^7 solar masses. During the
last year of inspiral, the compact body spends several hundred thousand orbits
spiraling from several Schwarzschild radii to the last stable orbit. The
gravitational waves emitted from these orbits probe the strong-field region of
the black hole spacetime and can make possible high precision tests and
measurements of the black hole's properties. Measuring such waves will require
a good theoretical understanding of the waves' properties, which in turn
requires a good understanding of strong-field radiation reaction and of
properties of the black hole's astrophysical environment which could complicate
waveform generation. In these proceedings, I review estimates of the rate at
which such inspirals occur in the universe, and discuss what is being done and
what must be done further in order to calculate the inspiral waveform.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 21:47:33 GMT""}]","2007-05-23"
"gr-qc/9912032","Alejandro Corichi","Alejandro Corichi and Daniel Sudarsky","Mass of Colored Black Holes","8 pages, no figures, Revtex file. Minor changes made to clarify some
  formulas. References updated. Final version to appear in PRD/15R","Phys.Rev.D61:101501,2000","10.1103/PhysRevD.61.101501",,"gr-qc",,"  New results pertaining to colored static black hole solutions to the
Einstein-Yang-Mills equations are obtained. The isolated horizons framework is
used to define the concept of Hamiltonian Horizon Mass of the black hole. An
unexpected relation between the ADM and Horizon masses of the black hole
solution with the ADM mass of the corresponding Bartnik-McKinnon soliton is
found. These results can be generalized to other non-linear theories and they
suggest a general testing bed for the instability of the corresponding hairy
black holes.
","[{""version"":""v1"",""created"":""Wed, 8 Dec 1999 23:29:57 GMT""},{""version"":""v2"",""created"":""Mon, 6 Mar 2000 17:35:13 GMT""}]","2009-12-30"
"gr-qc/9912033","Haret Rosu","H.C. Rosu, P. Espinoza","An Ermakov study of Q not zero EFRW minisuperspace oscillators","5 pages, 4 figs embedded, parallel talk at 3rd Workshop of DGFM/SMF,
  Nov. 28 - Dec. 3/99, Leon, Gto, Mx","Aspects of Gravitation and Mathematical Physics, The 3rd Workshop
  of the DGFM-SMF, eds. N. Breton, O. Pimentel, J. Socorro, (Guanajuato
  University, Mexico, 2000), ISBN 968-864-220-7",,,"gr-qc",,"  A previous work on the Ermakov approach for empty FRW minisuperspace
universes of Hartle-Hawking factor ordering parameter Q=0 is extended to the Q
not zero cases
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 00:00:53 GMT""}]","2007-05-23"
"gr-qc/9912034","Anatoly Nikishov","A.I.Nikishov (P.N.Lebedev Institute of Physics, Moscow, Russia)","On energy-momentum tensors of gravitational field","24 pages, 2 figures","Phys.Part.Nucl. 32 (2001) 1-14; Fiz.Elem.Chast.Atom.Yadra 32
  (2001) 5-30",,,"gr-qc",,"  Several energy-momentum ""tensors"" of gravitational field are considered and
compared in the lowest approximation. Each of them together with
energy-momentum tensor of point-like particles satisfies the conservation laws
when equations of motion of particles are the same as in general relativity. It
is shown that in Newtonian approximation the considered tensors differ one from
the other in the way their energy density is distributed between energy density
of interaction (nonzero only at locations of particles) and energy density of
gravitational field. Starting from Lorentz invariance the Lagrangians for
spin-2, mass-0 field are considered. They differ only by divergences. From
these Lagrangians by Belinfante-Rosenfeld procedure the energy-momentum tensors
are build. Using each of these tensors in 3-graviton vertex we obtain the
corresponding metric of a Newtonian center in $G^2$ approximation. Only one of
these ''field-theretical''tensors (namely the half sum of Thirring tensor and
tensor obtained from Lagrangian given by Misner, Thorne and Wheeler) leads to
correct value of the perihelion shift. This tensor does not coincide with
Weinberg`s one (directly obtainable from Einstein equation) and gives metric of
a spherical body differing (in space part of metric in the first nonlinear
approximation) from Schwarzschild field in harmonic coordinates. As a result a
relativistic particle in such field must move note according general relativity
prescriptions. This approach puts the gravitational energy-momentum tensor on
the same footing as any other energy-momentum tensor.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1999 12:26:44 GMT""}]","2007-05-23"
