"astro-ph/9912046","Jerome Martin","Philippe Brax and Jerome Martin","The Robustness of Quintessence","16 pages, 7 figures","Phys.Rev. D61 (2000) 103502","10.1103/PhysRevD.61.103502","t99/075","astro-ph gr-qc hep-ph hep-th",,"  Recent observations seem to suggest that our Universe is accelerating
implying that it is dominated by a fluid whose equation of state is negative.
Quintessence is a possible explanation. In particular, the concept of tracking
solutions permits to adress the fine-tuning and coincidence problems. We study
this proposal in the simplest case of an inverse power potential and
investigate its robustness to corrections. We show that quintessence is not
affected by the one-loop quantum corrections. In the supersymmetric case where
the quintessential potential is motivated by non-perturbative effects in gauge
theories, we consider the curvature effects and the K\""ahler corrections. We
find that the curvature effects are negligible while the K\""ahler corrections
modify the early evolution of the quintessence field. Finally we study the
supergravity corrections and show that they must be taken into account as
$Q\approx m_{\rm Pl}$ at small red-shifts. We discuss simple supergravity
models exhibiting the quintessential behaviour. In particular, we propose a
model where the scalar potential is given by $V(Q)=\frac{\Lambda^{4+\alpha
}}{Q^{\alpha}}e^{\frac{\kappa}{2}Q^2}$. We argue that the fine-tuning problem
can be overcome if $\alpha \ge 11$. This model leads to $\omega_Q\approx -0.82$
for $\Omega_{\rm m}\approx 0.3$ which is in good agreement with the presently
available data.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:18:41 GMT""}]","2009-10-31"
"astro-ph/9912068","Omar Almaini","O. Almaini, A. Lawrence, T. Shanks, A. Edge, B.J. Boyle, I.
  Georgantopoulos, K.F. Gunn, G.C. Stewart, and R.E. Griffiths","X-ray variability in a deep, flux limited sample of QSOs","Accepted for publication in MNRAS. 11 pages, 12 encapsulated figures.
  Final proof version, with corrections to Equation A5, Figure 10 and
  references. Also available at http://www.roe.ac.uk/~omar/astro.html","Mon.Not.Roy.Astron.Soc. 315 (2000) 325","10.1046/j.1365-8711.2000.03385.x",,"astro-ph",,"  We present an analysis of X-ray variability in a flux limited sample of QSOs.
Selected from our deep ROSAT survey, these QSOs span a wide range in redshift
($0.1<z<3.2$) and are typically very faint, so we have developed a method to
constrain the amplitude of variability in ensembles of low signal-to-noise
light curves. We find evidence for trends in this variability amplitude with
both redshift and luminosity. The mean variability amplitude declines sharply
with luminosity, as seen in local AGN, but with some suggestion of an upturn
for the most powerful sources. We find tentative evidence that this is caused
by redshift evolution, since the high redshift QSOs ($z>0.5$) do not show the
anti-correlation with luminosity seen in local AGN. We speculate on the
implications of these results for physical models of AGN and their evolution.
Finally, we find evidence for X-ray variability in an object classified as a
narrow emission-line galaxy, suggesting the presence of an AGN.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:33:01 GMT""},{""version"":""v2"",""created"":""Fri, 7 Apr 2000 17:19:13 GMT""}]","2009-10-31"
"astro-ph/9912069","Prasad Subramanian","Angelos Vourlidas (1), Prasad Subramanian (1), K. P. Dere (2), R. A.
  Howard(2) ((1) George Mason University, Fairfax, Virginia, USA (2) Naval
  Research Laboratory, Washington, DC, USA)","LASCO Measurements of the Energetics of Coronal Mass Ejections","Accepted for publication, Astrophysical Journal. Uses AASTeX 5.0",,,,"astro-ph",,"  We examine the energetics of Coronal Mass Ejections (CMEs) with data from the
LASCO coronagraphs on SOHO. The LASCO observations provide fairly direct
measurements of the mass, velocity and dimensions of CMEs. Using these basic
measurements, we determine the potential and kinetic energies and their
evolution for several CMEs that exhibit a flux-rope morphology. Assuming flux
conservation, we use observations of the magnetic flux in a variety of magnetic
clouds near the Earth to determine the magnetic flux and magnetic energy in
CMEs near the Sun. We find that the potential and kinetic energies increase at
the expense of the magnetic energy as the CME moves out, keeping the total
energy roughly constant. This demonstrates that flux rope CMEs are magnetically
driven. Furthermore, since their total energy is constant, the flux rope parts
of the CMEs can be considered to be a closed system above $\sim$ 2 $R_{\sun}$.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:02:21 GMT""}]","2007-05-23"
"astro-ph/9912070","Margrethe Wold","M. Wold (1,3), M. Lacy (2), P.B. Lilje (3), S. Serjeant (4) ((1)
  Stockholm Observatory, (2) Astrophysics, Oxford, (3) Institute of Theoretical
  Astrophysics, Oslo, (4) Imperial College, London)","Clustering of galaxies around radio quasars at 0.5 < z < 0.8","18 pages, 9 figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 316 (2000) 267","10.1046/j.1365-8711.2000.03473.x",,"astro-ph",,"  We have observed the galaxy environments around a sample of 21 radio-loud,
steep-spectrum quasars at 0.5<z<0.82, spanning several orders of magnitude in
radio luminosity. The observations also include background control fields used
to obtain the excess number of galaxies in each quasar field. The galaxy excess
was quantified using the spatial galaxy-quasar correlation amplitude, B_gq, and
an Abell-type measurement, N_0.5 (Hill & Lilly 1991). A few quasars are found
in relatively rich clusters, but on average, they seem to prefer galaxy groups
or clusters of approximately Abell class 0. We have combined our sample with
literature samples extending down to z=0.2 and covering the same range in radio
luminosity. By using Spearman statistic to disentangle redshift and luminosity
dependences, we detect a weak, but significant, positive correlation between
the richness of the quasar environment and the quasar's radio luminosity.
However, we do not find any epoch dependence in B_gq, as has previously been
reported for radio quasars and galaxies. We discuss the radio
luminosity-cluster richness link and possible explanations for the weak
correlation that is seen.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 14:55:01 GMT""}]","2009-10-31"
"chao-dyn/9912005","Kunihiko Kaneko","Kunihiko Kaneko and Chikara Furusawa (Univ. of Tokyo)","Robust and Irreversible Development in Cell Society as a General
  Consequence of Intra-Inter Dynamics","17 pages with 3 ps figures. submitted to Physica A as a proceeding
  paperfor Paladin Memorial Conf",,"10.1016/S0378-4371(99)00615-9",,"chao-dyn nlin.AO nlin.CD q-bio.CB",,"  A dynamical systems scenario for developmental cell biology is proposed,
based on numerical studies of a system with interacting units with internal
dynamics and reproduction. Diversification, formation of discrete and recursive
types, and rules for differentiation are found as a natural consequence of such
a system. ""Stem cells"" that either proliferate or differentiate to different
types stochastically are found to appear when intra-cellular dynamics are
chaotic. Robustness of the developmental process against microscopic and
macroscopic perturbations is shown to be a natural consequence of such
intra-inter dynamics, while irreversibility in developmental process is
discussed in terms of the gain of stability, loss of diversity and chaotic
instability.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 02:42:46 GMT""}]","2009-10-31"
"chao-dyn/9912006","Rainer Hegger","M.J. B\""unner, M. Ciofini, A. Giaquinta, R. Hegger, H. Kantz, R.
  Meucci, and A. Politi","Reconstruction of systems with delayed feedback: (II) Application","16 pages, 29 figures included",,"10.1007/s100530050539",,"chao-dyn nlin.CD",,"  We apply a recently proposed method for the analysis of time series from
systems with delayed feedback to experimental data generated by a CO_2 laser.
The method is able to estimate the delay time with an error of the order of the
sampling interval, while an approach based on the peaks of either the
autocorrelation function, or the time delayed mutual information would yield
systematically larger values. We reconstruct rather accurately the equations of
motion and, in turn, estimate the Lyapunov spectrum even for rather high
dimensional attractors. By comparing models constructed for different
'embedding dimensions' with the original data, we are able to find the minimal
faitfhful model. For short delays, the results of our procedure have been
cross-checked using a conventional Takens time-delay embedding. For large
delays, the standard analysis is inapplicable since the dynamics becomes
hyperchaotic. In such a regime we provide the first experimental evidence that
the Lyapunov spectrum, rescaled according to the delay time, is independent of
the delay time itself. This is in full analogy with the independence of the
system size found in spatially extended systems.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 09:09:32 GMT""}]","2009-10-31"
"chao-dyn/9912007","Luca Biferale","M. Abel, L. Biferale, M. Cencini, M. Falcioni, D. Vergni and A.
  Vulpiani","An exit-time approach to $\epsilon$-entropy","4 pages, revTex, 3 figures, submitted to PRL",,"10.1103/PhysRevLett.84.6002",,"chao-dyn nlin.CD",,"  An efficient approach to the calculation of the $\epsilon$-entropy is
proposed. The method is based on the idea of looking at the information content
of a string of data, by analyzing the signal only at the instants when the
fluctuations are larger than a certain threshold $\epsilon$, i.e., by looking
at the exit-time statistics. The practical and theoretical advantages of our
method with respect to the usual one are shown by the examples of a
deterministic map and a self-affine stochastic process.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:26:38 GMT""}]","2009-10-31"
"cond-mat/9912020","Subir Sachdev","Matthias Vojta, Chiranjeeb Buragohain, Subir Sachdev (Yale University)","Quantum impurity dynamics in two-dimensional antiferromagnets and
  superconductors","36 pages, 12 figures; added references","Physical Review B, 61, 15152 (2000)","10.1103/PhysRevB.61.15152",,"cond-mat.str-el cond-mat.supr-con",,"  We present the universal theory of arbitrary, localized impurities in a
confining paramagnetic state of two-dimensional antiferromagnets with global
SU(2) spin symmetry. The energy gap of the host antiferromagnet to spin-1
excitations, \Delta, is assumed to be significantly smaller than a typical
nearest neighbor exchange. In the absence of impurities, it was argued in
earlier work (Chubukov et al. cond-mat/9304046) that the low-temperature
quantum dynamics is universally and completely determined by the values of
\Delta and a spin-wave velocity c. Here we establish the remarkable fact that
no additional parameters are necessary for an antiferromagnet with a dilute
concentration of impurities, n_{imp} - each impurity is completely
characterized by a integer/half-odd-integer valued spin, S, which measures the
net uncompensated Berry phase due to spin precession in its vicinity. We
compute the impurity-induced damping of the spin-1 collective mode of the
antiferromagnet: the damping occurs on an energy scale \Gamma= n_{imp} (\hbar
c)^2/\Delta, and we predict a universal, asymmetric lineshape for the
collective mode peak. We argue that, under suitable conditions, our results
apply unchanged (or in some cases, with minor modifications) to d-wave
superconductors, and compare them to recent neutron scattering experiments on
YBCO by Fong et al. (cond-mat/9812047). We also describe the universal
evolution of numerous measurable correlations as the host antiferromagnet
undergoes a quantum phase transition to a Neel ordered state.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 19:40:57 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 16:13:38 GMT""},{""version"":""v3"",""created"":""Mon, 6 Dec 1999 23:57:21 GMT""},{""version"":""v4"",""created"":""Wed, 8 Dec 1999 14:33:32 GMT""},{""version"":""v5"",""created"":""Mon, 14 Feb 2000 15:41:28 GMT""},{""version"":""v6"",""created"":""Wed, 1 Mar 2000 19:49:13 GMT""},{""version"":""v7"",""created"":""Tue, 23 May 2000 18:58:10 GMT""}]","2007-05-23"
"cond-mat/9912027","Karyn Le Hur","Karyn Le Hur","Kondo effect in a one dimensional d-wave superconductor","9 pages, final version; To be published in Europhysics Letters","Europhys. Lett., 49 (6), pp. 768-774 (2000).","10.1209/epl/i2000-00217-9",,"cond-mat.str-el cond-mat.supr-con",,"  We derive a solvable resonant-level type model, to describe an impurity spin
coupled to zero-energy bound states localized at the edge of a one dimensional
d-wave superconductor. This results in a two-channel Kondo effect with a quite
unusual low-temperature thermodynamics. For instance, the local impurity
susceptibility yields a finite maximum at zero temperature (but no
logarithmic-divergence) due to the splitting of the impurity in two Majorana
fermions. Moreover, we make comparisons with the Kondo effect occurring in a
two dimensional d-wave superconductor.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:16:23 GMT""},{""version"":""v2"",""created"":""Mon, 28 Feb 2000 14:31:40 GMT""}]","2015-06-25"
"cond-mat/9912037","Guo-Meng Zhao","G. M. Zhao (1and 2), V. Smolyaninova (1), W. Prellier (1), H. Keller
  (2) ((1)University of Maryland, (2) University of Zurich)","Electrical transport in the ferromagnetic state of manganites:
  Small-polaron metallic conduction at low temperatures","4 pages, 4 figures, submitted to PRL",,"10.1103/PhysRevLett.84.6086",,"cond-mat.str-el",,"  We report measurements of the resistivity in the ferromagnetic state of
epitaxial thin films of La_{1-x}Ca_{x}MnO_{3} and the low temperature specific
heat of a polycrystalline La_{0.8}Ca_{0.2}MnO_{3}. The resistivity below 100 K
can be well fitted by \rho - \rho_{o} = E \omega_{s}/sinh^{2}(\hbar
\omega_{s}/2k_{B}T) with \hbar \omega_{s}/k_{B} \simeq 100 K and E being a
constant. Such behavior is consistent with small-polaron coherent motion which
involves a relaxation due to a soft optical phonon mode. The specific heat data
also suggest the existence of such a phonon mode. The present results thus
provide evidence for small-polaron metallic conduction in the ferromagnetic
state of manganites.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:57:51 GMT""}]","2009-10-31"
"cond-mat/9912038","Rodolfo A. Jalabert","Rodolfo A. Jalabert","The semiclassical tool in mesoscopic physics","Latex, Cimento-varenna style, 82 pages, 21 postscript figures;
  lectures given in the CXLIII Course ""New Directions in Quantum Chaos"" on the
  International School of Physics ""Enrico Fermi""; Varenna, Italy, July 1999; to
  be published in Proceedings",,,,"cond-mat.mes-hall chao-dyn nlin.CD",,"  Semiclassical methods are extremely valuable in the study of transport and
thermodynamical properties of ballistic microstructures. By expressing the
conductance in terms of classical trajectories, we demonstrate that quantum
interference phenomena depend on the underlying classical dynamics of
non-interacting electrons. In particular, we are able to calculate the
characteristic length of the ballistic conductance fluctuations and the weak
localization peak in the case of chaotic dynamics. Integrable cavities are not
governed by single scales, but their non-generic behavior can also be obtained
from semiclassical expansions (over isolated trajectories or families of
trajectories, depending on the system). The magnetic response of a
microstructure is enhanced with respect to the bulk (Landau) susceptibility,
and the semiclassical approach shows that this enhancement is the largest for
integrable geometries, due to the existence of families of periodic orbits. We
show how the semiclassical tool can be adapted to describe weak residual
disorder, as well as the effects of electron-electron interactions. The
interaction contribution to the magnetic susceptibility also depends on the
nature of the classical dynamics of non-interacting electrons, and is
parametrically larger in the case of integrable systems.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 16:54:07 GMT""}]","2007-05-23"
"cond-mat/9912039","Artur Erbe","Andreas Kraus, Artur Erbe, and Robert H. Blick","Nanomechanical vibrating wire resonator for phonon spectroscopy in
  Helium","4pages, 4 figures",,"10.1088/0957-4484/11/3/305",,"cond-mat.mes-hall",,"  We demonstrate how to build a vibrating wire resonator for phonon excitation
in liquid helium. The resonator is designed as a nanoscopic mechanically
flexible beam machined out of a semiconductor/metal-hybrid. Quenching of the
mechanical resonance around 100 MHz by phonon excitation in liquid ^4He at 4.2
K is shown. First measurements operating the nano-resonator in a dilution of
^3He/^4He at 30 mK are presented.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 17:42:22 GMT""}]","2016-08-31"
"cond-mat/9912040","Xuedong Hu","S. Das Sarma, Jaroslav Fabian, Xuedong Hu, Igor Zutic","Spintronics: electron spin coherence, entanglement, and transport","9 pages and 3 eps figures. To appear in the proceedings of the
  Surfaces and Interfaces of Mesoscopic Devices 99. Acknowledgment added","Superlattices and Microstructures 27, 289 (2000).","10.1006/spmi.2000.0829",,"cond-mat.mes-hall",,"  Prospect of building spintronic devices in which electron spins store and
transport information has attracted strong attention in recent years. Here we
present some of our representative theoretical results on three fundamental
aspects of spintronics: spin coherence, spin entanglement, and spin transport.
In particular, we discuss our detailed quantitative theory for spin relaxation
and coherence in electronic materials, resolving in the process a long-standing
puzzle of why spin relaxation is extremely fast in Al (compared with other
simple metals). In the study of spin entanglement, we consider two electrons in
a coupled GaAs double-quantum-dot structure and explore the Hilbert space of
the double dot. The specific goal is to critically assess the quantitative
aspects of the proposed spin-based quantum dot quantum computer architecture.
Furthermore, we discuss our theory of spin-polarized transport across a
semiconductor-metal interface. In particular, we study Andreev reflection,
which enables us to quantify the degree of carrier spin polarization and the
strength of interfacial scattering.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:12:45 GMT""},{""version"":""v2"",""created"":""Fri, 3 Dec 1999 21:22:48 GMT""},{""version"":""v3"",""created"":""Fri, 17 Mar 2000 22:11:50 GMT""}]","2009-10-31"
"cond-mat/9912041","P. T. Coleridge","P. T. Coleridge, A.S. Sachrajda and P. Zawadzki","Weak localisation, interaction effects and the metallic phase in p-SiGe","Revised version with significant additions. 9 pages,12 eps figures
  Submitted to Physical Review B, November 2001",,,,"cond-mat.str-el",,"  Magnetoresistance results are presented for p-SiGe samples on the metallic
side of the B=0 metal-insulator transition. It was possible to separate the
weak localisation and Zeeman interaction effects but the results could not be
explained quantitatively within the framework of standard theories for quantum
corrections of a weakly interacting 2-dimensional system. Analysis using a
theory for interaction corrections at intermediate temperatures, recently
proposed by Zala, Narozhny and Aleiner, provided values of the Fermi liquid
parameter $F_0^{\sigma}$ of order -0.5. Similar values also explain the linear
increase of resistance with temperature characteristic of the metallic phase. e
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:34:39 GMT""},{""version"":""v2"",""created"":""Fri, 21 Dec 2001 19:21:58 GMT""}]","2007-05-23"
"cond-mat/9912042","G. Sergeeva","G.Sergeeva (NSC KIPT, Kharkov)","Scenario of Superconducting Transition for quasi-2D HTS","2 pages, Latex 2.09",,,"KIPT-99-12","cond-mat.supr-con",,"  We discuss the scenario of superconducing transition for quasi two dimension
HTS with spin fluctuation pairing mechanism. At mean field temperature of 2D
superconducting transition the interaction of fluctuation spin waves with holes
in copper-oxigen planes leads to the pairing of holes and to the fluctuation
generation of superconducting regions, and also to the essential temperature
dependence of the strength of the interlayer coupling. At decreasing
temperature and sufficiently small interlayer coupling the transition of the
sample to coherent superconducting state occurs.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 18:51:44 GMT""}]","2007-05-23"
"cond-mat/9912043","Mike Norman","M. R. Norman, M. Randeria, B. Janko, and J. C. Campuzano","Condensation Energy and Spectral Functions in High Temperature
  Superconductors","10 pages, revtex, 4 encapsulated postscript figures","Phys. Rev. B 61, 14742 (2000)","10.1103/PhysRevB.61.14742",,"cond-mat.supr-con",,"  If high temperature cuprate superconductivity is due to electronic
correlations, then the energy difference between the normal and superconducting
states can be expressed in terms of the occupied part of the single particle
spectral function. The latter can, in principle, be determined from angle
resolved photoemission (ARPES) data. As a consequence, the energy gain driving
the development of the superconducting state is intimately related to the
dramatic changes in the photoemission lineshape when going below Tc. These
points are illustrated in the context of the ""mode"" model used to fit ARPES
data in the normal and superconducting states, where the question of kinetic
energy versus potential energy driven superconductivity is explored in detail.
We use our findings to comment on the relation of ARPES data to the
condensation energy, and to various other experimental data. In particular, our
results suggest that the nature of the superconducting transition is strongly
related to how anomalous (non Fermi liquid like) the normal state spectral
function is, and as such, is dependent upon the doping level.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 22:10:34 GMT""}]","2009-10-31"
"cond-mat/9912044","A. Kazaryan","A. Kazaryan, Y. Wang, S.A. Dregia and Bruce R. Patton","Generalized Phase Field Model for Computer Simulation of Grain Growth in
  Anisotropic Systems","4 pages, 5 figures, submitted to Phys. Rev. B",,"10.1103/PhysRevB.61.14275",,"cond-mat.mtrl-sci cond-mat.stat-mech",,"  We study the dynamics and morphology of grain growth with anisotropic energy
and mobility of grain boundaries using a generalized phase field model. In
contrast to previous studies, both inclination and misorientation of the
boundaries are considered. The model is first validated against exact
analytical solutions for the classical problem of an island grain embedded in
an infinite matrix. It is found that grain boundary energy anisotropy has a
much stronger effect on grain shape than that of mobility anisotropy. In a
polycrystalline system with mobility anisotropy, we find that the system
evolves in a non-self-similar manner and grain shape anisotropy develops.
However, the average area of the grains grows linearly with time, as in an
isotropic system.
","[{""version"":""v1"",""created"":""Thu, 2 Dec 1999 22:54:16 GMT""}]","2009-10-31"
"cond-mat/9912045","Jos Martin","J. L. Martin, C. R. McKenzie, N. R. Thomas, D. M. Warrington and A.C.
  Wilson","RF coupling of a Bose-Einstein condensate in a TOP trap","10 pages, 6 figures, expanded content",,"10.1088/0953-4075/33/19/307",,"cond-mat",,"  A radio frequency (RF) transition is used to convert a pure F=2,mF=2 87Rb
Bose-Einstein condensate confined in a TOP trap to a mixture of F=2,mF=2 and
F=2,mF=1 states. We show that the nature of this coupling process is strongly
influenced by the presence of the time varying field of the TOP trap, and
complicated by the presence of multiple Zeeman substates. In particular, the
effective Rabi frequency associated with the applied RF field is not constant
across the spatial extent of the cloud leading to a complex geometry for
atom-laser output coupling and `averaging out' of Rabi oscillations. Further a
time-varying detuning can give rise to complex spatial structures.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 01:19:51 GMT""},{""version"":""v2"",""created"":""Wed, 12 Apr 2000 02:43:56 GMT""}]","2009-10-31"
"cond-mat/9912046","Romualdo Pastor-Satorras","Romualdo Pastor-Satorras and Alessandro Vespignani","Corrections to scaling in the forest-fire model","RevTeX, 7 pages, 7 eps figures","Phys. Rev. E 61, 4854 (2000)","10.1103/PhysRevE.61.4854",,"cond-mat.stat-mech",,"  We present a systematic study of corrections to scaling in the self-organized
critical forest-fire model. The analysis of the steady-state condition for the
density of trees allows us to pinpoint the presence of these corrections, which
take the form of subdominant exponents modifying the standard finite-size
scaling form. Applying an extended version of the moment analysis technique, we
find the scaling region of the model and compute the first non-trivial
corrections to scaling.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 10:27:23 GMT""},{""version"":""v2"",""created"":""Tue, 2 May 2000 13:27:46 GMT""}]","2009-10-31"
"cond-mat/9912047","S. K. Kwon","S. K. Kwon and B. I. Min","Origin of the giant magnetic moments of Fe impurities on and in Cs films","4 pages including 3 figures and 1 table. Submitted to PRL",,"10.1103/PhysRevLett.84.3970",,"cond-mat.str-el cond-mat.dis-nn",,"  To explore the origin of the observed giant magnetic moments ($\sim 7 \mu_B$)
of Fe impurities on the surface and in the bulk of Cs films, we have performed
the relativistic LSDA + U calculations using the linearized muffin-tin orbital
(LMTO) band method. We have found that Fe impurities in Cs behave differently
from those in noble metals or in Pd. Whereas the induced spin polarization of
Cs atoms is negligible, the Fe ion itself is found to be the source of the
giant magnetic moment. The 3d electrons of Fe in Cs are localized as the 4f
electrons in rare-earth ions so that the orbital magnetic moment becomes as
large as the spin magnetic moment. The calculated total magnetic moment of $M =
6.43 \mu_B$, which comes mainly from Fe ion, is close to the experimentally
observed value.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:16:17 GMT""}]","2009-10-31"
"cond-mat/9912048","Alexander Moskvin","R. A. Istomin and A. S. Moskvin (Department of Theoretical
  Physics,Ural State University, Ekaterinburg, Russia)","Overlap integral for quantum skyrmions","5 pages, no figures","JETP Lett., 71, 338 (2000)","10.1134/1.568346",,"cond-mat.mes-hall",,"  We made use a simplified form for the quantum skyrmion wave function based on
the spin coherent states to obtain the analytical expression for appropriate
overlap integral.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:24:32 GMT""},{""version"":""v2"",""created"":""Wed, 12 Apr 2000 16:27:13 GMT""},{""version"":""v3"",""created"":""Thu, 17 Aug 2000 07:34:29 GMT""}]","2009-10-31"
"cond-mat/9912049","Bonitz","V.S. Filinov and M. Bonitz","Thermodynamic Properties of Strongly Degenerate Interacting Fermi
  Systems","4 pages, 3 figures, RevTeX two-column submitted to Phys. Rev. Lett",,,"SP/Ph-UR/1999-102","cond-mat.str-el cond-mat.stat-mech",,"  A numerical approach is presented which allows to calculate the equilibrium
properties of Fermi systems which are both, strongly coupled and strongly
degenerate. Based on a novel path integral representation of the many-particle
density operator, quantum and spin effects are included. As an illustration,
results for the pressure and energy of an electron-proton plasma are presented.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:59:40 GMT""}]","2016-08-31"
"cond-mat/9912050","Matthias Grove","M. Grove, P. Lemmens, G. G\""untherodt, B. C. Sales, F. B\""ullesfeld
  and W. Assmus","Magnetoelastic coupling and spin excitations in the spin-gap system
  (VO)$_2$P$_2$O$_7$: A Raman scattering study","6 pages, 9 figures","aceepted for publication in PRB Feb. 2000","10.1103/PhysRevB.61.6126",,"cond-mat.supr-con",,"  Single crystals of the spin-gap system $\rm (VO)_2P_2O_7$ have been
investigated by means of Raman scattering. At temperatures below T=75
K~$\approx 2\Delta_{01}({\bf k}=0)$, with $\Delta_{01}$ the singlet-triplet
gap, a shoulder appears at 47 cm$^{-1}$. An analysis of the polarization
selection rules and the temperature dependence of the scattering intensity
leads to its identification as a singlet bound state with very small binding
energy. Therefore in contrast to recent theoretical models the importance of
frustration for this compound must be rejected. The observation of a strong
anharmonicity of three phonons with energies close to $\Delta_{01}$ at the zone
boundary and additional quasielastic light scattering, however, both point to a
strong spin-phonon coupling in this system. We propose this coupling to be the
origin of the second bound triplet state observed in recent neutron scattering
experiments.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:52:50 GMT""}]","2009-10-31"
"cond-mat/9912051","Gopikrishnan Parameswaran","Vasiliki Plerou, Parameswaran Gopikrishnan, Luis. A. Nunes Amaral,
  Xavier Gabaix, and H. Eugene Stanley","Economic Fluctuations and Diffusion","RevTex 2 column format. 6 pages, 36 references, 15 eps figures","Phys. Rev. E. (Rapid Comm.) 62 (2000) R3023.","10.1103/PhysRevE.62.R3023",,"cond-mat.stat-mech cond-mat.dis-nn q-fin.ST",,"  Stock price changes occur through transactions, just as diffusion in physical
systems occurs through molecular collisions. We systematically explore this
analogy and quantify the relation between trading activity - measured by the
number of transactions $N_{\Delta t}$ - and the price change $G_{\Delta t}$,
for a given stock, over a time interval $[t, t+\Delta t]$. To this end, we
analyze a database documenting every transaction for 1000 US stocks over the
two-year period 1994-1995. We find that price movements are equivalent to a
complex variant of diffusion, where the diffusion coefficient fluctuates
drastically in time. We relate the analog of the diffusion coefficient to two
microscopic quantities: (i) the number of transactions $N_{\Delta t}$ in
$\Delta t$, which is the analog of the number of collisions and (ii) the local
variance $w^2_{\Delta t}$ of the price changes for all transactions in $\Delta
t$, which is the analog of the local mean square displacement between
collisions. We study the distributions of both $N_{\Delta t}$ and $w_{\Delta
t}$, and find that they display power-law tails. Further, we find that
$N_{\Delta t}$ displays long-range power-law correlations in time, whereas
$w_{\Delta t}$ does not. Our results are consistent with the interpretation
that the pronounced tails of the distribution of $G_{\Delta t} are due to
$w_{\Delta t}$, and that the long-range correlations previously found for $|
G_{\Delta t} |$ are due to $N_{\Delta t}$.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 12:58:50 GMT""}]","2009-10-31"
"cond-mat/9912052","J\""urg Hofer","J. Hofer, T. Schneider, J.M. Singer, M. Willemin, H. Keller, T.
  Sasagawa, K. Kishio, K. Conder, and J. Karpinski","Torque magnetometry on single-crystal high temperature superconductors
  near the critical temperature: a scaling approach","9 pages, 10 figures, submitted to PRB",,"10.1103/PhysRevB.62.631",,"cond-mat.supr-con",,"  Angular-dependent magnetic torque measurements performed near the critical
temperature on single crystals of HgBa_{2}CuO_{4+y}, La_{2-x}Sr{x}CuO_{4}, and
YBa_{2}Cu_{3}O_{6.93} are scaled, following the 3D XY model, in order to
determine the scaling function dG^{\pm}(z)/dz which describes the universal
critical properties near T_{c}. A systematic shift of the scaling function with
increasing effective mass anisotropy \gamma = (m_{ab}*/m_{c}*)^{1/2} is
observed, which may be understood in terms of a 3D-2D crossover. Further
evidence for a 3D-2D crossover is found from temperature-dependent torque
measurements carried out in different magnetic fields at different field
orientations \delta, which show a quasi 2D ""crossing region'' (M*,T*). The
occurrence of this ""crossing phenomenon'' is explained in a phenomenological
way from the weak z dependence of the scaling function around a value z = z*.
The ""crossing'' temperature T* is found to be angular-dependent. Torque
measurements above T_{c} reveal that fluctuations are strongly enhanced in the
underdoped regime where the anisotropy is large, whereas they are less
important in the overdoped regime.
","[{""version"":""v1"",""created"":""Fri, 3 Dec 1999 13:22:07 GMT""}]","2009-10-31"
